"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","Alberta","2016A000248","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114495","11.18.6","3000","","","","0"
"1991","Alberta","2016A000248","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114495","11.18.6","2900","","","","0"
"1992","Alberta","2016A000248","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114495","11.18.6","2800","","","","0"
"1993","Alberta","2016A000248","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114495","11.18.6","3500","","","","0"
"1994","Alberta","2016A000248","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114495","11.18.6","3000","","","","0"
"1995","Alberta","2016A000248","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114495","11.18.6","3300","","","","0"
"1996","Alberta","2016A000248","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114495","11.18.6","3300","","","","0"
"1997","Alberta","2016A000248","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114495","11.18.6","3100","","","","0"
"1998","Alberta","2016A000248","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114495","11.18.6","3000","","","","0"
"1999","Alberta","2016A000248","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114495","11.18.6","3500","","","","0"
"2000","Alberta","2016A000248","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114495","11.18.6","3000","","","","0"
"2001","Alberta","2016A000248","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114495","11.18.6","2900","","","","0"
"2002","Alberta","2016A000248","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114495","11.18.6","2300","","","","0"
"2003","Alberta","2016A000248","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114495","11.18.6","3000","","","","0"
"2004","Alberta","2016A000248","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114495","11.18.6","3500","","","","0"
"2005","Alberta","2016A000248","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114495","11.18.6","3600","","","","0"
"2006","Alberta","2016A000248","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114495","11.18.6","3200","","","","0"
"2007","Alberta","2016A000248","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114495","11.18.6","3000","","","","0"
"2008","Alberta","2016A000248","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114495","11.18.6","3600","","","","0"
"2009","Alberta","2016A000248","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114495","11.18.6","3100","","","","0"
"2010","Alberta","2016A000248","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114495","11.18.6","3600","","","","0"
"2011","Alberta","2016A000248","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114495","11.18.6","3600","","","","0"
"2012","Alberta","2016A000248","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114495","11.18.6","3200","","","","0"
"2013","Alberta","2016A000248","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114495","11.18.6","4100","","","","0"
"2014","Alberta","2016A000248","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114495","11.18.6","3600","","","","0"
"2015","Alberta","2016A000248","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114495","11.18.6","3700","","","","0"
"2016","Alberta","2016A000248","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114495","11.18.6","4100","","","","0"
"2017","Alberta","2016A000248","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114495","11.18.6","3900","","","","0"
"2018","Alberta","2016A000248","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114495","11.18.6","3595","","","","0"
"2019","Alberta","2016A000248","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114495","11.18.6","3890","","","","0"
"2020","Alberta","2016A000248","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114495","11.18.6","3980","","","","0"
"1990","Alberta","2016A000248","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114499","11.18.33","","..","","","0"
"1991","Alberta","2016A000248","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114499","11.18.33","","..","","","0"
"1992","Alberta","2016A000248","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114499","11.18.33","","..","","","0"
"1993","Alberta","2016A000248","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114499","11.18.33","","..","","","0"
"1994","Alberta","2016A000248","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114499","11.18.33","","..","","","0"
"1995","Alberta","2016A000248","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114499","11.18.33","1062","","","","0"
"1996","Alberta","2016A000248","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114499","11.18.33","1213","","","","0"
"1997","Alberta","2016A000248","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114499","11.18.33","930","","","","0"
"1998","Alberta","2016A000248","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114499","11.18.33","1060","","","","0"
"1999","Alberta","2016A000248","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114499","11.18.33","1600","","","","0"
"2000","Alberta","2016A000248","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114499","11.18.33","1250","","","","0"
"2001","Alberta","2016A000248","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114499","11.18.33","880","","","","0"
"2002","Alberta","2016A000248","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114499","11.18.33","600","","","","0"
"2003","Alberta","2016A000248","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114499","11.18.33","1030","","","","0"
"2004","Alberta","2016A000248","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114499","11.18.33","1180","","","","0"
"2005","Alberta","2016A000248","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114499","11.18.33","","..","","","0"
"2006","Alberta","2016A000248","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114499","11.18.33","","..","","","0"
"2007","Alberta","2016A000248","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114499","11.18.33","","..","","","0"
"2008","Alberta","2016A000248","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114499","11.18.33","","..","","","0"
"2009","Alberta","2016A000248","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114499","11.18.33","","..","","","0"
"2010","Alberta","2016A000248","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114499","11.18.33","","..","","","0"
"2011","Alberta","2016A000248","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114499","11.18.33","","..","","","0"
"2012","Alberta","2016A000248","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114499","11.18.33","","..","","","0"
"2013","Alberta","2016A000248","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114499","11.18.33","","..","","","0"
"2014","Alberta","2016A000248","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114499","11.18.33","","..","","","0"
"2015","Alberta","2016A000248","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114499","11.18.33","","..","","","0"
"2016","Alberta","2016A000248","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114499","11.18.33","","..","","","0"
"2017","Alberta","2016A000248","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114499","11.18.33","","..","","","0"
"2018","Alberta","2016A000248","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114499","11.18.33","","x","","","0"
"2019","Alberta","2016A000248","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114499","11.18.33","1177","","","","0"
"2020","Alberta","2016A000248","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114499","11.18.33","","..","","","0"
"1990","Alberta","2016A000248","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115115280","11.18.16","1300","","","","0"
"1991","Alberta","2016A000248","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115115280","11.18.16","1300","","","","0"
"1992","Alberta","2016A000248","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115115280","11.18.16","1200","","","","0"
"1993","Alberta","2016A000248","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115115280","11.18.16","1500","","","","0"
"1994","Alberta","2016A000248","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115115280","11.18.16","1200","","","","0"
"1995","Alberta","2016A000248","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115115280","11.18.16","1400","","","","0"
"1996","Alberta","2016A000248","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115115280","11.18.16","1400","","","","0"
"1997","Alberta","2016A000248","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115115280","11.18.16","1300","","","","0"
