"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","British Columbia","2016A000259","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114911","12.18.6","2700","","","","0"
"1991","British Columbia","2016A000259","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114911","12.18.6","2500","","","","0"
"1992","British Columbia","2016A000259","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114911","12.18.6","1500","","","","0"
"1993","British Columbia","2016A000259","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114911","12.18.6","3000","","","","0"
"1994","British Columbia","2016A000259","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114911","12.18.6","2500","","","","0"
"1995","British Columbia","2016A000259","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114911","12.18.6","3600","","","","0"
"1996","British Columbia","2016A000259","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114911","12.18.6","3300","","","","0"
"1997","British Columbia","2016A000259","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114911","12.18.6","3000","","","","0"
"1998","British Columbia","2016A000259","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114911","12.18.6","2700","","","","0"
"1999","British Columbia","2016A000259","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114911","12.18.6","2800","","","","0"
"2000","British Columbia","2016A000259","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114911","12.18.6","3000","","","","0"
"2001","British Columbia","2016A000259","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114911","12.18.6","3100","","","","0"
"2002","British Columbia","2016A000259","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114911","12.18.6","2600","","","","0"
"2003","British Columbia","2016A000259","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114911","12.18.6","3400","","","","0"
"2004","British Columbia","2016A000259","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114911","12.18.6","3400","","","","0"
"2005","British Columbia","2016A000259","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114911","12.18.6","3000","","","","0"
"2006","British Columbia","2016A000259","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114911","12.18.6","2200","","","","0"
"2007","British Columbia","2016A000259","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114911","12.18.6","2900","","","","0"
"2008","British Columbia","2016A000259","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114911","12.18.6","2100","","","","0"
"2009","British Columbia","2016A000259","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114911","12.18.6","2800","","","","0"
"2010","British Columbia","2016A000259","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114911","12.18.6","1900","","","","0"
"2011","British Columbia","2016A000259","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114911","12.18.6","2900","","","","0"
"2012","British Columbia","2016A000259","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114911","12.18.6","3200","","","","0"
"2013","British Columbia","2016A000259","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114911","12.18.6","3500","","","","0"
"2014","British Columbia","2016A000259","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114911","12.18.6","2600","","","","0"
"2015","British Columbia","2016A000259","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114911","12.18.6","3300","","","","0"
"2016","British Columbia","2016A000259","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114911","12.18.6","3500","","","","0"
"2017","British Columbia","2016A000259","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114911","12.18.6","3200","","","","0"
"2018","British Columbia","2016A000259","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114911","12.18.6","3486","","","","0"
"2019","British Columbia","2016A000259","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114911","12.18.6","3370","","","","0"
"2020","British Columbia","2016A000259","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114911","12.18.6","2570","","","","0"
"1990","British Columbia","2016A000259","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114912","12.18.16","900","","","","0"
"1991","British Columbia","2016A000259","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114912","12.18.16","900","","","","0"
"1992","British Columbia","2016A000259","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114912","12.18.16","900","","","","0"
"1993","British Columbia","2016A000259","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114912","12.18.16","1100","","","","0"
"1994","British Columbia","2016A000259","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114912","12.18.16","1200","","","","0"
"1995","British Columbia","2016A000259","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114912","12.18.16","1300","","","","0"
"1996","British Columbia","2016A000259","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114912","12.18.16","1200","","","","0"
"1997","British Columbia","2016A000259","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114912","12.18.16","1000","","","","0"
"1998","British Columbia","2016A000259","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114912","12.18.16","1500","","","","0"
"1999","British Columbia","2016A000259","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114912","12.18.16","1500","","","","0"
"2000","British Columbia","2016A000259","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114912","12.18.16","1700","","","","0"
"2001","British Columbia","2016A000259","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114912","12.18.16","1400","","","","0"
"2002","British Columbia","2016A000259","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114912","12.18.16","1100","","","","0"
"2003","British Columbia","2016A000259","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114912","12.18.16","1400","","","","0"
"2004","British Columbia","2016A000259","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114912","12.18.16","1700","","","","0"
"2005","British Columbia","2016A000259","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114912","12.18.16","2100","","","","0"
"2006","British Columbia","2016A000259","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114912","12.18.16","1100","","","","0"
"2007","British Columbia","2016A000259","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114912","12.18.16","1700","","","","0"
"2008","British Columbia","2016A000259","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114912","12.18.16","1600","","","","0"
"2009","British Columbia","2016A000259","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114912","12.18.16","1700","","","","0"
"2010","British Columbia","2016A000259","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114912","12.18.16","1000","","","","0"
"2011","British Columbia","2016A000259","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114912","12.18.16","1600","","","","0"
"2012","British Columbia","2016A000259","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114912","12.18.16","1700","","","","0"
"2013","British Columbia","2016A000259","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114912","12.18.16","2200","","","","0"
"2014","British Columbia","2016A000259","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114912","12.18.16","1700","","","","0"
"2015","British Columbia","2016A000259","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114912","12.18.16","1900","","","","0"
"2016","British Columbia","2016A000259","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114912","12.18.16","2300","","","","0"
"2017","British Columbia","2016A000259","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114912","12.18.16","2000","","","","0"
"2018","British Columbia","2016A000259","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114912","12.18.16","2281","","","","0"
"2019","British Columbia","2016A000259","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114912","12.18.16","2331","","","","0"
"2020","British Columbia","2016A000259","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114912","12.18.16","1681","","","","0"
"1990","British Columbia","2016A000259","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114915","12.18.5","2400","","","","0"
"1991","British Columbia","2016A000259","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114915","12.18.5","2400","","","","0"
"1992","British Columbia","2016A000259","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114915","12.18.5","1400","","","","0"
"1993","British Columbia","2016A000259","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114915","12.18.5","2700","","","","0"
"1994","British Columbia","2016A000259","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114915","12.18.5","2400","","","","0"
"1995","British Columbia","2016A000259","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114915","12.18.5","2800","","","","0"
"1996","British Columbia","2016A000259","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114915","12.18.5","2200","","","","0"
"1997","British Columbia","2016A000259","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114915","12.18.5","2800","","","","0"
"1998","British Columbia","2016A000259","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114915","12.18.5","2500","","","","0"
"1999","British Columbia","2016A000259","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114915","12.18.5","2500","","","","0"
"2000","British Columbia","2016A000259","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114915","12.18.5","2300","","","","0"
"2001","British Columbia","2016A000259","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114915","12.18.5","2600","","","","0"
"2002","British Columbia","2016A000259","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114915","12.18.5","2100","","","","0"
"2003","British Columbia","2016A000259","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114915","12.18.5","3100","","","","0"
"2004","British Columbia","2016A000259","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114915","12.18.5","2900","","","","0"
"2005","British Columbia","2016A000259","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114915","12.18.5","3100","","","","0"
"2006","British Columbia","2016A000259","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114915","12.18.5","1900","","","","0"
"2007","British Columbia","2016A000259","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114915","12.18.5","2700","","","","0"
"2008","British Columbia","2016A000259","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114915","12.18.5","2100","","","","0"
