REF_DATE,GEO,DGUID,Harvest disposition,Type of crop,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2018,Newfoundland and Labrador,2016A000210,Average yield (kilograms per hectare),Barley,Kilograms per hectare,193,units,0,v1001388689,13.18.6,,..,,,0
2019,Newfoundland and Labrador,2016A000210,Average yield (kilograms per hectare),Barley,Kilograms per hectare,193,units,0,v1001388689,13.18.6,0,,,,0
2020,Newfoundland and Labrador,2016A000210,Average yield (kilograms per hectare),Barley,Kilograms per hectare,193,units,0,v1001388689,13.18.6,,..,,,0
2021,Newfoundland and Labrador,2016A000210,Average yield (kilograms per hectare),Barley,Kilograms per hectare,193,units,0,v1001388689,13.18.6,,..,,,0
2018,Newfoundland and Labrador,2016A000210,Average yield (kilograms per hectare),Canola (including rapeseed),Kilograms per hectare,193,units,0,v1001388653,13.18.16,,..,,,0
2019,Newfoundland and Labrador,2016A000210,Average yield (kilograms per hectare),Canola (including rapeseed),Kilograms per hectare,193,units,0,v1001388653,13.18.16,0,,,,0
2020,Newfoundland and Labrador,2016A000210,Average yield (kilograms per hectare),Canola (including rapeseed),Kilograms per hectare,193,units,0,v1001388653,13.18.16,,..,,,0
2021,Newfoundland and Labrador,2016A000210,Average yield (kilograms per hectare),Canola (including rapeseed),Kilograms per hectare,193,units,0,v1001388653,13.18.16,,..,,,0
2018,Newfoundland and Labrador,2016A000210,Average yield (kilograms per hectare),Corn for grain,Kilograms per hectare,193,units,0,v1001388671,13.18.11,,..,,,0
2019,Newfoundland and Labrador,2016A000210,Average yield (kilograms per hectare),Corn for grain,Kilograms per hectare,193,units,0,v1001388671,13.18.11,,..,,,0
2020,Newfoundland and Labrador,2016A000210,Average yield (kilograms per hectare),Corn for grain,Kilograms per hectare,193,units,0,v1001388671,13.18.11,,..,,,0
2021,Newfoundland and Labrador,2016A000210,Average yield (kilograms per hectare),Corn for grain,Kilograms per hectare,193,units,0,v1001388671,13.18.11,,..,,,0
2018,Newfoundland and Labrador,2016A000210,Average yield (kilograms per hectare),Corn for silage,Kilograms per hectare,193,units,0,v1001388683,13.18.29,35093,,,,0
2019,Newfoundland and Labrador,2016A000210,Average yield (kilograms per hectare),Corn for silage,Kilograms per hectare,193,units,0,v1001388683,13.18.29,,..,,,0
2020,Newfoundland and Labrador,2016A000210,Average yield (kilograms per hectare),Corn for silage,Kilograms per hectare,193,units,0,v1001388683,13.18.29,0,,,,0
2021,Newfoundland and Labrador,2016A000210,Average yield (kilograms per hectare),Corn for silage,Kilograms per hectare,193,units,0,v1001388683,13.18.29,,..,,,0
2018,Newfoundland and Labrador,2016A000210,Average yield (kilograms per hectare),Flaxseed,Kilograms per hectare,193,units,0,v1001388293,13.18.14,,..,,,0
2019,Newfoundland and Labrador,2016A000210,Average yield (kilograms per hectare),Flaxseed,Kilograms per hectare,193,units,0,v1001388293,13.18.14,,..,,,0
2020,Newfoundland and Labrador,2016A000210,Average yield (kilograms per hectare),Flaxseed,Kilograms per hectare,193,units,0,v1001388293,13.18.14,,..,,,0
2021,Newfoundland and Labrador,2016A000210,Average yield (kilograms per hectare),Flaxseed,Kilograms per hectare,193,units,0,v1001388293,13.18.14,,..,,,0
2018,Newfoundland and Labrador,2016A000210,Average yield (kilograms per hectare),Oats,Kilograms per hectare,193,units,0,v1001388707,13.18.5,2668,,,,0
2019,Newfoundland and Labrador,2016A000210,Average yield (kilograms per hectare),Oats,Kilograms per hectare,193,units,0,v1001388707,13.18.5,,..,,,0
2020,Newfoundland and Labrador,2016A000210,Average yield (kilograms per hectare),Oats,Kilograms per hectare,193,units,0,v1001388707,13.18.5,2242,,,,0
2021,Newfoundland and Labrador,2016A000210,Average yield (kilograms per hectare),Oats,Kilograms per hectare,193,units,0,v1001388707,13.18.5,,..,,,0
