"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","Manitoba","2016A000246","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114683","9.18.6","3200","","","","0"
"1991","Manitoba","2016A000246","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114683","9.18.6","2800","","","","0"
"1992","Manitoba","2016A000246","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114683","9.18.6","3700","","","","0"
"1993","Manitoba","2016A000246","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114683","9.18.6","2800","","","","0"
"1994","Manitoba","2016A000246","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114683","9.18.6","3100","","","","0"
"1995","Manitoba","2016A000246","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114683","9.18.6","2900","","","","0"
"1996","Manitoba","2016A000246","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114683","9.18.6","3400","","","","0"
"1997","Manitoba","2016A000246","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114683","9.18.6","3100","","","","0"
"1998","Manitoba","2016A000246","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114683","9.18.6","3200","","","","0"
"1999","Manitoba","2016A000246","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114683","9.18.6","3000","","","","0"
"2000","Manitoba","2016A000246","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114683","9.18.6","3400","","","","0"
"2001","Manitoba","2016A000246","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114683","9.18.6","2800","","","","0"
"2002","Manitoba","2016A000246","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114683","9.18.6","2900","","","","0"
"2003","Manitoba","2016A000246","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114683","9.18.6","3400","","","","0"
"2004","Manitoba","2016A000246","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114683","9.18.6","3700","","","","0"
"2005","Manitoba","2016A000246","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114683","9.18.6","2400","","","","0"
"2006","Manitoba","2016A000246","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114683","9.18.6","3400","","","","0"
"2007","Manitoba","2016A000246","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114683","9.18.6","3100","","","","0"
"2008","Manitoba","2016A000246","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114683","9.18.6","3700","","","","0"
"2009","Manitoba","2016A000246","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114683","9.18.6","3800","","","","0"
"2010","Manitoba","2016A000246","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114683","9.18.6","3000","","","","0"
"2011","Manitoba","2016A000246","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114683","9.18.6","2400","","","","0"
"2012","Manitoba","2016A000246","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114683","9.18.6","2900","","","","0"
"2013","Manitoba","2016A000246","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114683","9.18.6","4100","","","","0"
"2014","Manitoba","2016A000246","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114683","9.18.6","3100","","","","0"
"2015","Manitoba","2016A000246","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114683","9.18.6","3700","","","","0"
"2016","Manitoba","2016A000246","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114683","9.18.6","3900","","","","0"
"2017","Manitoba","2016A000246","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114683","9.18.6","4300","","","","0"
"2018","Manitoba","2016A000246","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114683","9.18.6","4052","","","","0"
"2019","Manitoba","2016A000246","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114683","9.18.6","4140","","","","0"
"2020","Manitoba","2016A000246","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114683","9.18.6","4300","","","","0"
"2021","Manitoba","2016A000246","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114683","9.18.6","3165","","","","0"
"1990","Manitoba","2016A000246","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114688","9.18.33","1500","","","","0"
"1991","Manitoba","2016A000246","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114688","9.18.33","898","","","","0"
"1992","Manitoba","2016A000246","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114688","9.18.33","1000","","","","0"
"1993","Manitoba","2016A000246","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114688","9.18.33","775","","","","0"
"1994","Manitoba","2016A000246","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114688","9.18.33","1347","","","","0"
"1995","Manitoba","2016A000246","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114688","9.18.33","1208","","","","0"
