"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114017","5.18.6","3000","","","","0"
"1991","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114017","5.18.6","2700","","","","0"
"1992","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114017","5.18.6","3600","","","","0"
"1993","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114017","5.18.6","2900","","","","0"
"1994","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114017","5.18.6","2500","","","","0"
"1995","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114017","5.18.6","2700","","","","0"
"1996","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114017","5.18.6","3400","","","","0"
"1997","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114017","5.18.6","3300","","","","0"
"1998","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114017","5.18.6","2800","","","","0"
"1999","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114017","5.18.6","3400","","","","0"
"2000","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114017","5.18.6","3500","","","","0"
"2001","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114017","5.18.6","3200","","","","0"
"2002","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114017","5.18.6","3700","","","","0"
"2003","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114017","5.18.6","3300","","","","0"
"2004","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114017","5.18.6","3100","","","","0"
"2005","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114017","5.18.6","3200","","","","0"
"2006","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114017","5.18.6","2300","","","","0"
"2007","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114017","5.18.6","3400","","","","0"
"2008","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114017","5.18.6","2900","","","","0"
"2009","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114017","5.18.6","3100","","","","0"
"2010","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114017","5.18.6","3100","","","","0"
"2011","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114017","5.18.6","2100","","","","0"
"2012","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114017","5.18.6","3100","","","","0"
"2013","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114017","5.18.6","2900","","","","0"
"2014","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114017","5.18.6","2900","","","","0"
"2015","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114017","5.18.6","3600","","","","0"
"2016","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114017","5.18.6","3500","","","","0"
"2017","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114017","5.18.6","3700","","","","0"
"2018","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114017","5.18.6","2856","","","","0"
"2019","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114017","5.18.6","3659","","","","0"
"2020","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114017","5.18.6","2340","","","","0"
"1990","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114022","5.18.5","2100","","","","0"
"1991","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114022","5.18.5","1900","","","","0"
"1992","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114022","5.18.5","2700","","","","0"
"1993","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114022","5.18.5","2200","","","","0"
"1994","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114022","5.18.5","2000","","","","0"
"1995","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114022","5.18.5","2100","","","","0"
"1996","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114022","5.18.5","2900","","","","0"
"1997","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114022","5.18.5","2500","","","","0"
"1998","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114022","5.18.5","2800","","","","0"
"1999","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114022","5.18.5","2400","","","","0"
"2000","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114022","5.18.5","2900","","","","0"
"2001","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114022","5.18.5","2400","","","","0"
"2002","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114022","5.18.5","2800","","","","0"
"2003","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114022","5.18.5","2500","","","","0"
"2004","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114022","5.18.5","2500","","","","0"
"2005","New Brunswick","2016A000213","Average yield (kilograms per hectare)","Oats","Kilograms per hectare","193","units","0","v115114022","5.18.5","2700","","","","0"
