"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","Newfoundland and Labrador","2016A000210","Average yield (kilograms per hectare)","Tame hay","Kilograms per hectare","193","units","0","v114995819","13.18.28","4630","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Average yield (kilograms per hectare)","Tame hay","Kilograms per hectare","193","units","0","v114995819","13.18.28","5140","","","","0"
"1992","Newfoundland and Labrador","2016A000210","Average yield (kilograms per hectare)","Tame hay","Kilograms per hectare","193","units","0","v114995819","13.18.28","6440","","","","0"
"1993","Newfoundland and Labrador","2016A000210","Average yield (kilograms per hectare)","Tame hay","Kilograms per hectare","193","units","0","v114995819","13.18.28","6400","","","","0"
"1994","Newfoundland and Labrador","2016A000210","Average yield (kilograms per hectare)","Tame hay","Kilograms per hectare","193","units","0","v114995819","13.18.28","6200","","","","0"
"1995","Newfoundland and Labrador","2016A000210","Average yield (kilograms per hectare)","Tame hay","Kilograms per hectare","193","units","0","v114995819","13.18.28","8000","","","","0"
"1996","Newfoundland and Labrador","2016A000210","Average yield (kilograms per hectare)","Tame hay","Kilograms per hectare","193","units","0","v114995819","13.18.28","8000","","","","0"
"1997","Newfoundland and Labrador","2016A000210","Average yield (kilograms per hectare)","Tame hay","Kilograms per hectare","193","units","0","v114995819","13.18.28","7300","","","","0"
"1998","Newfoundland and Labrador","2016A000210","Average yield (kilograms per hectare)","Tame hay","Kilograms per hectare","193","units","0","v114995819","13.18.28","5600","","","","0"
"1999","Newfoundland and Labrador","2016A000210","Average yield (kilograms per hectare)","Tame hay","Kilograms per hectare","193","units","0","v114995819","13.18.28","4610","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Average yield (kilograms per hectare)","Tame hay","Kilograms per hectare","193","units","0","v114995819","13.18.28","4240","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Average yield (kilograms per hectare)","Tame hay","Kilograms per hectare","193","units","0","v114995819","13.18.28","4260","","","","0"
"2002","Newfoundland and Labrador","2016A000210","Average yield (kilograms per hectare)","Tame hay","Kilograms per hectare","193","units","0","v114995819","13.18.28","4740","","","","0"
"2003","Newfoundland and Labrador","2016A000210","Average yield (kilograms per hectare)","Tame hay","Kilograms per hectare","193","units","0","v114995819","13.18.28","4020","","","","0"
"2004","Newfoundland and Labrador","2016A000210","Average yield (kilograms per hectare)","Tame hay","Kilograms per hectare","193","units","0","v114995819","13.18.28","3570","","","","0"
"2005","Newfoundland and Labrador","2016A000210","Average yield (kilograms per hectare)","Tame hay","Kilograms per hectare","193","units","0","v114995819","13.18.28","3540","","","","0"
"2006","Newfoundland and Labrador","2016A000210","Average yield (kilograms per hectare)","Tame hay","Kilograms per hectare","193","units","0","v114995819","13.18.28","5250","","","","0"
"2007","Newfoundland and Labrador","2016A000210","Average yield (kilograms per hectare)","Tame hay","Kilograms per hectare","193","units","0","v114995819","13.18.28","4460","","","","0"
"2008","Newfoundland and Labrador","2016A000210","Average yield (kilograms per hectare)","Tame hay","Kilograms per hectare","193","units","0","v114995819","13.18.28","5190","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Average yield (kilograms per hectare)","Tame hay","Kilograms per hectare","193","units","0","v114995819","13.18.28","6000","","","","0"
"2010","Newfoundland and Labrador","2016A000210","Average yield (kilograms per hectare)","Tame hay","Kilograms per hectare","193","units","0","v114995819","13.18.28","5620","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Average yield (kilograms per hectare)","Tame hay","Kilograms per hectare","193","units","0","v114995819","13.18.28","4890","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Average yield (kilograms per hectare)","Tame hay","Kilograms per hectare","193","units","0","v114995819","13.18.28","4310","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Average yield (kilograms per hectare)","Tame hay","Kilograms per hectare","193","units","0","v114995819","13.18.28","4630","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Average yield (kilograms per hectare)","Tame hay","Kilograms per hectare","193","units","0","v114995819","13.18.28","4070","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Average yield (kilograms per hectare)","Tame hay","Kilograms per hectare","193","units","0","v114995819","13.18.28","7500","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Average yield (kilograms per hectare)","Tame hay","Kilograms per hectare","193","units","0","v114995819","13.18.28","6350","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Average yield (kilograms per hectare)","Tame hay","Kilograms per hectare","193","units","0","v114995819","13.18.28","4540","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Average yield (kilograms per hectare)","Tame hay","Kilograms per hectare","193","units","0","v114995819","13.18.28","6039","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Average yield (kilograms per hectare)","Tame hay","Kilograms per hectare","193","units","0","v114995819","13.18.28","4768","","r","","0"
"2020","Newfoundland and Labrador","2016A000210","Average yield (kilograms per hectare)","Tame hay","Kilograms per hectare","193","units","0","v114995819","13.18.28","3295","","","","0"


