"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","Nova Scotia","2016A000212","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113965","4.18.6","2500","","","","0"
"1991","Nova Scotia","2016A000212","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113965","4.18.6","2500","","","","0"
"1992","Nova Scotia","2016A000212","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113965","4.18.6","4000","","","","0"
"1993","Nova Scotia","2016A000212","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113965","4.18.6","3000","","","","0"
"1994","Nova Scotia","2016A000212","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113965","4.18.6","3000","","","","0"
"1995","Nova Scotia","2016A000212","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113965","4.18.6","4000","","","","0"
"1996","Nova Scotia","2016A000212","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113965","4.18.6","3400","","","","0"
"1997","Nova Scotia","2016A000212","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113965","4.18.6","2800","","","","0"
"1998","Nova Scotia","2016A000212","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113965","4.18.6","3000","","","","0"
"1999","Nova Scotia","2016A000212","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113965","4.18.6","2600","","","","0"
"2000","Nova Scotia","2016A000212","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113965","4.18.6","3000","","","","0"
"2001","Nova Scotia","2016A000212","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113965","4.18.6","2600","","","","0"
"2002","Nova Scotia","2016A000212","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113965","4.18.6","3900","","","","0"
"2003","Nova Scotia","2016A000212","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113965","4.18.6","2900","","","","0"
"2004","Nova Scotia","2016A000212","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113965","4.18.6","2800","","","","0"
"2005","Nova Scotia","2016A000212","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113965","4.18.6","2600","","","","0"
"2006","Nova Scotia","2016A000212","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113965","4.18.6","2300","","","","0"
"2007","Nova Scotia","2016A000212","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113965","4.18.6","2700","","","","0"
"2008","Nova Scotia","2016A000212","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113965","4.18.6","3000","","","","0"
"2009","Nova Scotia","2016A000212","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113965","4.18.6","3100","","","","0"
"2010","Nova Scotia","2016A000212","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113965","4.18.6","3200","","","","0"
"2011","Nova Scotia","2016A000212","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113965","4.18.6","3000","","","","0"
"2012","Nova Scotia","2016A000212","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113965","4.18.6","3500","","","","0"
"2013","Nova Scotia","2016A000212","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113965","4.18.6","2600","","","","0"
"2014","Nova Scotia","2016A000212","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113965","4.18.6","3300","","","","0"
"2015","Nova Scotia","2016A000212","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113965","4.18.6","3400","","","","0"
