"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","Ontario","2016A000235","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114249","7.18.6","3300","","","","0"
"1991","Ontario","2016A000235","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114249","7.18.6","2900","","","","0"
"1992","Ontario","2016A000235","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114249","7.18.6","3600","","","","0"
"1993","Ontario","2016A000235","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114249","7.18.6","3100","","","","0"
"1994","Ontario","2016A000235","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114249","7.18.6","3200","","","","0"
"1995","Ontario","2016A000235","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114249","7.18.6","3200","","","","0"
"1996","Ontario","2016A000235","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114249","7.18.6","3000","","","","0"
"1997","Ontario","2016A000235","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114249","7.18.6","3300","","","","0"
"1998","Ontario","2016A000235","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114249","7.18.6","3000","","","","0"
"1999","Ontario","2016A000235","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114249","7.18.6","3400","","","","0"
"2000","Ontario","2016A000235","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114249","7.18.6","3100","","","","0"
"2001","Ontario","2016A000235","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114249","7.18.6","3600","","","","0"
"2002","Ontario","2016A000235","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114249","7.18.6","3100","","","","0"
"2003","Ontario","2016A000235","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114249","7.18.6","3400","","","","0"
"2004","Ontario","2016A000235","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114249","7.18.6","3400","","","","0"
"2005","Ontario","2016A000235","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114249","7.18.6","2900","","","","0"
"2006","Ontario","2016A000235","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114249","7.18.6","3400","","","","0"
