"REF_DATE","GEO","DGUID","Area, production and farm value of potatoes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","Newfoundland and Labrador","2016A000210","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47161","2.2","140.0","","","","1"
"1991","Newfoundland and Labrador","2016A000210","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47161","2.2","120.0","","","","1"
"1992","Newfoundland and Labrador","2016A000210","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47161","2.2","130.0","","","","1"
"1993","Newfoundland and Labrador","2016A000210","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47161","2.2","120.0","","","","1"
"1994","Newfoundland and Labrador","2016A000210","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47161","2.2","150.0","","","","1"
"1995","Newfoundland and Labrador","2016A000210","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47161","2.2","140.0","","","","1"
"1996","Newfoundland and Labrador","2016A000210","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47161","2.2","135.0","","","","1"
"1997","Newfoundland and Labrador","2016A000210","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47161","2.2","130.0","","","","1"
"1998","Newfoundland and Labrador","2016A000210","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47161","2.2","134.3","","","","1"
"1999","Newfoundland and Labrador","2016A000210","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47161","2.2","126.0","","","","1"
"2000","Newfoundland and Labrador","2016A000210","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47161","2.2","150.0","","","","1"
"2001","Newfoundland and Labrador","2016A000210","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47161","2.2","160.0","","","","1"
"2002","Newfoundland and Labrador","2016A000210","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47161","2.2","164.3","","","","1"
"2003","Newfoundland and Labrador","2016A000210","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47161","2.2","214.3","","","","1"
"2004","Newfoundland and Labrador","2016A000210","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47161","2.2","190.0","","","","1"
"2005","Newfoundland and Labrador","2016A000210","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47161","2.2","166.0","","","","1"
"2006","Newfoundland and Labrador","2016A000210","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47161","2.2","230.0","","","","1"
"2007","Newfoundland and Labrador","2016A000210","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47161","2.2","175.0","","","","1"
"2008","Newfoundland and Labrador","2016A000210","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47161","2.2","160.0","","","","1"
"2009","Newfoundland and Labrador","2016A000210","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47161","2.2","140.0","","","","1"
"2010","Newfoundland and Labrador","2016A000210","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47161","2.2","175.0","","","","1"
"2011","Newfoundland and Labrador","2016A000210","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47161","2.2","180.0","","","","1"
"2012","Newfoundland and Labrador","2016A000210","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47161","2.2","175.0","","","","1"
"2013","Newfoundland and Labrador","2016A000210","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47161","2.2","","F","","","1"
"2014","Newfoundland and Labrador","2016A000210","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47161","2.2","","F","","","1"
"2015","Newfoundland and Labrador","2016A000210","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47161","2.2","","F","","","1"
"2016","Newfoundland and Labrador","2016A000210","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47161","2.2","","F","","","1"
"2017","Newfoundland and Labrador","2016A000210","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47161","2.2","194.0","","","","1"
"2018","Newfoundland and Labrador","2016A000210","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47161","2.2","187.0","","","","1"
"2019","Newfoundland and Labrador","2016A000210","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47161","2.2","179.7","","","","1"
"2020","Newfoundland and Labrador","2016A000210","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47161","2.2","169.2","E","","","1"
"1990","Prince Edward Island","2016A000211","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47152","3.2","250.0","","","","1"
"1991","Prince Edward Island","2016A000211","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47152","3.2","250.0","","","","1"
"1992","Prince Edward Island","2016A000211","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47152","3.2","290.0","","","","1"
"1993","Prince Edward Island","2016A000211","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47152","3.2","260.0","","","","1"
"1994","Prince Edward Island","2016A000211","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47152","3.2","245.0","","","","1"
"1995","Prince Edward Island","2016A000211","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47152","3.2","265.0","","","","1"
"1996","Prince Edward Island","2016A000211","Average yield, potatoes","Hundredweight per harvested acres","159","units","0","v47152","3.2","260.0","","","","1"
