"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","Prince Edward Island","2016A000211","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113902","3.18.6","2700","","","","0"
"1991","Prince Edward Island","2016A000211","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113902","3.18.6","2900","","","","0"
"1992","Prince Edward Island","2016A000211","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113902","3.18.6","4000","","","","0"
"1993","Prince Edward Island","2016A000211","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113902","3.18.6","2800","","","","0"
"1994","Prince Edward Island","2016A000211","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113902","3.18.6","2900","","","","0"
"1995","Prince Edward Island","2016A000211","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113902","3.18.6","2900","","","","0"
"1996","Prince Edward Island","2016A000211","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113902","3.18.6","3200","","","","0"
"1997","Prince Edward Island","2016A000211","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113902","3.18.6","3300","","","","0"
"1998","Prince Edward Island","2016A000211","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113902","3.18.6","3500","","","","0"
"1999","Prince Edward Island","2016A000211","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113902","3.18.6","2700","","","","0"
"2000","Prince Edward Island","2016A000211","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113902","3.18.6","3500","","","","0"
"2001","Prince Edward Island","2016A000211","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115113902","3.18.6","2500","","","","0"
