"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","Quebec","2016A000224","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114106","6.18.6","3400","","","","0"
"1991","Quebec","2016A000224","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114106","6.18.6","3000","","","","0"
"1992","Quebec","2016A000224","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114106","6.18.6","3500","","","","0"
"1993","Quebec","2016A000224","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114106","6.18.6","2900","","","","0"
"1994","Quebec","2016A000224","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114106","6.18.6","2400","","","","0"
"1995","Quebec","2016A000224","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114106","6.18.6","2700","","","","0"
"1996","Quebec","2016A000224","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114106","6.18.6","2900","","","","0"
"1997","Quebec","2016A000224","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114106","6.18.6","3300","","","","0"
"1998","Quebec","2016A000224","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114106","6.18.6","3300","","","","0"
"1999","Quebec","2016A000224","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114106","6.18.6","3300","","","","0"
"2000","Quebec","2016A000224","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114106","6.18.6","3200","","","","0"
"2001","Quebec","2016A000224","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114106","6.18.6","3400","","","","0"
"2002","Quebec","2016A000224","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114106","6.18.6","3100","","","","0"
"2003","Quebec","2016A000224","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114106","6.18.6","3000","","","","0"
"2004","Quebec","2016A000224","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114106","6.18.6","3300","","","","0"
"2005","Quebec","2016A000224","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114106","6.18.6","3100","","","","0"
"2006","Quebec","2016A000224","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114106","6.18.6","2900","","","","0"
"2007","Quebec","2016A000224","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114106","6.18.6","3300","","","","0"
"2008","Quebec","2016A000224","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114106","6.18.6","2600","","","","0"
"2009","Quebec","2016A000224","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114106","6.18.6","2900","","","","0"
"2010","Quebec","2016A000224","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114106","6.18.6","3000","","","","0"
"2011","Quebec","2016A000224","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114106","6.18.6","2800","","","","0"
"2012","Quebec","2016A000224","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114106","6.18.6","3300","","","","0"
"2013","Quebec","2016A000224","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114106","6.18.6","3100","","","","0"
"2014","Quebec","2016A000224","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114106","6.18.6","3100","","","","0"
"2015","Quebec","2016A000224","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114106","6.18.6","3400","","","","0"
"2016","Quebec","2016A000224","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114106","6.18.6","3400","","","","0"
"2017","Quebec","2016A000224","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114106","6.18.6","3300","","","","0"
"2018","Quebec","2016A000224","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114106","6.18.6","2910","","","","0"
"2019","Quebec","2016A000224","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114106","6.18.6","3240","","","","0"
"2020","Quebec","2016A000224","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114106","6.18.6","2520","","","","0"
"1990","Quebec","2016A000224","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114111","6.18.16","","..","","","0"
"1991","Quebec","2016A000224","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114111","6.18.16","","..","","","0"
"1992","Quebec","2016A000224","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114111","6.18.16","","..","","","0"
"1993","Quebec","2016A000224","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114111","6.18.16","","..","","","0"
"1994","Quebec","2016A000224","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114111","6.18.16","","..","","","0"
"1995","Quebec","2016A000224","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114111","6.18.16","","..","","","0"
"1996","Quebec","2016A000224","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114111","6.18.16","2000","","","","0"
"1997","Quebec","2016A000224","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114111","6.18.16","2100","","","","0"
"1998","Quebec","2016A000224","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114111","6.18.16","2300","","","","0"
"1999","Quebec","2016A000224","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114111","6.18.16","2300","","","","0"
"2000","Quebec","2016A000224","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114111","6.18.16","2100","","","","0"
"2001","Quebec","2016A000224","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114111","6.18.16","2200","","","","0"
"2002","Quebec","2016A000224","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114111","6.18.16","2200","","","","0"
"2003","Quebec","2016A000224","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114111","6.18.16","2200","","","","0"
"2004","Quebec","2016A000224","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114111","6.18.16","2200","","","","0"
"2005","Quebec","2016A000224","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114111","6.18.16","1900","","","","0"
"2006","Quebec","2016A000224","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114111","6.18.16","2100","","","","0"
"2007","Quebec","2016A000224","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114111","6.18.16","2200","","","","0"
"2008","Quebec","2016A000224","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114111","6.18.16","1800","","","","0"
"2009","Quebec","2016A000224","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114111","6.18.16","2000","","","","0"
"2010","Quebec","2016A000224","Average yield (kilograms per hectare)","Canola (rapeseed)","Kilograms per hectare","193","units","0","v115114111","6.18.16","2000","","","","0"
