"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1990","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114181","10.18.6","2700","","","","0"
"1991","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114181","10.18.6","2400","","","","0"
"1992","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114181","10.18.6","2700","","","","0"
"1993","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114181","10.18.6","2800","","","","0"
"1994","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114181","10.18.6","2700","","","","0"
"1995","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114181","10.18.6","2600","","","","0"
"1996","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114181","10.18.6","3000","","","","0"
"1997","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114181","10.18.6","2500","","","","0"
"1998","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114181","10.18.6","2800","","","","0"
"1999","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114181","10.18.6","3000","","","","0"
"2000","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114181","10.18.6","2800","","","","0"
"2001","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114181","10.18.6","2100","","","","0"
"2002","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114181","10.18.6","1800","","","","0"
"2003","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114181","10.18.6","2300","","","","0"
"2004","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114181","10.18.6","2900","","","","0"
"2005","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114181","10.18.6","3000","","","","0"
"2006","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114181","10.18.6","2600","","","","0"
"2007","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114181","10.18.6","2400","","","","0"
"2008","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114181","10.18.6","3200","","","","0"
"2009","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114181","10.18.6","3300","","","","0"
"2010","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114181","10.18.6","2600","","","","0"
"2011","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114181","10.18.6","3000","","","","0"
"2012","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114181","10.18.6","2400","","","","0"
"2013","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114181","10.18.6","3600","","","","0"
"2014","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114181","10.18.6","2900","","","","0"
"2015","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114181","10.18.6","3300","","","","0"
"2016","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114181","10.18.6","3800","","","","0"
"2017","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114181","10.18.6","3600","","","","0"
"2018","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114181","10.18.6","3372","","","","0"
"2019","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114181","10.18.6","3730","","","","0"
"2020","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Barley","Kilograms per hectare","193","units","0","v115114181","10.18.6","3690","","","","0"
"1990","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1410","","","","0"
"1991","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1069","","","","0"
"1992","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1374","","","","0"
"1993","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1044","","","","0"
"1994","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1168","","","","0"
"1995","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1049","","","","0"
"1996","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1210","","","","0"
"1997","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1010","","","","0"
"1998","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1110","","","","0"
"1999","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1120","","","","0"
"2000","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1030","","","","0"
"2001","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","710","","","","0"
"2002","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","780","","","","0"
"2003","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","880","","","","0"
"2004","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","940","","","","0"
"2005","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1260","","","","0"
"2006","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1010","","","","0"
"2007","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","930","","","","0"
"2008","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1200","","","","0"
"2009","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1370","","","","0"
"2010","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1000","","","","0"
"2011","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1180","","","","0"
"2012","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1140","","","","0"
"2013","Saskatchewan","2016A000247","Average yield (kilograms per hectare)","Canary seed","Kilograms per hectare","193","units","0","v115114183","10.18.33","1540","","","","0"
