REF_DATE,GEO,DGUID,"Area, production and farm value of potatoes",UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,KG_HA,STATUS,SYMBOL,TERMINATED,DECIMALS
1990,Newfoundland and Labrador,2016A000210,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47161,2.2,140,15875.734,,,,1
1991,Newfoundland and Labrador,2016A000210,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47161,2.2,120,13607.772,,,,1
1992,Newfoundland and Labrador,2016A000210,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47161,2.2,130,14741.753,,,,1
1993,Newfoundland and Labrador,2016A000210,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47161,2.2,120,13607.772,,,,1
1994,Newfoundland and Labrador,2016A000210,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47161,2.2,150,17009.715,,,,1
1995,Newfoundland and Labrador,2016A000210,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47161,2.2,140,15875.734,,,,1
1996,Newfoundland and Labrador,2016A000210,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47161,2.2,135,15308.7435,,,,1
1997,Newfoundland and Labrador,2016A000210,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47161,2.2,130,14741.753,,,,1
1998,Newfoundland and Labrador,2016A000210,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47161,2.2,134.3,15229.36483,,,,1
1999,Newfoundland and Labrador,2016A000210,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47161,2.2,126,14288.1606,,,,1
2000,Newfoundland and Labrador,2016A000210,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47161,2.2,150,17009.715,,,,1
2001,Newfoundland and Labrador,2016A000210,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47161,2.2,160,18143.696,,,,1
2002,Newfoundland and Labrador,2016A000210,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47161,2.2,164.3,18631.30783,,,,1
2003,Newfoundland and Labrador,2016A000210,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47161,2.2,214.3,24301.21283,,,,1
2004,Newfoundland and Labrador,2016A000210,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47161,2.2,190,21545.639,,,,1
2005,Newfoundland and Labrador,2016A000210,"Average yield, potatoes",Hundredweight per harvested acres,159,units,0,v47161,2.2,166,18824.0846,,,,1
