"","Period","Commodity","Province","Country","State","Value....","Quantity","Unit.of.measure","Kilograms","Seeded.Area","Nitrogen.Applied"
"1198","2016-01-01","1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken","Newfoundland and Labrador","The world","N/A",12175,200,"Weight in kilograms",200,NA,NA
"1237","2020-01-01","1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken","Newfoundland and Labrador","The world","N/A",63352,16917,"Weight in kilograms",16917,NA,NA
"1238","2014-01-01","1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken","Newfoundland and Labrador","The world","N/A",140943,20000,"Weight in kilograms",20000,NA,NA
"1276","2017-01-01","1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken","Newfoundland and Labrador","The world","N/A",31679,9848,"Weight in kilograms",9848,NA,NA
"1311","2013-01-01","1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken","Newfoundland and Labrador","The world","N/A",75540,25601,"Weight in kilograms",25601,NA,NA
"1312","2018-01-01","1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken","Newfoundland and Labrador","The world","N/A",29601,13778,"Weight in kilograms",13778,NA,NA
"1346","2012-01-01","1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken","Newfoundland and Labrador","The world","N/A",21536,6433,"Weight in kilograms",6433,NA,NA
"1347","2021-01-01","1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken","Newfoundland and Labrador","The world","N/A",50634,6268,"Weight in kilograms",6268,NA,NA
"1392","2019-01-01","1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken","Newfoundland and Labrador","The world","N/A",19159,250,"Weight in kilograms",250,NA,NA
"3171","2021-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Newfoundland and Labrador","The world","N/A",347,1,"Weight in metric tonne",1000,NA,NA
"3195","2013-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Newfoundland and Labrador","The world","N/A",29171,36,"Weight in metric tonne",36000,NA,NA
"3247","2020-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Newfoundland and Labrador","The world","N/A",85,0,"Weight in metric tonne",0,0,0
"3276","2017-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Newfoundland and Labrador","The world","N/A",85,0,"Weight in metric tonne",0,0,0
"3350","2014-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Newfoundland and Labrador","The world","N/A",107621,275,"Weight in metric tonne",275000,NA,NA
"3376","2002-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Newfoundland and Labrador","The world","N/A",14286,37,"Weight in metric tonne",37000,1.98590460409993,307.815213635488
"3428","2010-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Newfoundland and Labrador","The world","N/A",10415,25,"Weight in metric tonne",25000,1.25978427202169,195.266562163362
"3430","1989-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Newfoundland and Labrador","The world","N/A",19760,76,"Weight in metric tonne",76000,NA,NA
"3431","1997-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Newfoundland and Labrador","The world","N/A",3953,19,"Weight in metric tonne",19000,1.28885621676065,199.772713597901
"3432","2009-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Newfoundland and Labrador","The world","N/A",50251,206,"Weight in metric tonne",206000,12.9757780018234,2011.24559028263
"3488","2007-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Newfoundland and Labrador","The world","N/A",9353,31,"Weight in metric tonne",31000,1.5621324973069,242.130537082569
"3539","1988-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Newfoundland and Labrador","The world","N/A",90875,338,"Weight in metric tonne",338000,NA,NA
"3540","1992-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Newfoundland and Labrador","The world","N/A",3844,50,"Weight in metric tonne",50000,3.39172688621224,525.717667362898
"3585","2003-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Newfoundland and Labrador","The world","N/A",4560,25,"Weight in metric tonne",25000,1.02875523846848,159.457061962615
"3747","1994-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Newfoundland and Labrador","The world","N/A",2070,3,"Weight in metric tonne",3000,0.176369798083037,27.3373187028707
