"","Period","Commodity","Province","Country","State","Value....","Quantity","Unit.of.measure","Kilograms","Seeded.Area","Nitrogen.Applied"
"292","2015-01-01","1005.10.90 - Maize (corn) seed, o/t yellow dent, nes","Nova Scotia","The world","N/A",153,84,"Weight in kilograms",84,0.01308515878596,1.8319222300344
"375","2015-01-01","1005.90.00 - Maize (corn) nes (Terminated 2016-12)","Nova Scotia","The world","N/A",8470,21619,"Weight in kilograms",21619,3.36771485468653,471.480079656115
"316","2019-01-01","1005.10.90 - Maize (corn) seed, o/t yellow dent, nes","Nova Scotia","The world","N/A",2832,1600,"Weight in kilograms",1600,0.249241119732571,34.8937567625599
"317","2012-01-01","1005.90.00 - Maize (corn) nes (Terminated 2016-12)","Nova Scotia","The world","N/A",7169,17565,"Weight in kilograms",17565,2.73620016756413,383.068023458978
"318","2016-01-01","1005.90.00 - Maize (corn) nes (Terminated 2016-12)","Nova Scotia","The world","N/A",3707,9457,"Weight in kilograms",9457,1.47317079331933,206.243911064706
"330","2018-01-01","1005.10.90 - Maize (corn) seed, o/t yellow dent, nes","Nova Scotia","The world","N/A",3032,1662,"Weight in kilograms",1662,0.258899213122208,36.2458898371091
"351","2014-01-01","1005.90.00 - Maize (corn) nes (Terminated 2016-12)","Nova Scotia","The world","N/A",7253,20562,"Weight in kilograms",20562,3.2030599399632,448.428391594848
"372","2020-01-01","1005.10.90 - Maize (corn) seed, o/t yellow dent, nes","Nova Scotia","The world","N/A",3256,1784,"Weight in kilograms",1784,0.277903848501817,38.9065387902543
"373","2017-01-01","1005.90.90 - Corn (maize), o/t certified organic, o/t seed for sowing","Nova Scotia","The world","N/A",337,825,"Weight in kilograms",825,0.128514952362107,17.992093330695
"442","2017-01-01","1005.10.90 - Maize (corn) seed, o/t yellow dent, nes","Nova Scotia","The world","N/A",2050,1122,"Weight in kilograms",1122,0.174780335212465,24.4692469297452
"374","2013-01-01","1005.90.00 - Maize (corn) nes (Terminated 2016-12)","Nova Scotia","The world","N/A",36513,117450,"Weight in kilograms",117450,18.295855945369,2561.41983235167
"441","2013-01-01","1005.10.10 - Yellow dent corn seed","Nova Scotia","The world","N/A",204,68,"Weight in kilograms",68,0.0105927475886343,1.4829846624088
"404","2021-01-01","1005.10.90 - Maize (corn) seed, o/t yellow dent, nes","Nova Scotia","The world","N/A",1404,768,"Weight in kilograms",768,0.119635737471634,16.7490032460288
"440","2011-01-01","1005.10.10 - Yellow dent corn seed","Nova Scotia","The world","N/A",19,10,"Weight in kilograms",10,0.00155775699832857,0.218085979766
"443","2011-01-01","1005.90.00 - Maize (corn) nes (Terminated 2016-12)","Nova Scotia","The world","N/A",10710,24240,"Weight in kilograms",24240,3.77600296394845,528.640414952783
