"","Period","Commodity","Province","Country","State","Value....","Quantity","Unit.of.measure","Kilograms","Seeded.Area","Nitrogen.Applied"
"3805","2016-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Quebec","The world","N/A",6730630,12640183,"Weight in kilograms",12640183,5860.80709763709,586080.709763709
"3889","2016-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, whether or not broken, nes","Quebec","The world","N/A",22784,44521,"Weight in kilograms",44521,20.6428176549264,2064.28176549264
"3979","2016-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Quebec","The world","N/A",2510,7052,"Weight in kilograms",7052,3.26976370931788,326.976370931788
"3981","2016-01-01","1205.90.20 - Rape/colza seeds,o/t low erucic acid, for oil extraction, w/n broken (Terminated 2016-12)","Quebec","The world","N/A",290,434,"Weight in kilograms",434,0.201230494872938,20.1230494872938
"4091","2016-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Quebec","The world","N/A",6,4,"Weight in kilograms",4,0.00185465893892109,0.185465893892109
"3806","2015-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Quebec","The world","N/A",9061,16430,"Weight in kilograms",16430,7.61801159161837,761.801159161837
"3853","2015-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Quebec","The world","N/A",7398471,13744633,"Weight in kilograms",13744633,6372.90161390994,637290.161390994
"3887","2015-01-01","1205.90.20 - Rape/colza seeds,o/t low erucic acid, for oil extraction, w/n broken (Terminated 2016-12)","Quebec","The world","N/A",20,38,"Weight in kilograms",38,0.0176192599197503,1.76192599197503
"3930","2015-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, whether or not broken, nes","Quebec","The world","N/A",25546,45803,"Weight in kilograms",45803,21.2372358448506,2123.72358448506
"4012","2015-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Quebec","The world","N/A",748,441,"Weight in kilograms",441,0.20447614801605,20.447614801605
"3807","2017-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Quebec","The world","N/A",46694,99148,"Weight in kilograms",99148,45.971431119037,4597.1431119037
"3856","2017-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, w/n broken, o/t for sowing","Quebec","The world","N/A",13132,28078,"Weight in kilograms",28078,13.0187784217566,1301.87784217566
"4050","2017-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Quebec","The world","N/A",9023696,16062328,"Weight in kilograms",16062328,7447.53505127062,744753.505127062
"4092","2017-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Quebec","The world","N/A",1875,991,"Weight in kilograms",991,0.4594917521177,45.94917521177
"3808","2020-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, w/n broken, o/t for sowing","Quebec","The world","N/A",3301,6160,"Weight in kilograms",6160,2.85617476593848,285.617476593848
"3855","2020-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Quebec","The world","N/A",142,92,"Weight in kilograms",92,0.042657155595185,4.2657155595185
"4009","2020-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Quebec","The world","N/A",6768004,12773701,"Weight in kilograms",12773701,5922.71468568881,592271.468568881
"4011","2020-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Quebec","The world","N/A",77640,147370,"Weight in kilograms",147370,68.3302719572002,6833.02719572002
"3854","2019-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Quebec","The world","N/A",58904,111100,"Weight in kilograms",111100,51.5131520285332,5151.31520285332
"3885","2019-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Quebec","The world","N/A",5416407,10596512,"Weight in kilograms",10596512,4913.22892554614,491322.892554614
"3931","2019-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, w/n broken, o/t for sowing","Quebec","The world","N/A",1696,3584,"Weight in kilograms",3584,1.66177440927329,166.177440927329
"4093","2019-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Quebec","The world","N/A",268,200,"Weight in kilograms",200,0.0927329469460544,9.27329469460544
"3886","2014-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Quebec","The world","N/A",61972,151809,"Weight in kilograms",151809,70.3884797146679,7038.84797146679
"3888","2014-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, whether or not broken, nes","Quebec","The world","N/A",8026,16026,"Weight in kilograms",16026,7.43069103878734,743.069103878734
"3928","2014-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Quebec","The world","N/A",8158138,15317914,"Weight in kilograms",15317914,7102.37653143112,710237.653143112
"3980","2014-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Quebec","The world","N/A",20,44,"Weight in kilograms",44,0.020401248328132,2.0401248328132
"4013","2014-01-01","1205.90.20 - Rape/colza seeds,o/t low erucic acid, for oil extraction, w/n broken (Terminated 2016-12)","Quebec","The world","N/A",7868,17233,"Weight in kilograms",17233,7.99033437360678,799.033437360678
"3929","2021-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Quebec","The world","N/A",466,568,"Weight in kilograms",568,0.263361569326794,26.3361569326795
"4051","2021-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Quebec","The world","N/A",4707546,6385873,"Weight in kilograms",6385873,2960.90411056621,296090.411056621
"4052","2021-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, w/n broken, o/t for sowing","Quebec","The world","N/A",272,459,"Weight in kilograms",459,0.212822113241195,21.2822113241195
"4090","2021-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Quebec","The world","N/A",38667,57484,"Weight in kilograms",57484,26.653303611235,2665.3303611235
"3978","2018-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Quebec","The world","N/A",8649108,15336149,"Weight in kilograms",15336149,7110.83145786893,711083.145786893
"4010","2018-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Quebec","The world","N/A",52307,98722,"Weight in kilograms",98722,45.7739099420419,4577.39099420419
"4014","2018-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, w/n broken, o/t for sowing","Quebec","The world","N/A",6394,14973,"Weight in kilograms",14973,6.94245207311636,694.245207311636
"4015","2018-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Quebec","The world","N/A",8,1,"Weight in kilograms",1,0.000463664734730272,0.0463664734730272
"4223","1988-01-01","1205.00.90 - Rape or colza seeds, nes, whether or not broken (Terminated 2001-12)","Quebec","The world","N/A",17466,79080,"Weight in kilograms",79080,36.6666072224699,3666.66072224699
"294","2017-01-01","1005.10.90 - Maize (corn) seed, o/t yellow dent, nes","Quebec","The world","N/A",209411,347487,"Weight in kilograms",347487,44.7652205703144,7610.08749695345
"323","2017-01-01","1005.90.90 - Corn (maize), o/t certified organic, o/t seed for sowing","Quebec","The world","N/A",115296537,501744874,"Weight in kilograms",501744874,64637.5834337245,10988389.1837332
"380","2017-01-01","1005.90.10 - Corn (maize), certified organic, o/t seed for sowing","Quebec","The world","N/A",3229395,6501754,"Weight in kilograms",6501754,837.592347063125,142390.699000731
"406","2017-01-01","1005.10.10 - Yellow dent corn seed","Quebec","The world","N/A",14638399,70885151,"Weight in kilograms",70885151,9131.82196650534,1552409.73430591
"295","2020-01-01","1005.10.90 - Maize (corn) seed, o/t yellow dent, nes","Quebec","The world","N/A",37199,25534,"Weight in kilograms",25534,3.28943281919153,559.20357926256
"333","2020-01-01","1005.90.10 - Corn (maize), certified organic, o/t seed for sowing","Quebec","The world","N/A",4028065,7733811,"Weight in kilograms",7733811,996.312826851433,169373.180564744
"407","2020-01-01","1005.10.10 - Yellow dent corn seed","Quebec","The world","N/A",52136,184602,"Weight in kilograms",184602,23.7814630409805,4042.84871696668
"410","2020-01-01","1005.90.90 - Corn (maize), o/t certified organic, o/t seed for sowing","Quebec","The world","N/A",69267612,273501489,"Weight in kilograms",273501489,35233.9928728108,5989778.78837784
"296","2021-01-01","1005.90.10 - Corn (maize), certified organic, o/t seed for sowing","Quebec","The world","N/A",7817871,16903031,"Weight in kilograms",16903031,2177.54307649455,370182.323004074
"297","2021-01-01","1005.10.10 - Yellow dent corn seed","Quebec","The world","N/A",12540,1021,"Weight in kilograms",1021,0.131530935552383,22.3602590439052
"324","2021-01-01","1005.90.90 - Corn (maize), o/t certified organic, o/t seed for sowing","Quebec","The world","N/A",84476603,259405162,"Weight in kilograms",259405162,33418.0251175098,5681064.26997667
"409","2021-01-01","1005.10.90 - Maize (corn) seed, o/t yellow dent, nes","Quebec","The world","N/A",15181,11004,"Weight in kilograms",11004,1.41759688033146,240.991469656349
"298","2014-01-01","1005.90.00 - Maize (corn) nes (Terminated 2016-12)","Quebec","The world","N/A",241536456,1038422427,"Weight in kilograms",1038422427,133775.390129174,22741816.3219595
"319","2014-01-01","1005.10.10 - Yellow dent corn seed","Quebec","The world","N/A",22402,87028,"Weight in kilograms",87028,11.2114341422652,1905.94380418509
"320","2015-01-01","1005.10.10 - Yellow dent corn seed","Quebec","The world","N/A",9172000,43430823,"Weight in kilograms",43430823,5595.00174436823,951150.296542599
"322","2015-01-01","1005.10.90 - Maize (corn) seed, o/t yellow dent, nes","Quebec","The world","N/A",62140,74047,"Weight in kilograms",74047,9.53914905469865,1621.65533929877
"355","2015-01-01","1005.90.00 - Maize (corn) nes (Terminated 2016-12)","Quebec","The world","N/A",45277399,162586829,"Weight in kilograms",162586829,20945.3454719543,3560708.73023223
"321","2018-01-01","1005.10.10 - Yellow dent corn seed","Quebec","The world","N/A",21128906,96759643,"Weight in kilograms",96759643,12465.1188712092,2119070.20810557
"332","2018-01-01","1005.10.90 - Maize (corn) seed, o/t yellow dent, nes","Quebec","The world","N/A",181538,287903,"Weight in kilograms",287903,37.0892761394102,6305.17694369973
"428","2018-01-01","1005.90.90 - Corn (maize), o/t certified organic, o/t seed for sowing","Quebec","The world","N/A",108595057,466196387,"Weight in kilograms",466196387,60058.0283381498,10209864.8174855
"445","2018-01-01","1005.90.10 - Corn (maize), certified organic, o/t seed for sowing","Quebec","The world","N/A",4733545,8284921,"Weight in kilograms",8284921,1067.30990216218,181442.683367571
"325","2013-01-01","1005.90.00 - Maize (corn) nes (Terminated 2016-12)","Quebec","The world","N/A",137375874,469247379,"Weight in kilograms",469247379,60451.0742070262,10276682.6151945
"353","2013-01-01","1005.10.90 - Maize (corn) seed, o/t yellow dent, nes","Quebec","The world","N/A",1055,730,"Weight in kilograms",730,0.0940426865359841,15.9872567111173
"378","2013-01-01","1005.10.10 - Yellow dent corn seed","Quebec","The world","N/A",5375,20366,"Weight in kilograms",20366,2.62366212875596,446.022561888514
