"","Period","Commodity","Province","Country","State","Value....","Quantity","Unit.of.measure","Kilograms","Seeded.Area","Nitrogen.Applied"
"3816","2013-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Manitoba","The world","N/A",616270395,984923470,"Weight in kilograms",984923470,572981.059888995,51568295.3900096
"3901","2013-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, whether or not broken, nes","Manitoba","The world","N/A",95761,179474,"Weight in kilograms",179474,104.409333186585,9396.83998679266
"3941","2013-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Manitoba","The world","N/A",3119669,14597396,"Weight in kilograms",14597396,8492.06226317196,764285.603685477
"4061","2013-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Manitoba","The world","N/A",6907,8092,"Weight in kilograms",8092,4.70753604503074,423.678244052766
"4063","2013-01-01","1205.90.20 - Rape/colza seeds,o/t low erucic acid, for oil extraction, w/n broken (Terminated 2016-12)","Manitoba","The world","N/A",1101859,4761911,"Weight in kilograms",4761911,2770.2505778211,249322.552003899
"3817","2011-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Manitoba","The world","N/A",410000,799382,"Weight in kilograms",799382,465.041964748982,41853.7768274084
"3939","2011-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Manitoba","The world","N/A",764823338,1317197028,"Weight in kilograms",1317197028,766281.820034276,68965363.8030849
"3942","2011-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Manitoba","The world","N/A",185323,28451,"Weight in kilograms",28451,16.5514221474505,1489.62799327055
"3945","2011-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, whether or not broken, nes","Manitoba","The world","N/A",51948,98654,"Weight in kilograms",98654,57.3921479222025,5165.29331299822
"3818","2015-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Manitoba","The world","N/A",851194,1542942,"Weight in kilograms",1542942,897.60937721105,80784.8439489945
"3944","2015-01-01","1205.90.20 - Rape/colza seeds,o/t low erucic acid, for oil extraction, w/n broken (Terminated 2016-12)","Manitoba","The world","N/A",1835,3528,"Weight in kilograms",3528,2.05242055942517,184.717850348265
"4027","2015-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Manitoba","The world","N/A",70223,41441,"Weight in kilograms",41441,24.1083787990755,2169.75409191679
"4030","2015-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, whether or not broken, nes","Manitoba","The world","N/A",2399650,4302382,"Weight in kilograms",4302382,2502.91872769296,225262.685492366
"4059","2015-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Manitoba","The world","N/A",694962217,1291078205,"Weight in kilograms",1291078205,751087.14619267,67597843.1573403
"3819","2020-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Manitoba","The world","N/A",10445675,19827905,"Weight in kilograms",19827905,11534.9205987327,1038142.85388595
"3940","2020-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Manitoba","The world","N/A",910604247,1718642359,"Weight in kilograms",1718642359,999823.387729753,89984104.8956777
"4028","2020-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Manitoba","The world","N/A",18995,12461,"Weight in kilograms",12461,7.24920991808305,652.428892627474
"4109","2020-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, w/n broken, o/t for sowing","Manitoba","The world","N/A",444432,828941,"Weight in kilograms",828941,482.237967956479,43401.4171160831
"3820","2016-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Manitoba","The world","N/A",684,540,"Weight in kilograms",540,0.314146003993648,28.2731403594283
"3861","2016-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Manitoba","The world","N/A",311201,874596,"Weight in kilograms",874596,508.797849090423,45791.8064181381
"4064","2016-01-01","1205.90.20 - Rape/colza seeds,o/t low erucic acid, for oil extraction, w/n broken (Terminated 2016-12)","Manitoba","The world","N/A",35938,53762,"Weight in kilograms",53762,31.2761434568639,2814.85291111775
"4102","2016-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Manitoba","The world","N/A",834597363,1567382084,"Weight in kilograms",1567382084,911827.441518215,82064469.7366394
"4107","2016-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, whether or not broken, nes","Manitoba","The world","N/A",2825290,5520687,"Weight in kilograms",5520687,3211.66992657348,289050.293391613
"3821","2018-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Manitoba","The world","N/A",768,136,"Weight in kilograms",136,0.0791182528576595,7.12064275718935
"3862","2018-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Manitoba","The world","N/A",5105264,9635145,"Weight in kilograms",9635145,5605.26351786922,504473.716608229
"3898","2018-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Manitoba","The world","N/A",844152101,1496806717,"Weight in kilograms",1496806717,870770.090548891,78369308.1494002
"3946","2018-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, w/n broken, o/t for sowing","Manitoba","The world","N/A",623837,1461151,"Weight in kilograms",1461151,850.027310891338,76502.4579802204
"3822","2019-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Manitoba","The world","N/A",30675,22775,"Weight in kilograms",22775,13.2493985943617,1192.44587349256
"3900","2019-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Manitoba","The world","N/A",6741332,12716224,"Weight in kilograms",12716224,7397.68695460763,665791.825914687
"4060","2019-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Manitoba","The world","N/A",619970359,1212891608,"Weight in kilograms",1212891608,705601.948019685,63504175.3217717
"4108","2019-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, w/n broken, o/t for sowing","Manitoba","The world","N/A",193824,410097,"Weight in kilograms",410097,238.57469222182,21471.7222999638
"3860","2012-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Manitoba","The world","N/A",604550449,971422387,"Weight in kilograms",971422387,565126.779751891,50861410.1776702
"3899","2012-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Manitoba","The world","N/A",186474,315250,"Weight in kilograms",315250,183.397273627773,16505.7546264996
"4026","2012-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Manitoba","The world","N/A",28152,20361,"Weight in kilograms",20361,11.8450496061383,1066.05446455244
"4029","2012-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, whether or not broken, nes","Manitoba","The world","N/A",292954,503107,"Weight in kilograms",503107,292.68343265043,26341.5089385387
"4106","2012-01-01","1205.90.20 - Rape/colza seeds,o/t low erucic acid, for oil extraction, w/n broken (Terminated 2016-12)","Manitoba","The world","N/A",78630,163835,"Weight in kilograms",163835,95.3113158598135,8578.01842738322
"3863","2021-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, w/n broken, o/t for sowing","Manitoba","The world","N/A",36661,61938,"Weight in kilograms",61938,36.0325466580714,3242.92919922643
"4024","2021-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Manitoba","The world","N/A",633378723,859189799,"Weight in kilograms",859189799,499835.263014732,44985173.6713259
"4062","2021-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Manitoba","The world","N/A",62728,76405,"Weight in kilograms",76405,44.4487508058049,4000.38757252244
"4103","2021-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Manitoba","The world","N/A",5202887,7734134,"Weight in kilograms",7734134,4499.34683416927,404941.215075235
"3902","2017-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, w/n broken, o/t for sowing","Manitoba","The world","N/A",1235467,2641793,"Weight in kilograms",2641793,1536.86798949702,138318.119054732
"3990","2017-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Manitoba","The world","N/A",848870792,1511006605,"Weight in kilograms",1511006605,879030.901793997,79112781.1614597
"4025","2017-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Manitoba","The world","N/A",4392738,9326882,"Weight in kilograms",9326882,5425.930944482,488333.78500338
"4105","2017-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Manitoba","The world","N/A",176250,93160,"Weight in kilograms",93160,54.1960032074967,4877.64028867471
"3943","2014-01-01","1205.90.20 - Rape/colza seeds,o/t low erucic acid, for oil extraction, w/n broken (Terminated 2016-12)","Manitoba","The world","N/A",763699,1672513,"Weight in kilograms",1672513,972.987547365607,87568.8792629047
"3991","2014-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Manitoba","The world","N/A",6015153,14734739,"Weight in kilograms",14734739,8571.96180877659,771476.562789893
"3992","2014-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, whether or not broken, nes","Manitoba","The world","N/A",778748,1555513,"Weight in kilograms",1555513,904.92257983365,81443.0321850285
"4023","2014-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Manitoba","The world","N/A",791850172,1486794749,"Weight in kilograms",1486794749,864945.609550164,77845104.8595148
"4104","2014-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Manitoba","The world","N/A",1941,4227,"Weight in kilograms",4227,2.45906510903917,221.315859813525
"4133","2005-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Manitoba","The world","N/A",1905537,5396572,"Weight in kilograms",5396572,3139.46579456298,282551.921510668
"4193","2005-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, whether or not broken, nes","Manitoba","The world","N/A",506740,1305274,"Weight in kilograms",1305274,759.345576327416,68341.1018694675
"4273","2005-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Manitoba","The world","N/A",293190834,901986364,"Weight in kilograms",901986364,524732.244272889,47225901.98456
"4330","2005-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Manitoba","The world","N/A",12692,15317,"Weight in kilograms",15317,8.9106932280939,801.962390528451
