"","Period","Commodity","Province","Country","State","Value....","Quantity","Unit.of.measure","Kilograms","Seeded.Area","Nitrogen.Applied"
"3810","2021-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Ontario","The world","N/A",52733,78384,"Weight in kilograms",78384,37.6425512031773,4328.89338836539
"3811","2021-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Ontario","The world","N/A",636,775,"Weight in kilograms",775,0.37218025595099,42.8007294343639
"3933","2021-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Ontario","The world","N/A",6419387,8708007,"Weight in kilograms",8708007,4181.86874075228,480914.905186512
"3987","2021-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, w/n broken, o/t for sowing","Ontario","The world","N/A",371,628,"Weight in kilograms",628,0.301586065467383,34.6823975287491
"3812","2014-01-01","1205.90.20 - Rape/colza seeds,o/t low erucic acid, for oil extraction, w/n broken (Terminated 2016-12)","Ontario","The world","N/A",14260,31232,"Weight in kilograms",31232,14.9986241985307,1724.84178283104
"3859","2014-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Ontario","The world","N/A",112326,275150,"Weight in kilograms",275150,132.13599667731,15195.6396178906
"3895","2014-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, whether or not broken, nes","Ontario","The world","N/A",14544,29046,"Weight in kilograms",29046,13.9488357604548,1604.1161124523
"3984","2014-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Ontario","The world","N/A",36,79,"Weight in kilograms",79,0.0379383744775848,4.36291306492225
"4095","2014-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Ontario","The world","N/A",14786632,27763729,"Weight in kilograms",27763729,13333.0474391922,1533300.4555071
"3813","2015-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, whether or not broken, nes","Ontario","The world","N/A",30654,54964,"Weight in kilograms",54964,26.3955039846326,3035.48295823274
"3891","2015-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Ontario","The world","N/A",8878151,16493559,"Weight in kilograms",16493559,7920.74452924227,910885.620862861
"4019","2015-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Ontario","The world","N/A",10873,19712,"Weight in kilograms",19712,9.4663447810399,1088.62964981959
"4057","2015-01-01","1205.90.20 - Rape/colza seeds,o/t low erucic acid, for oil extraction, w/n broken (Terminated 2016-12)","Ontario","The world","N/A",23,45,"Weight in kilograms",45,0.0216104664745736,2.48520364457597
"4098","2015-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Ontario","The world","N/A",897,530,"Weight in kilograms",530,0.254523271811645,29.2701762583392
"3892","2020-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Ontario","The world","N/A",9229099,17418684,"Weight in kilograms",17418684,8365.01970251538,961977.265789269
"3893","2020-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Ontario","The world","N/A",105866,200962,"Weight in kilograms",200962,96.5085014147393,11098.477662695
"3894","2020-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Ontario","The world","N/A",193,127,"Weight in kilograms",127,0.06098953871713,7.01379695246995
"4021","2020-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, w/n broken, o/t for sowing","Ontario","The world","N/A",4506,8407,"Weight in kilograms",8407,4.03731537003868,464.291267554448
"3932","2017-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Ontario","The world","N/A",10312784,18356948,"Weight in kilograms",18356948,8815.60465176648,1013794.53495314
"3934","2017-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Ontario","The world","N/A",53368,113312,"Weight in kilograms",113312,54.4161150481531,6257.8532305376
"4055","2017-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Ontario","The world","N/A",2142,1133,"Weight in kilograms",1133,0.544103522570932,62.5719050956571
"4099","2017-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, w/n broken, o/t for sowing","Ontario","The world","N/A",15006,32093,"Weight in kilograms",32093,15.4121044570776,1772.39201256392
"3935","2016-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Ontario","The world","N/A",8,6,"Weight in kilograms",6,0.00288139552994315,0.331360485943462
"3983","2016-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Ontario","The world","N/A",9535047,17906931,"Weight in kilograms",17906931,8599.49182306674,988941.559652675
"3985","2016-01-01","1205.90.20 - Rape/colza seeds,o/t low erucic acid, for oil extraction, w/n broken (Terminated 2016-12)","Ontario","The world","N/A",410,615,"Weight in kilograms",615,0.295343041819173,33.9644498092049
"4058","2016-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, whether or not broken, nes","Ontario","The world","N/A",32280,63070,"Weight in kilograms",63070,30.2882693455858,3483.15097474236
"4096","2016-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Ontario","The world","N/A",3556,9993,"Weight in kilograms",9993,4.79896425512032,551.880889338837
"3936","2018-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, w/n broken, o/t for sowing","Ontario","The world","N/A",7670,17964,"Weight in kilograms",17964,8.62689821664979,992.093294914726
"4017","2018-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Ontario","The world","N/A",10378921,18403357,"Weight in kilograms",18403357,8837.891765958,1016357.55308517
"4020","2018-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Ontario","The world","N/A",9,2,"Weight in kilograms",2,0.000960465176647717,0.110453495314487
