"","Period","Commodity","Province","Country","State","Value....","Quantity","Unit.of.measure","Kilograms","Seeded.Area","Nitrogen.Applied"
"3833","2014-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Alberta","The world","N/A",1745843518,3278032949,"Weight in kilograms",3278032949,1901291.99763293,161609819.798799
"3838","2014-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Alberta","The world","N/A",4279,9319,"Weight in kilograms",9319,5.40511349385503,459.434646977677
"3912","2014-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Alberta","The world","N/A",13262004,32486625,"Weight in kilograms",32486625,18842.5684255079,1601618.31616817
"3914","2014-01-01","1205.90.20 - Rape/colza seeds,o/t low erucic acid, for oil extraction, w/n broken (Terminated 2016-12)","Alberta","The world","N/A",1683774,3687501,"Weight in kilograms",3687501,2138.78757524454,181796.943895786
"3968","2014-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, whether or not broken, nes","Alberta","The world","N/A",1716954,3429537,"Weight in kilograms",3429537,1989.16586719338,169079.098711437
"3834","2015-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Alberta","The world","N/A",1663667526,3090707441,"Weight in kilograms",3090707441,1792641.32362992,152374512.508543
"3999","2015-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Alberta","The world","N/A",168105,99207,"Weight in kilograms",99207,57.5410553047404,4890.98970090293
"4042","2015-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Alberta","The world","N/A",2037663,3693641,"Weight in kilograms",3693641,2142.34883684475,182099.651131803
"4076","2015-01-01","1205.90.20 - Rape/colza seeds,o/t low erucic acid, for oil extraction, w/n broken (Terminated 2016-12)","Alberta","The world","N/A",4392,8445,"Weight in kilograms",8445,4.89818472535741,416.34570165538
"4077","2015-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, whether or not broken, nes","Alberta","The world","N/A",5744515,10299456,"Weight in kilograms",10299456,5973.78781038375,507771.963882619
"3835","2016-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Alberta","The world","N/A",1827925268,3432861705,"Weight in kilograms",3432861705,1991094.22944883,169243009.503151
"3839","2016-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Alberta","The world","N/A",1499,1183,"Weight in kilograms",1183,0.686151868572862,58.3229088286933
"3916","2016-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, whether or not broken, nes","Alberta","The world","N/A",6187917,12091346,"Weight in kilograms",12091346,7013.10198771006,596113.668955355
"3963","2016-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Alberta","The world","N/A",681593,1915528,"Weight in kilograms",1915528,1111.02545773765,94437.1639077
"3966","2016-01-01","1205.90.20 - Rape/colza seeds,o/t low erucic acid, for oil extraction, w/n broken (Terminated 2016-12)","Alberta","The world","N/A",78712,117748,"Weight in kilograms",117748,68.2950213192877,5805.07681213945
"3836","2013-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Alberta","The world","N/A",8102054,37910707,"Weight in kilograms",37910707,21988.5904031854,1869030.18427075
"3872","2013-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Alberta","The world","N/A",1600508075,2557932307,"Weight in kilograms",2557932307,1483626.40078693,126108244.066889
"3875","2013-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Alberta","The world","N/A",17938,21012,"Weight in kilograms",21012,12.1871708051166,1035.90951843491
"3967","2013-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, whether or not broken, nes","Alberta","The world","N/A",248697,466099,"Weight in kilograms",466099,270.34209618761,22979.0781759468
"4045","2013-01-01","1205.90.20 - Rape/colza seeds,o/t low erucic acid, for oil extraction, w/n broken (Terminated 2016-12)","Alberta","The world","N/A",2861619,12367098,"Weight in kilograms",12367098,7173.04091422122,609708.477708804
"3837","2012-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Alberta","The world","N/A",86772,62757,"Weight in kilograms",62757,36.3996896162528,3093.97361738149
"3998","2012-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Alberta","The world","N/A",1863383006,2994178524,"Weight in kilograms",2994178524,1736653.58333333,147615554.583333
"4001","2012-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, whether or not broken, nes","Alberta","The world","N/A",902965,1550704,"Weight in kilograms",1550704,899.423877602207,76451.0295961876
"4041","2012-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Alberta","The world","N/A",574760,971687,"Weight in kilograms",971687,563.588208552797,47904.9977269877
"4120","2012-01-01","1205.90.20 - Rape/colza seeds,o/t low erucic acid, for oil extraction, w/n broken (Terminated 2016-12)","Alberta","The world","N/A",242361,504982,"Weight in kilograms",504982,292.894626285428,24896.0432342613
