"","Period","Commodity","Province","Country","State","Value....","Quantity","Unit.of.measure","Kilograms","Seeded.Area","Nitrogen.Applied"
"3845","2011-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","British Columbia","The world","N/A",10971760,18895838,"Weight in kilograms",18895838,12663.3944213005,1266339.44213005
"3848","2011-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, whether or not broken, nes","British Columbia","The world","N/A",747,1417,"Weight in kilograms",1417,0.949628690454628,94.9628690454628
"3880","2011-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","British Columbia","The world","N/A",5879,11466,"Weight in kilograms",11466,7.68415142184387,768.415142184387
"4081","2011-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","British Columbia","The world","N/A",2658,409,"Weight in kilograms",409,0.274098895127694,27.4098895127694
"3846","2021-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","British Columbia","The world","N/A",12838763,17416012,"Weight in kilograms",17416012,11671.6617279478,1167166.17279478
"4006","2021-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","British Columbia","The world","N/A",105463,156776,"Weight in kilograms",156776,105.066328563666,10506.6328563666
"4083","2021-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","British Columbia","The world","N/A",1272,1549,"Weight in kilograms",1549,1.03809092555696,103.809092555696
"4130","2021-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, w/n broken, o/t for sowing","British Columbia","The world","N/A",745,1254,"Weight in kilograms",1254,0.840391233472197,84.0391233472197
"3847","2018-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","British Columbia","The world","N/A",24,4,"Weight in kilograms",4,0.0026806737909799,0.268067379097989
"3924","2018-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, w/n broken, o/t for sowing","British Columbia","The world","N/A",19175,44917,"Weight in kilograms",44917,30.101956167361,3010.1956167361
"3974","2018-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","British Columbia","The world","N/A",25947298,46008417,"Weight in kilograms",46008417,30833.3894040935,3083338.94040935
"3975","2018-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","British Columbia","The world","N/A",156924,296164,"Weight in kilograms",296164,198.479768157942,19847.9768157942
