"","Period","Commodity","Province","Country","State","Value....","Quantity","Unit.of.measure","Kilograms","Seeded.Area","Nitrogen.Applied"
"4377","2000-01-01","1205.00.10 - Rape or colza seeds, for sowing (Terminated 2001-12)","New Brunswick","The world","N/A",9765,25000,"Weight in kilograms",25000,11.6441546343735,1339.07778295296
"3178","2013-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",31800130,71776,"Weight in metric tonne",71776000,2170.63076598217,336447.768727237
"3179","2014-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",36035928,70149,"Weight in metric tonne",70149000,2057.91167094593,318976.308996619
"3180","2020-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",70873982,93031,"Weight in metric tonne",93031000,3455.74108792396,535639.868628214
"3200","2015-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",39733940,77652,"Weight in metric tonne",77652000,2152.02192972092,333563.399106743
"3231","2012-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",29424240,65887,"Weight in metric tonne",65887000,2022.35936065037,313465.700900808
"3251","2018-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",51266285,88007,"Weight in metric tonne",88007000,2525.50875689779,391453.857319157
"3286","2021-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",36514744,51049,"Weight in metric tonne",51049000,1659.02991329186,257149.636560238
"3332","2019-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",46415640,71709,"Weight in metric tonne",71709000,2035.94685298398,315571.762212517
"3358","2011-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",51621156,128203,"Weight in metric tonne",128203000,4614.51780074276,715250.259115129
"3359","2016-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",49406900,91738,"Weight in metric tonne",91738000,2652.42828467895,411126.384125238
"3360","2017-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",54211640,106277,"Weight in metric tonne",106277000,3189.9341441237,494439.792339174
"3387","1988-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",18591332,183859,"Weight in metric tonne",183859000,5975.19208658206,926154.77342022
"3388","1989-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",31252733,148594,"Weight in metric tonne",148594000,4829.12282191013,748514.037396071
"3389","1993-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",19546767,104154,"Weight in metric tonne",104154000,3532.6192210655,547555.979265152
"3391","2007-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",39047001,128574,"Weight in metric tonne",128574000,3909.75352047041,606011.795672913
"3501","2000-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",22243955,75833,"Weight in metric tonne",75833000,2622.48056824136,406484.48807741
"3502","2005-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",31108231,92367,"Weight in metric tonne",92367000,3132.83637298766,485589.637813088
"3503","2009-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",51355311,106338,"Weight in metric tonne",106338000,3473.11325713962,538332.554856641
"3556","1996-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",21232063,78019,"Weight in metric tonne",78019000,2548.18431048897,394968.56812579
"3602","1994-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",21465685,71494,"Weight in metric tonne",71494000,2521.87646882972,390890.852668607
"3605","2006-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",38194398,96470,"Weight in metric tonne",96470000,2835.73240351176,439538.522544322
"3606","2008-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",64907258,154028,"Weight in metric tonne",154028000,5224.20908829499,809752.408685724
"3607","2010-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",35114026,95240,"Weight in metric tonne",95240000,2847.02704566583,441289.192078204
"3650","1991-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",13821871,74926,"Weight in metric tonne",74926000,3073.18220724875,476343.242123556
"3651","1995-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",19093356,64797,"Weight in metric tonne",64797000,2597.32586508785,402585.509088616
"3701","1990-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",34513817,144835,"Weight in metric tonne",144835000,4912.4076356455,761423.183525053
"3702","1992-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",9257460,48046,"Weight in metric tonne",48046000,1486.6426874908,230429.616561075
"3703","1998-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",29225145,100507,"Weight in metric tonne",100507000,3344.60364074184,518413.564314986
"3706","1999-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",28154605,84103,"Weight in metric tonne",84103000,2966.64582563553,459830.102973507
"3707","2001-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",31379483,86855,"Weight in metric tonne",86855000,3063.71976250043,474876.563187567
"3708","2004-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",24013737,77991,"Weight in metric tonne",77991000,2413.20296882353,374046.460167647
"3758","1997-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",17108496,68080,"Weight in metric tonne",68080000,2309.0876641333,357908.587940661
"3762","2002-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",43997992,86225,"Weight in metric tonne",86225000,2924.51650763651,453300.058683659
"3763","2003-01-01","0701.90.00 - Potatoes, fresh or chilled nes","New Brunswick","The world","N/A",28659130,83213,"Weight in metric tonne",83213000,2877.69804076152,446043.196318035
