"","Period","Commodity","Province","Country","State","Value....","Quantity","Unit.of.measure","Kilograms","Seeded.Area","Nitrogen.Applied"
"1395","2017-01-01","1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken","Nova Scotia","The world","N/A",456,240,"Weight in kilograms",240,NA,NA
"1483","2018-01-01","1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken","Nova Scotia","The world","N/A",1310,109,"Weight in kilograms",109,NA,NA
"1520","2002-01-01","1207.99.00 - Oil seeds and oleaginous fruits, nes, whether or not broken (Terminated 2005-12)","Nova Scotia","The world","N/A",49856,48000,"Weight in kilograms",48000,NA,NA
"3199","2019-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",430404,548,"Weight in metric tonne",548000,18.5795173682245,2879.8251920748
"3226","2021-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",143501,198,"Weight in metric tonne",198000,7.65036903998247,1185.80720119728
"3229","2016-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",85229,229,"Weight in metric tonne",229000,7.47938588166952,1159.30481165878
"3230","2020-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",364120,553,"Weight in metric tonne",553000,19.5064996679839,3023.5074485375
"3249","2017-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",177337,340,"Weight in metric tonne",340000,11.1047650644875,1721.23858499556
"3309","2013-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",305453,589,"Weight in metric tonne",589000,21.9159938968162,3396.97905400651
"3328","2011-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",97163,235,"Weight in metric tonne",235000,9.010196206416,1396.58041199448
"3330","2014-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",91483,184,"Weight in metric tonne",184000,5.74983041234563,891.223713913573
"3331","2018-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Nova Scotia","The world","N/A",96454,113,"Weight in metric tonne",113000,3.82089478209033,592.238691224001
