"","Period","Commodity","Province","Country","State","Value....","Quantity","Unit.of.measure","Kilograms","Seeded.Area","Nitrogen.Applied"
"1277","2017-01-01","1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken","Prince Edward Island","The world","N/A",19429,21456,"Weight in kilograms",21456,NA,NA
"1313","2015-01-01","1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken","Prince Edward Island","The world","N/A",238043,124916,"Weight in kilograms",124916,NA,NA
"1348","2021-01-01","1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken","Prince Edward Island","The world","N/A",7375,2600,"Weight in kilograms",2600,NA,NA
"1393","2013-01-01","1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken","Prince Edward Island","The world","N/A",150650,51068,"Weight in kilograms",51068,NA,NA
"1394","2016-01-01","1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken","Prince Edward Island","The world","N/A",30761,36690,"Weight in kilograms",36690,NA,NA
"1482","2018-01-01","1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken","Prince Edward Island","The world","N/A",93412,18340,"Weight in kilograms",18340,NA,NA
"1941","1988-01-01","1207.99.00 - Oil seeds and oleaginous fruits, nes, whether or not broken (Terminated 2005-12)","Prince Edward Island","The world","N/A",5564,20453,"Weight in kilograms",20453,NA,NA
"3172","2012-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",49041625,109954,"Weight in metric tonne",109954000,3342.39310210655,518070.930826516
"3197","2016-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",68850794,131047,"Weight in metric tonne",131047000,3894.96678958337,603719.852385422
"3198","2020-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",116293251,138912,"Weight in metric tonne",138912000,4870.75176765622,754966.523986714
"3223","2014-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",55954523,113444,"Weight in metric tonne",113444000,3357.0629821698,520344.762236319
"3224","2018-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",90722603,126617,"Weight in metric tonne",126617000,3912.30110789766,606406.671724138
"3305","2019-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",76698129,100599,"Weight in metric tonne",100599000,3066.47516718897,475303.650914291
"3326","2011-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",79598164,208878,"Weight in metric tonne",208878000,6463.11766385764,1001783.23789793
"3327","2017-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",71934242,120386,"Weight in metric tonne",120386000,3610.96165170484,559699.05601425
"3351","2013-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",57048825,127026,"Weight in metric tonne",127026000,3712.88531178254,575497.223326293
"3353","2015-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",63157793,128951,"Weight in metric tonne",128951000,3903.71813124024,605076.310342238
"3355","2021-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",74278962,85508,"Weight in metric tonne",85508000,2748.45320122877,426010.246190459
"3436","1999-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",55340412,173667,"Weight in metric tonne",173667000,5890.31033147822,912998.101379124
"3439","2008-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",55897338,134806,"Weight in metric tonne",134806000,4245.6619643539,658077.604474854
"3440","2010-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",46094326,116441,"Weight in metric tonne",116441000,3422.77927643115,530530.787846828
"3489","1990-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",33857560,124534,"Weight in metric tonne",124534000,4392.80728689458,680885.12946866
"3491","2007-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",53941584,163439,"Weight in metric tonne",163439000,5057.14095243744,783856.847627804
"3492","2009-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",44181979,86831,"Weight in metric tonne",86831000,2552.39432289136,395621.120048161
"3546","2006-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",55087907,131739,"Weight in metric tonne",131739000,3747.54529510664,580869.520741529
"3588","1988-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",17547774,106153,"Weight in metric tonne",106153000,3412.03808614442,528865.903352386
"3589","1998-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",62105382,221161,"Weight in metric tonne",221161000,7359.64545544198,1140745.04559351
"3640","1989-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",30376616,94171,"Weight in metric tonne",94171000,3026.90492600592,469170.263530918
"3641","1995-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",61206827,201755,"Weight in metric tonne",201755000,6713.86577589492,1040649.19526371
"3642","2002-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",31945600,73427,"Weight in metric tonne",73427000,2312.55449354342,358445.94649923
"3643","2004-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",29588798,115649,"Weight in metric tonne",115649000,3708.54377791002,574824.285576053
"3689","1991-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",38674048,140332,"Weight in metric tonne",140332000,4950.06530091774,767260.12164225
"3690","1993-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",56942993,214061,"Weight in metric tonne",214061000,7260.36448989479,1125356.49593369
"3691","1994-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",78595340,234692,"Weight in metric tonne",234692000,8447.46543912327,1309357.14306411
"3692","1996-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",61356542,202674,"Weight in metric tonne",202674000,6874.1485493618,1065493.02515108
"3693","1997-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",42618097,163524,"Weight in metric tonne",163524000,5441.64053994915,843454.283692118
"3694","2000-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",34249743,124440,"Weight in metric tonne",124440000,4064.34401360242,629973.322108375
"3695","2001-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",17662711,60527,"Weight in metric tonne",60527000,3103.23685132906,481001.711956004
"3696","2005-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",44371631,137226,"Weight in metric tonne",137226000,4400.45852940778,682071.072058206
"3749","1992-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",35492988,129292,"Weight in metric tonne",129292000,3931.58688512965,609395.967195096
"3751","2003-01-01","0701.90.00 - Potatoes, fresh or chilled nes","Prince Edward Island","The world","N/A",40177720,122142,"Weight in metric tonne",122142000,4064.55846744496,630006.562453968
