"","Period","Commodity","Province","Country","State","Value....","Quantity","Unit.of.measure","Kilograms","Seeded.Area","Nitrogen.Applied"
"3827","2018-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Saskatchewan","The world","N/A",3158651080,5600756308,"Weight in kilograms",5600756308,3636790.91971008,272759318.978256
"3954","2018-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Saskatchewan","The world","N/A",2875,509,"Weight in kilograms",509,0.330513679998596,24.7885259998947
"4037","2018-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, w/n broken, o/t for sowing","Saskatchewan","The world","N/A",2334274,5467350,"Weight in kilograms",5467350,3550.16496726979,266262.372545234
"4068","2018-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Saskatchewan","The world","N/A",19102897,36052816,"Weight in kilograms",36052816,23410.5086256822,1755788.14692617
"3828","2019-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Saskatchewan","The world","N/A",2387802527,4671425912,"Weight in kilograms",4671425912,3033340.21417666,227500516.063249
"3866","2019-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Saskatchewan","The world","N/A",25964093,48976244,"Weight in kilograms",48976244,31802.1977150278,2385164.82862709
"3955","2019-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Saskatchewan","The world","N/A",118141,87720,"Weight in kilograms",87720,56.9600393113494,4272.0029483512
"4038","2019-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, w/n broken, o/t for sowing","Saskatchewan","The world","N/A",746513,1579481,"Weight in kilograms",1579481,1025.61901335533,76921.4260016497
"3829","2017-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, w/n broken, o/t for sowing","Saskatchewan","The world","N/A",5176376,11068661,"Weight in kilograms",11068661,7187.31607026904,539048.705270178
"3869","2017-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Saskatchewan","The world","N/A",738449,390328,"Weight in kilograms",390328,253.455292114915,19009.1469086187
"4065","2017-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Saskatchewan","The world","N/A",3556620354,6330853738,"Weight in kilograms",6330853738,4110871.83984135,308315387.988101
"4067","2017-01-01","1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes","Saskatchewan","The world","N/A",18404807,39078017,"Weight in kilograms",39078017,25374.8903845141,1903116.77883856
"3864","2011-01-01","1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken","Saskatchewan","The world","N/A",2151837054,3705945257,"Weight in kilograms",3705945257,2406415.72645268,180481179.483951
"3908","2011-01-01","1205.90.90 - Rape or colza seeds, o/t low erucic acid, whether or not broken, nes","Saskatchewan","The world","N/A",146163,277559,"Weight in kilograms",277559,180.229953844264,13517.2465383198
"4034","2011-01-01","1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing","Saskatchewan","The world","N/A",521409,80047,"Weight in kilograms",80047,51.9776592197399,3898.32444148049
