"","REF_DATE","GEO","DGUID","Trade.flow.detail","Product","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS","Metric.Tonnes","Kilograms","Seeded.Area","Nitrogen.Applied"
"1153",2010,"British Columbia","2016A000259","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113715672","11.18.4",4273,NA,NA,NA,0,10247.9854182655,10247985.4182655,6867.87648027214,686787.648027214
"1154",2011,"British Columbia","2016A000259","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113715672","11.18.4",8106,NA,NA,NA,0,15288.570350811,15288570.350811,10245.9174602428,1024591.74602428
"1155",2012,"British Columbia","2016A000259","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113715672","11.18.4",27898,NA,NA,NA,0,49478.5754824064,49478575.4824064,33158.9801276768,3315898.01276768
"1156",2013,"British Columbia","2016A000259","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113715672","11.18.4",25593,NA,NA,NA,0,44538.9996867495,44538999.6867495,29848.6322841828,2984863.22841828
"1157",2014,"British Columbia","2016A000259","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113715672","11.18.4",12306,NA,NA,NA,0,27846.6690803765,27846669.0803765,18661.9589924639,1866195.89924639
"1158",2015,"British Columbia","2016A000259","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113715672","11.18.4",18106,NA,NA,NA,0,39493.9469953103,39493946.9953103,26467.5971531694,2646759.71531694
"1159",2016,"British Columbia","2016A000259","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113715672","11.18.4",21654,NA,NA,NA,0,45849.9195392564,45849919.5392564,30727.1694068554,3072716.94068554
"1160",2017,"British Columbia","2016A000259","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113715672","11.18.4",24990,NA,NA,NA,0,50213.9972270782,50213997.2270782,33651.8365767414,3365183.65767414
"1169",2010,"British Columbia","2016A000259","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113715674","11.18.8",2407,NA,NA,NA,0,5441.4250375542,5441425.0375542,159.950505859569,15995.0505859569
"1170",2011,"British Columbia","2016A000259","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113715674","11.18.8",6182,NA,NA,NA,0,12198.5422261886,12198542.2261886,391.173532607322,39117.3532607322
"1171",2012,"British Columbia","2016A000259","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113715674","11.18.8",4576,NA,NA,NA,0,10224.3507244794,10224350.7244794,327.866667783015,32786.6667783015
"1172",2013,"British Columbia","2016A000259","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113715674","11.18.8",3956,NA,NA,NA,0,9019.3296695571,9019329.6695571,284.060241547166,28406.0241547166
"1173",2014,"British Columbia","2016A000259","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113715674","11.18.8",4159,NA,NA,NA,0,9492.21849458056,9492218.49458056,310.601235482234,31060.1235482234
"1174",2015,"British Columbia","2016A000259","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113715674","11.18.8",6162,NA,NA,NA,0,12233.8909443488,12233890.9443488,393.738845916915,39373.8845916915
"1175",2016,"British Columbia","2016A000259","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113715674","11.18.8",5371,NA,NA,NA,0,10729.3900389713,10729390.0389713,300.371484877382,30037.1484877382
"1176",2017,"British Columbia","2016A000259","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113715674","11.18.8",5251,NA,NA,NA,0,10071.7551305776,10071755.1305776,311.640950652941,31164.0950652941
"1161",2010,"British Columbia","2016A000259","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113715673","11.18.7",2137,NA,NA,NA,0,14485.1894529926,14485189.4529926,NA,NA
"1162",2011,"British Columbia","2016A000259","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113715673","11.18.7",4920,NA,NA,NA,0,23046.6554243957,23046655.4243957,NA,NA
"1163",2012,"British Columbia","2016A000259","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113715673","11.18.7",6191,NA,NA,NA,0,25845.3702930617,25845370.2930617,NA,NA
"1164",2013,"British Columbia","2016A000259","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113715673","11.18.7",4412,NA,NA,NA,0,17911.6596297499,17911659.6297499,NA,NA
"1165",2014,"British Columbia","2016A000259","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113715673","11.18.7",1812,NA,NA,NA,0,7878.26086956522,7878260.86956522,NA,NA
"1166",2015,"British Columbia","2016A000259","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113715673","11.18.7",780,NA,NA,NA,0,3545.45454545455,3545454.54545455,NA,NA
"1167",2016,"British Columbia","2016A000259","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113715673","11.18.7",1279,NA,NA,NA,0,6395,6395000,NA,NA
"1168",2017,"British Columbia","2016A000259","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113715673","11.18.7",3909,NA,NA,NA,0,23153.4679855476,23153467.9855476,NA,NA
