"","REF_DATE","GEO","DGUID","Trade.flow.detail","Product","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS","Metric.Tonnes","Kilograms","Seeded.Area","Nitrogen.Applied"
"1001",2010,"Alberta","2016A000248","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113709566","10.18.4",64462,NA,NA,NA,0,154599.961627015,154599961.627015,89669.5287841664,7621909.94665414
"1002",2011,"Alberta","2016A000248","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113709566","10.18.4",242108,NA,NA,NA,0,456635.231987929,456635231.987929,264853.015794353,22512506.34252
"1003",2012,"Alberta","2016A000248","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113709566","10.18.4",380235,NA,NA,NA,0,674366.841657208,674366841.657208,391139.533817982,33246860.3745284
"1004",2013,"Alberta","2016A000248","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113709566","10.18.4",305737,NA,NA,NA,0,532068.149385681,532068149.385681,308604.864673787,26231413.4972719
"1005",2014,"Alberta","2016A000248","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113709566","10.18.4",223570,NA,NA,NA,0,505906.04634323,505906046.34323,293430.582435094,24941599.506983
"1006",2015,"Alberta","2016A000248","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113709566","10.18.4",78747,NA,NA,NA,0,171767.913621987,171767913.621987,99627.1131805481,8468304.62034659
"1007",2016,"Alberta","2016A000248","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113709566","10.18.4",3939,NA,NA,NA,0,8340.39129330058,8340391.29330058,4837.51062597382,411188.403207774
"1008",2017,"Alberta","2016A000248","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113709566","10.18.4",5554,NA,NA,NA,0,11160.0056262182,11160005.6262182,6472.91522714561,550197.794307377
"1025",2010,"Alberta","2016A000248","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113709569","10.18.8",33848,NA,NA,NA,0,168275.77978185,168275779.78185,4725.91804178192,614369.345431649
"1026",2011,"Alberta","2016A000248","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113709569","10.18.8",27670,NA,NA,NA,0,134803.061836946,134803061.836946,3624.26658493252,471154.656041227
"1027",2012,"Alberta","2016A000248","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113709569","10.18.8",44049,NA,NA,NA,0,200127.757495405,200127757.495405,5163.32536282556,671232.297167322
"1028",2013,"Alberta","2016A000248","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113709569","10.18.8",35678,NA,NA,NA,0,175811.201242509,175811201.242509,4342.82717981476,564567.533375919
"1029",2014,"Alberta","2016A000248","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113709569","10.18.8",40266,NA,NA,NA,0,182546.015105517,182546015.105517,4456.75578973187,579378.252665144
"1030",2015,"Alberta","2016A000248","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113709569","10.18.8",49412,NA,NA,NA,0,198820.564211665,198820564.211665,4562.31365661811,593100.775360355
"1031",2016,"Alberta","2016A000248","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113709569","10.18.8",60166,NA,NA,NA,0,249144.892195718,249144892.195718,5729.02664015368,744773.463219978
"1032",2017,"Alberta","2016A000248","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113709569","10.18.8",41733,NA,NA,NA,0,170384.675100955,170384675.100955,3731.15355649357,485049.962344164
"1017",2010,"Alberta","2016A000248","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113709568","10.18.7",89199,NA,NA,NA,0,604616.010302989,604616010.302989,NA,NA
"1018",2011,"Alberta","2016A000248","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113709568","10.18.7",88713,NA,NA,NA,0,415556.492411467,415556492.411467,NA,NA
"1019",2012,"Alberta","2016A000248","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113709568","10.18.7",106568,NA,NA,NA,0,444886.031560491,444886031.560491,NA,NA
"1020",2013,"Alberta","2016A000248","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113709568","10.18.7",58063,NA,NA,NA,0,235721.825267944,235721825.267944,NA,NA
"1021",2014,"Alberta","2016A000248","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113709568","10.18.7",91141,NA,NA,NA,0,414277.272727273,414277272.727273,NA,NA
