"","REF_DATE","GEO","DGUID","Trade.flow.detail","Product","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS","Metric.Tonnes","Kilograms","Seeded.Area","Nitrogen.Applied"
"689",2010,"Manitoba","2016A000246","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113698688","8.18.4",256501,NA,NA,NA,0,625642.714278745,625642714.278745,363968.81225631,32757193.1030679
"690",2011,"Manitoba","2016A000246","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113698688","8.18.4",53984,NA,NA,NA,0,101076.597577187,101076597.577187,58801.4985669397,5292134.87102457
"691",2012,"Manitoba","2016A000246","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113698688","8.18.4",144024,NA,NA,NA,0,250337.20364319,250337203.64319,145634.133658245,13107072.029242
"692",2013,"Manitoba","2016A000246","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113698688","8.18.4",120896,NA,NA,NA,0,210491.86036389,210491860.36389,122454.031123157,11020862.8010841
"693",2014,"Manitoba","2016A000246","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113698688","8.18.4",119149,NA,NA,NA,0,264194.328033881,264194328.033881,153695.541536353,13832598.7382718
"694",2015,"Manitoba","2016A000246","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113698688","8.18.4",162310,NA,NA,NA,0,348544.064593712,348544064.593712,202766.157607072,18248954.1846364
"695",2016,"Manitoba","2016A000246","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113698688","8.18.4",195800,NA,NA,NA,0,407967.662624495,407967662.624495,237335.946244655,21360235.162019
"696",2017,"Manitoba","2016A000246","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113698688","8.18.4",224075,NA,NA,NA,0,443309.06501009,443309065.01009,257895.872790889,23210628.55118
"721",2010,"Manitoba","2016A000246","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113698692","8.18.8",142994,NA,NA,NA,0,629404.918895793,629404918.895793,NA,NA
"722",2011,"Manitoba","2016A000246","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113698692","8.18.8",107661,NA,NA,NA,0,585036.549501044,585036549.501044,NA,NA
"723",2012,"Manitoba","2016A000246","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113698692","8.18.8",115512,NA,NA,NA,0,557099.947334204,557099947.334204,NA,NA
"724",2013,"Manitoba","2016A000246","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113698692","8.18.8",125055,NA,NA,NA,0,545834.279029977,545834279.029977,NA,NA
"725",2014,"Manitoba","2016A000246","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113698692","8.18.8",150623,NA,NA,NA,0,622033.814310375,622033814.310375,NA,NA
"726",2015,"Manitoba","2016A000246","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113698692","8.18.8",135462,NA,NA,NA,0,570985.624829289,570985624.829289,NA,NA
"727",2016,"Manitoba","2016A000246","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113698692","8.18.8",160719,NA,NA,NA,0,668390.330404464,668390330.404464,NA,NA
"728",2017,"Manitoba","2016A000246","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113698692","8.18.8",178588,NA,NA,NA,0,691090.448379892,691090448.379892,NA,NA
"713",2010,"Manitoba","2016A000246","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113698691","8.18.7",25959,NA,NA,NA,0,173325.766174801,173325766.174801,NA,NA
"714",2011,"Manitoba","2016A000246","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113698691","8.18.7",7395,NA,NA,NA,0,33700.9524677574,33700952.4677574,NA,NA
"715",2012,"Manitoba","2016A000246","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113698691","8.18.7",28846,NA,NA,NA,0,116705.101751831,116705101.751831,NA,NA
"716",2013,"Manitoba","2016A000246","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113698691","8.18.7",88058,NA,NA,NA,0,344434.013924744,344434013.924744,NA,NA
"717",2014,"Manitoba","2016A000246","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113698691","8.18.7",41460,NA,NA,NA,0,182145.681398823,182145681.398823,NA,NA
"718",2015,"Manitoba","2016A000246","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113698691","8.18.7",61714,NA,NA,NA,0,287041.860465116,287041860.465116,NA,NA
"719",2016,"Manitoba","2016A000246","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113698691","8.18.7",68770,NA,NA,NA,0,335447.051363348,335447051.363348,NA,NA
"720",2017,"Manitoba","2016A000246","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113698691","8.18.7",64290,NA,NA,NA,0,396386.95357297,396386953.57297,NA,NA
"697",2010,"Manitoba","2016A000246","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars",81,"thousands",3,"v113698689","8.18.5",7905,NA,NA,NA,0,18255.0862526846,18255086.2526846,13525.2646498594,811515.878991565
"698",2011,"Manitoba","2016A000246","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars",81,"thousands",3,"v113698689","8.18.5",51937,NA,NA,NA,0,96958.8918343726,96958891.8343726,71837.221367504,4310233.28205024
"699",2012,"Manitoba","2016A000246","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars",81,"thousands",3,"v113698689","8.18.5",45916,NA,NA,NA,0,82853.9463712151,82853946.3712151,61386.8122256144,3683208.73353687
"700",2013,"Manitoba","2016A000246","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars",81,"thousands",3,"v113698689","8.18.5",14909,NA,NA,NA,0,25147.5896501704,25147589.6501704,18631.9473168526,1117916.83901116
"701",2014,"Manitoba","2016A000246","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars",81,"thousands",3,"v113698689","8.18.5",29132,NA,NA,NA,0,54272.7797753228,54272779.7753228,40210.9143492449,2412654.8609547
"702",2015,"Manitoba","2016A000246","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars",81,"thousands",3,"v113698689","8.18.5",71763,NA,NA,NA,0,135781.048966927,135781048.966927,100600.709100628,6036042.5460377
"703",2016,"Manitoba","2016A000246","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars",81,"thousands",3,"v113698689","8.18.5",74352,NA,NA,NA,0,153610.313410326,153610313.410326,113810.480710107,6828628.84260645
"704",2017,"Manitoba","2016A000246","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars",81,"thousands",3,"v113698689","8.18.5",415577,NA,NA,NA,0,838110.315619643,838110315.619643,620959.203787156,37257552.2272294
"705",2010,"Manitoba","2016A000246","Interprovincial exports","Wheat [MPG111A03]","Dollars",81,"thousands",3,"v113698690","8.18.6",146490,NA,NA,NA,0,587367.332127778,587367332.127778,211589.715694792,16927177.2555834
"706",2011,"Manitoba","2016A000246","Interprovincial exports","Wheat [MPG111A03]","Dollars",81,"thousands",3,"v113698690","8.18.6",102106,NA,NA,NA,0,409404.934222397,409404934.222397,147481.599499846,11798527.9599877
"707",2012,"Manitoba","2016A000246","Interprovincial exports","Wheat [MPG111A03]","Dollars",81,"thousands",3,"v113698690","8.18.6",171146,NA,NA,NA,0,591852.54348653,591852543.48653,213205.441569079,17056435.3255263
"708",2013,"Manitoba","2016A000246","Interprovincial exports","Wheat [MPG111A03]","Dollars",81,"thousands",3,"v113698690","8.18.6",297316,NA,NA,NA,0,1104442.79346211,1104442793.46211,397857.905755937,31828632.460475
"709",2014,"Manitoba","2016A000246","Interprovincial exports","Wheat [MPG111A03]","Dollars",81,"thousands",3,"v113698690","8.18.6",42795,NA,NA,NA,0,198806.094954938,198806094.954938,71616.7256996107,5729338.05596886
"710",2015,"Manitoba","2016A000246","Interprovincial exports","Wheat [MPG111A03]","Dollars",81,"thousands",3,"v113698690","8.18.6",95485,NA,NA,NA,0,428107.065997131,428107065.997131,154218.744261996,12337499.5409597
"711",2016,"Manitoba","2016A000246","Interprovincial exports","Wheat [MPG111A03]","Dollars",81,"thousands",3,"v113698690","8.18.6",99717,NA,NA,NA,0,437240.199947382,437240199.947382,157508.810137698,12600704.8110159
"712",2017,"Manitoba","2016A000246","Interprovincial exports","Wheat [MPG111A03]","Dollars",81,"thousands",3,"v113698690","8.18.6",289170,NA,NA,NA,0,1167608.81854155,1167608818.54155,420612.459094326,33648996.7275461
