"","REF_DATE","GEO","DGUID","Trade.flow.detail","Product","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS","Metric.Tonnes","Kilograms","Seeded.Area","Nitrogen.Applied"
"269",2010,"New Brunswick","2016A000213","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113679595","5.18.4",0,NA,NA,NA,0,NA,NA,NA,NA
"270",2011,"New Brunswick","2016A000213","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113679595","5.18.4",240,NA,NA,NA,0,NA,NA,NA,NA
"271",2012,"New Brunswick","2016A000213","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113679595","5.18.4",965,NA,NA,NA,0,NA,NA,NA,NA
"272",2013,"New Brunswick","2016A000213","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113679595","5.18.4",2137,NA,NA,NA,0,NA,NA,NA,NA
"273",2014,"New Brunswick","2016A000213","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113679595","5.18.4",1069,NA,NA,NA,0,NA,NA,NA,NA
"274",2015,"New Brunswick","2016A000213","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113679595","5.18.4",595,NA,NA,NA,0,NA,NA,NA,NA
"275",2016,"New Brunswick","2016A000213","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113679595","5.18.4",682,NA,NA,NA,0,NA,NA,NA,NA
"276",2017,"New Brunswick","2016A000213","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113679595","5.18.4",700,NA,NA,NA,0,NA,NA,NA,NA
"301",2010,"New Brunswick","2016A000213","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113679599","5.18.8",31595,NA,NA,NA,0,162343.000778959,162343000.778959,NA,NA
"302",2011,"New Brunswick","2016A000213","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113679599","5.18.8",47768,NA,NA,NA,0,221749.746998802,221749746.998802,NA,NA
"303",2012,"New Brunswick","2016A000213","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113679599","5.18.8",52867,NA,NA,NA,0,238537.632157437,238537632.157437,NA,NA
"304",2013,"New Brunswick","2016A000213","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113679599","5.18.8",49831,NA,NA,NA,0,213136.616845966,213136616.845966,NA,NA
"305",2014,"New Brunswick","2016A000213","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113679599","5.18.8",53778,NA,NA,NA,0,221384.441092588,221384441.092588,NA,NA
"306",2015,"New Brunswick","2016A000213","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113679599","5.18.8",53848,NA,NA,NA,0,225866.040733737,225866040.733737,NA,NA
"307",2016,"New Brunswick","2016A000213","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113679599","5.18.8",41804,NA,NA,NA,0,172138.329973251,172138329.973251,NA,NA
"308",2017,"New Brunswick","2016A000213","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113679599","5.18.8",59964,NA,NA,NA,0,239132.862224633,239132862.224633,NA,NA
"293",2010,"New Brunswick","2016A000213","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113679598","5.18.7",5795,NA,NA,NA,0,NA,NA,NA,NA
"294",2011,"New Brunswick","2016A000213","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113679598","5.18.7",11959,NA,NA,NA,0,NA,NA,NA,NA
"295",2012,"New Brunswick","2016A000213","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113679598","5.18.7",12056,NA,NA,NA,0,NA,NA,NA,NA
"296",2013,"New Brunswick","2016A000213","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113679598","5.18.7",10090,NA,NA,NA,0,NA,NA,NA,NA
"297",2014,"New Brunswick","2016A000213","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113679598","5.18.7",10752,NA,NA,NA,0,NA,NA,NA,NA
"298",2015,"New Brunswick","2016A000213","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113679598","5.18.7",7748,NA,NA,NA,0,NA,NA,NA,NA
"299",2016,"New Brunswick","2016A000213","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113679598","5.18.7",7876,NA,NA,NA,0,NA,NA,NA,NA
"300",2017,"New Brunswick","2016A000213","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113679598","5.18.7",15782,NA,NA,NA,0,NA,NA,NA,NA
"277",2010,"New Brunswick","2016A000213","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars",81,"thousands",3,"v113679596","5.18.5",2119,NA,NA,NA,0,NA,NA,NA,NA
"278",2011,"New Brunswick","2016A000213","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars",81,"thousands",3,"v113679596","5.18.5",3002,NA,NA,NA,0,NA,NA,NA,NA
"279",2012,"New Brunswick","2016A000213","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars",81,"thousands",3,"v113679596","5.18.5",3626,NA,NA,NA,0,NA,NA,NA,NA
"280",2013,"New Brunswick","2016A000213","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars",81,"thousands",3,"v113679596","5.18.5",4226,NA,NA,NA,0,NA,NA,NA,NA
"281",2014,"New Brunswick","2016A000213","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars",81,"thousands",3,"v113679596","5.18.5",3529,NA,NA,NA,0,NA,NA,NA,NA
"282",2015,"New Brunswick","2016A000213","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars",81,"thousands",3,"v113679596","5.18.5",3317,NA,NA,NA,0,NA,NA,NA,NA
"283",2016,"New Brunswick","2016A000213","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars",81,"thousands",3,"v113679596","5.18.5",3277,NA,NA,NA,0,NA,NA,NA,NA
"284",2017,"New Brunswick","2016A000213","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars",81,"thousands",3,"v113679596","5.18.5",3411,NA,NA,NA,0,NA,NA,NA,NA
"285",2010,"New Brunswick","2016A000213","Interprovincial exports","Wheat [MPG111A03]","Dollars",81,"thousands",3,"v113679597","5.18.6",16,NA,NA,NA,0,74.8538011695906,74853.8011695906,23.3262079057621,2157.674231283
"286",2011,"New Brunswick","2016A000213","Interprovincial exports","Wheat [MPG111A03]","Dollars",81,"thousands",3,"v113679597","5.18.6",19,NA,NA,NA,0,76.2531604928362,76253.1604928362,23.7622812380294,2198.01101451772
"287",2012,"New Brunswick","2016A000213","Interprovincial exports","Wheat [MPG111A03]","Dollars",81,"thousands",3,"v113679597","5.18.6",17,NA,NA,NA,0,62.043795620438,62043.795620438,19.3343083890427,1788.42352598645
"288",2013,"New Brunswick","2016A000213","Interprovincial exports","Wheat [MPG111A03]","Dollars",81,"thousands",3,"v113679597","5.18.6",24,NA,NA,NA,0,89.3921334922527,89392.1334922527,27.85669476231,2576.74426551367
"289",2014,"New Brunswick","2016A000213","Interprovincial exports","Wheat [MPG111A03]","Dollars",81,"thousands",3,"v113679597","5.18.6",79,NA,NA,NA,0,313.144125574758,313144.125574758,97.5830868104575,9026.43552996732
"290",2015,"New Brunswick","2016A000213","Interprovincial exports","Wheat [MPG111A03]","Dollars",81,"thousands",3,"v113679597","5.18.6",53,NA,NA,NA,0,214.914237054458,214914.237054458,66.972339375026,6194.9413921899
"291",2016,"New Brunswick","2016A000213","Interprovincial exports","Wheat [MPG111A03]","Dollars",81,"thousands",3,"v113679597","5.18.6",63,NA,NA,NA,0,259.035401504872,259035.401504872,80.7215336568627,7466.7418632598
"292",2017,"New Brunswick","2016A000213","Interprovincial exports","Wheat [MPG111A03]","Dollars",81,"thousands",3,"v113679597","5.18.6",49,NA,NA,NA,0,219.102128420676,219102.128420676,68.2773849861876,6315.65811122236
