"","REF_DATE","GEO","DGUID","Trade.flow.detail","Product","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS","Metric.Tonnes","Kilograms","Seeded.Area","Nitrogen.Applied"
"81",2010,"Prince Edward Island","2016A000211","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113669832","3.18.8",68436,NA,NA,NA,0,NA,NA,NA,NA
"82",2011,"Prince Edward Island","2016A000211","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113669832","3.18.8",78732,NA,NA,NA,0,NA,NA,NA,NA
"83",2012,"Prince Edward Island","2016A000211","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113669832","3.18.8",80519,NA,NA,NA,0,NA,NA,NA,NA
"84",2013,"Prince Edward Island","2016A000211","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113669832","3.18.8",57643,NA,NA,NA,0,NA,NA,NA,NA
"85",2014,"Prince Edward Island","2016A000211","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113669832","3.18.8",47150,NA,NA,NA,0,NA,NA,NA,NA
"86",2015,"Prince Edward Island","2016A000211","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113669832","3.18.8",35777,NA,NA,NA,0,NA,NA,NA,NA
"87",2016,"Prince Edward Island","2016A000211","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113669832","3.18.8",32762,NA,NA,NA,0,NA,NA,NA,NA
"88",2017,"Prince Edward Island","2016A000211","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113669832","3.18.8",23424,NA,NA,NA,0,NA,NA,NA,NA
"73",2010,"Prince Edward Island","2016A000211","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113669831","3.18.7",2220,NA,NA,NA,0,NA,NA,NA,NA
"74",2011,"Prince Edward Island","2016A000211","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113669831","3.18.7",6264,NA,NA,NA,0,NA,NA,NA,NA
"75",2012,"Prince Edward Island","2016A000211","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113669831","3.18.7",14107,NA,NA,NA,0,NA,NA,NA,NA
"76",2013,"Prince Edward Island","2016A000211","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113669831","3.18.7",15903,NA,NA,NA,0,NA,NA,NA,NA
"77",2014,"Prince Edward Island","2016A000211","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113669831","3.18.7",12596,NA,NA,NA,0,NA,NA,NA,NA
"78",2015,"Prince Edward Island","2016A000211","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113669831","3.18.7",14145,NA,NA,NA,0,NA,NA,NA,NA
"79",2016,"Prince Edward Island","2016A000211","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113669831","3.18.7",11657,NA,NA,NA,0,NA,NA,NA,NA
"80",2017,"Prince Edward Island","2016A000211","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113669831","3.18.7",15845,NA,NA,NA,0,NA,NA,NA,NA
"57",2010,"Prince Edward Island","2016A000211","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars",81,"thousands",3,"v113669829","3.18.5",5127,NA,NA,NA,0,NA,NA,NA,NA
"58",2011,"Prince Edward Island","2016A000211","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars",81,"thousands",3,"v113669829","3.18.5",10349,NA,NA,NA,0,NA,NA,NA,NA
"59",2012,"Prince Edward Island","2016A000211","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars",81,"thousands",3,"v113669829","3.18.5",15342,NA,NA,NA,0,NA,NA,NA,NA
"60",2013,"Prince Edward Island","2016A000211","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars",81,"thousands",3,"v113669829","3.18.5",17141,NA,NA,NA,0,NA,NA,NA,NA
"61",2014,"Prince Edward Island","2016A000211","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars",81,"thousands",3,"v113669829","3.18.5",13691,NA,NA,NA,0,NA,NA,NA,NA
"62",2015,"Prince Edward Island","2016A000211","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars",81,"thousands",3,"v113669829","3.18.5",10605,NA,NA,NA,0,NA,NA,NA,NA
"63",2016,"Prince Edward Island","2016A000211","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars",81,"thousands",3,"v113669829","3.18.5",17885,NA,NA,NA,0,NA,NA,NA,NA
"64",2017,"Prince Edward Island","2016A000211","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars",81,"thousands",3,"v113669829","3.18.5",10256,NA,NA,NA,0,NA,NA,NA,NA
