"","REF_DATE","GEO","DGUID","Trade.flow.detail","Product","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS","Metric.Tonnes","Kilograms","Seeded.Area","Nitrogen.Applied"
"849",2010,"Saskatchewan","2016A000247","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113703587","9.18.4",198958,NA,NA,NA,0,476477.631957084,476477631.957084,309395.629813659,23204672.2360244
"850",2011,"Saskatchewan","2016A000247","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113703587","9.18.4",549914,NA,NA,NA,0,1024449.03966169,1024449039.66169,665214.974596491,49891123.0947368
"851",2012,"Saskatchewan","2016A000247","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113703587","9.18.4",204579,NA,NA,NA,0,357674.353550011,357674353.550011,232251.997707138,17418899.8280353
"852",2013,"Saskatchewan","2016A000247","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113703587","9.18.4",154201,NA,NA,NA,0,265598.19490854,265598194.90854,172463.333595689,12934750.0196767
"853",2014,"Saskatchewan","2016A000247","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113703587","9.18.4",368570,NA,NA,NA,0,819773.131672598,819773131.672598,532310.873306648,39923315.4979986
"854",2015,"Saskatchewan","2016A000247","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113703587","9.18.4",382637,NA,NA,NA,0,825948.151186133,825948151.186133,536320.555867516,40224041.6900637
"855",2016,"Saskatchewan","2016A000247","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113703587","9.18.4",457350,NA,NA,NA,0,962477.376993981,962477376.993981,624974.341425691,46873075.6069268
"856",2017,"Saskatchewan","2016A000247","Interprovincial exports","Canola (including rapeseed) [MPG111A01]","Dollars",81,"thousands",3,"v113703587","9.18.4",547061,NA,NA,NA,0,1091698.42948654,1091698429.48654,708882.64317934,53166198.2384505
"881",2010,"Saskatchewan","2016A000247","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113703591","9.18.8",11657,NA,NA,NA,0,26943.3563142727,26943356.3142727,931.763590750509,88517.5411212983
"882",2011,"Saskatchewan","2016A000247","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113703591","9.18.8",18908,NA,NA,NA,0,39780.5395225631,39780539.5225631,1252.87245057656,119022.882804773
"883",2012,"Saskatchewan","2016A000247","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113703591","9.18.8",12576,NA,NA,NA,0,28336.8538088733,28336853.8088733,999.553036915903,94957.5385070108
"884",2013,"Saskatchewan","2016A000247","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113703591","9.18.8",4955,NA,NA,NA,0,14400.1404267983,14400140.4267983,461.772701716688,43868.4066630853
"885",2014,"Saskatchewan","2016A000247","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113703591","9.18.8",4300,NA,NA,NA,0,12139.8893047421,12139889.3047421,436.961188862813,41511.3129419673
"886",2015,"Saskatchewan","2016A000247","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113703591","9.18.8",4862,NA,NA,NA,0,13101.1970342429,13101197.0342429,462.131095115101,43902.4540359346
"887",2016,"Saskatchewan","2016A000247","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113703591","9.18.8",7183,NA,NA,NA,0,18733.1476828206,18733147.6828206,660.792294855755,62775.2680112967
"888",2017,"Saskatchewan","2016A000247","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars",81,"thousands",3,"v113703591","9.18.8",4604,NA,NA,NA,0,11679.1049457195,11679104.9457195,411.968276213429,39136.9862402758
"873",2010,"Saskatchewan","2016A000247","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113703590","9.18.7",2631,NA,NA,NA,0,17853.023003325,17853023.003325,NA,NA
"874",2011,"Saskatchewan","2016A000247","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113703590","9.18.7",30633,NA,NA,NA,0,145049.481509541,145049481.509541,NA,NA
"875",2012,"Saskatchewan","2016A000247","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113703590","9.18.7",46721,NA,NA,NA,0,198314.869052167,198314869.052167,NA,NA
"876",2013,"Saskatchewan","2016A000247","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113703590","9.18.7",17794,NA,NA,NA,0,73678.108566933,73678108.5669331,NA,NA
"877",2014,"Saskatchewan","2016A000247","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113703590","9.18.7",4532,NA,NA,NA,0,21411.6980062364,21411698.0062364,NA,NA
"878",2015,"Saskatchewan","2016A000247","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113703590","9.18.7",3022,NA,NA,NA,0,15110,15110000,NA,NA
"879",2016,"Saskatchewan","2016A000247","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113703590","9.18.7",4804,NA,NA,NA,0,25829.3456637454,25829345.6637454,NA,NA
"880",2017,"Saskatchewan","2016A000247","Interprovincial exports","Grains (except wheat) [MPG111A04]","Dollars",81,"thousands",3,"v113703590","9.18.7",5690,NA,NA,NA,0,39502.9158567065,39502915.8567065,NA,NA
"857",2010,"Saskatchewan","2016A000247","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars",81,"thousands",3,"v113703588","9.18.5",8266,NA,NA,NA,0,19370.5621821761,19370562.1821761,15648.3657723743,782418.288618715
"858",2011,"Saskatchewan","2016A000247","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars",81,"thousands",3,"v113703588","9.18.5",17120,NA,NA,NA,0,30755.4118386778,30755411.8386778,24845.5325873033,1242276.62936517
"859",2012,"Saskatchewan","2016A000247","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars",81,"thousands",3,"v113703588","9.18.5",36476,NA,NA,NA,0,67134.154197265,67134154.197265,54233.83125475,2711691.5627375
"860",2013,"Saskatchewan","2016A000247","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars",81,"thousands",3,"v113703588","9.18.5",42619,NA,NA,NA,0,73045.2815959963,73045281.5959963,59009.0919205228,2950454.59602614
"861",2014,"Saskatchewan","2016A000247","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars",81,"thousands",3,"v113703588","9.18.5",42786,NA,NA,NA,0,82401.2017564132,82401201.7564132,66567.2030083904,3328360.15041952
"862",2015,"Saskatchewan","2016A000247","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars",81,"thousands",3,"v113703588","9.18.5",10511,NA,NA,NA,0,20194.0441882805,20194044.1882805,16313.6096366101,815680.481830504
"863",2016,"Saskatchewan","2016A000247","Interprovincial exports","Oilseeds (except canola) [MPG111A02]","Dollars",81,"thousands",3,"v113703588","9.18.5",201,NA,NA,NA,0,442.341549295775,442341.549295775,357.34235767655,17867.1178838275
