"","REF_DATE","GEO","DGUID","Harvest.disposition","Type.of.crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS","Nitrogen.Applied"
"1",1980,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",2286000,"",NA,NA,0,125730000
"2",1981,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",2651000,"",NA,NA,0,145805000
"3",1982,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",2610000,"",NA,NA,0,143550000
"4",1983,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",2226000,"",NA,NA,0,122430000
"5",1984,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",2327000,"",NA,NA,0,127985000
"6",1985,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",2489000,"",NA,NA,0,136895000
"7",1986,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",2387600,"",NA,NA,0,131318000
"8",1987,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",2387600,"",NA,NA,0,131318000
"9",1988,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",2023400,"",NA,NA,0,111287000
"10",1989,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",2205500,"",NA,NA,0,121302500
"11",1990,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",2205500,"",NA,NA,0,121302500
"12",1991,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",2187052,"",NA,NA,0,120287860
"13",1992,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",1942500,"",NA,NA,0,106837500
"14",1993,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",2063900,"",NA,NA,0,113514500
"15",1994,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",1983000,"",NA,NA,0,109065000
"16",1995,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",2084100,"",NA,NA,0,114625500
"17",1996,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",2347200,"",NA,NA,0,129096000
"18",1997,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",2266200,"",NA,NA,0,124641000
"19",1998,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",2104400,"",NA,NA,0,115742000
"20",1999,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",1922300,"",NA,NA,0,105726500
"21",2000,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",2185300,"",NA,NA,0,120191500
"22",2001,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",1983000,"",NA,NA,0,109065000
"23",2002,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",2169100,"",NA,NA,0,119300500
"24",2003,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",2144800,"",NA,NA,0,117964000
"25",2004,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",1910100,"",NA,NA,0,105055500
"26",2005,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",1709800,"",NA,NA,0,94039000
"27",2006,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",1657100,"",NA,NA,0,91140500
"28",2007,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",1962700,"",NA,NA,0,107948500
"29",2008,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",1679400,"",NA,NA,0,92367000
"30",2009,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",1602600,"",NA,NA,0,88143000
"31",2010,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",1509500,"",NA,NA,0,83022500
"32",2011,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",1461000,"",NA,NA,0,80355000
"33",2012,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",1537800,"",NA,NA,0,84579000
"34",2013,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",1497300,"",NA,NA,0,82351500
"35",2014,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",1315200,"",NA,NA,0,72336000
"36",2015,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",1416400,"",NA,NA,0,77902000
"37",2016,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",1381600,"",NA,NA,0,75988000
"38",2017,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",1153400,"",NA,NA,0,63437000
"39",2018,"Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114456","11.16.6",1260200,"",NA,NA,0,69311000
