"","REF_DATE","GEO","DGUID","Harvest.disposition","Type.of.crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS","Nitrogen.Applied"
"211",1980,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",279000,NA,NA,NA,0,12206250
"212",1981,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",290000,NA,NA,NA,0,12687500
"213",1982,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",291000,NA,NA,NA,0,12731250
"214",1983,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",293000,NA,NA,NA,0,12818750
"215",1984,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",299000,NA,NA,NA,0,13081250
"216",1985,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",308000,NA,NA,NA,0,13475000
"217",1986,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",318500,NA,NA,NA,0,13934375
"218",1987,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",339900,NA,NA,NA,0,14870625
"219",1988,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",344000,NA,NA,NA,0,15050000
"220",1989,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",339900,NA,NA,NA,0,14870625
"221",1990,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",344000,NA,NA,NA,0,15050000
"222",1991,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",348844,NA,NA,NA,0,15261925
"223",1992,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",344000,NA,NA,NA,0,15050000
"224",1993,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",350100,NA,NA,NA,0,15316875
"225",1994,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",352100,NA,NA,NA,0,15404375
"226",1995,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",297400,NA,NA,NA,0,13011250
"227",1996,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",367000,NA,NA,NA,0,16056250
"228",1997,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",366200,NA,NA,NA,0,16021250
"229",1998,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",366200,NA,NA,NA,0,16021250
"230",1999,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",364200,NA,NA,NA,0,15933750
"231",2000,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",350100,NA,NA,NA,0,15316875
"232",2001,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",445200,NA,NA,NA,0,19477500
"233",2002,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",437100,NA,NA,NA,0,19123125
"234",2003,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",424900,NA,NA,NA,0,18589375
"235",2004,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",424900,NA,NA,NA,0,18589375
"236",2005,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",424900,NA,NA,NA,0,18589375
"237",2006,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",420600,NA,NA,NA,0,18401250
"238",2007,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",416800,NA,NA,NA,0,18235000
"239",2008,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",412800,NA,NA,NA,0,18060000
"240",2009,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",408700,NA,NA,NA,0,17880625
"241",2010,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",404700,NA,NA,NA,0,17705625
"242",2011,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",401400,NA,NA,NA,0,17561250
"243",2012,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",388500,NA,NA,NA,0,16996875
"244",2013,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",372300,NA,NA,NA,0,16288125
"245",2014,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",374300,NA,NA,NA,0,16375625
"246",2015,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",376400,NA,NA,NA,0,16467500
"247",2016,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",364100,NA,NA,NA,0,15929375
"248",2017,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",356100,NA,NA,NA,0,15579375
"249",2018,"British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115114881","12.16.28",351700,NA,NA,NA,0,15386875
