"","REF_DATE","GEO","DGUID","Harvest.disposition","Type.of.crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS","Nitrogen.Applied"
"253",1980,"Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114643","9.16.6",850000,"",NA,NA,0,63750000
"254",1981,"Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114643","9.16.6",951000,"",NA,NA,0,71325000
"255",1982,"Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114643","9.16.6",830000,"",NA,NA,0,62250000
"256",1983,"Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114643","9.16.6",728000,"",NA,NA,0,54600000
"257",1984,"Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114643","9.16.6",749000,"",NA,NA,0,56175000
"258",1985,"Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114643","9.16.6",769000,"",NA,NA,0,57675000
"259",1986,"Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114643","9.16.6",643500,"",NA,NA,0,48262500
"260",1987,"Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114643","9.16.6",708200,"",NA,NA,0,53115000
"261",1988,"Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114643","9.16.6",627300,"",NA,NA,0,47047500
"262",1989,"Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114643","9.16.6",679900,"",NA,NA,0,50992500
"263",1990,"Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114643","9.16.6",635400,"",NA,NA,0,47655000
"264",1991,"Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114643","9.16.6",544457,"",NA,NA,0,40834275
