"","REF_DATE","GEO","DGUID","Harvest.disposition","Type.of.crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS","Nitrogen.Applied"
"421",1980,"New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114004","5.16.6",3450,"",NA,NA,0,207000
"422",1981,"New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114004","5.16.6",3900,"",NA,NA,0,234000
"423",1982,"New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114004","5.16.6",4850,"",NA,NA,0,291000
"424",1983,"New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114004","5.16.6",6100,"",NA,NA,0,366000
"425",1984,"New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114004","5.16.6",7700,"",NA,NA,0,462000
"426",1985,"New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114004","5.16.6",8500,"",NA,NA,0,510000
"427",1986,"New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114004","5.16.6",10600,"",NA,NA,0,636000
"428",1987,"New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114004","5.16.6",11300,"",NA,NA,0,678000
"429",1988,"New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114004","5.16.6",11700,"",NA,NA,0,702000
"430",1989,"New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114004","5.16.6",12900,"",NA,NA,0,774000
"431",1990,"New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114004","5.16.6",12500,"",NA,NA,0,750000
"432",1991,"New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114004","5.16.6",12807,"",NA,NA,0,768420
"433",1992,"New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114004","5.16.6",14200,"",NA,NA,0,852000
"434",1993,"New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114004","5.16.6",16200,"",NA,NA,0,972000
"435",1994,"New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114004","5.16.6",15400,"",NA,NA,0,924000
