"","REF_DATE","GEO","DGUID","Harvest.disposition","Type.of.crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS","Nitrogen.Applied"
"631",2018,"Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v1000143052","13.16.6",0,"",NA,NA,0,0
"632",2019,"Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v1000143052","13.16.6",NA,"F",NA,NA,0,NA
"633",2020,"Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v1000143052","13.16.6",0,"",NA,NA,0,0
"634",2021,"Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v1000143052","13.16.6",0,"",NA,NA,0,0
"643",1980,"Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v114995817","13.16.28",NA,"..",NA,NA,0,NA
"644",1981,"Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v114995817","13.16.28",NA,"..",NA,NA,0,NA
"645",1982,"Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v114995817","13.16.28",NA,"..",NA,NA,0,NA
"646",1983,"Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v114995817","13.16.28",3200,"",NA,NA,0,140000
"647",1984,"Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v114995817","13.16.28",3400,"",NA,NA,0,148750
"648",1985,"Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v114995817","13.16.28",3400,"",NA,NA,0,148750
"649",1986,"Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v114995817","13.16.28",3700,"",NA,NA,0,161875
"650",1987,"Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v114995817","13.16.28",3800,"",NA,NA,0,166250
"651",1988,"Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v114995817","13.16.28",4500,"",NA,NA,0,196875
"652",1989,"Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v114995817","13.16.28",4700,"",NA,NA,0,205625
"653",1990,"Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v114995817","13.16.28",5100,"",NA,NA,0,223125
"654",1991,"Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v114995817","13.16.28",4905,"",NA,NA,0,214593.75
"655",1992,"Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v114995817","13.16.28",5000,"",NA,NA,0,218750
"656",1993,"Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v114995817","13.16.28",5100,"",NA,NA,0,223125
"657",1994,"Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v114995817","13.16.28",5100,"",NA,NA,0,223125
