"","REF_DATE","GEO","DGUID","Harvest.disposition","Type.of.crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS","Nitrogen.Applied"
"773",1980,"Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113945","4.16.28",72000,"",NA,NA,0,3150000
"774",1981,"Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113945","4.16.28",71000,"",NA,NA,0,3106250
"775",1982,"Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113945","4.16.28",71000,"",NA,NA,0,3106250
"776",1983,"Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113945","4.16.28",70000,"",NA,NA,0,3062500
"777",1984,"Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113945","4.16.28",68800,"",NA,NA,0,3010000
"778",1985,"Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113945","4.16.28",68800,"",NA,NA,0,3010000
"779",1986,"Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113945","4.16.28",68400,"",NA,NA,0,2992500
"780",1987,"Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113945","4.16.28",69200,"",NA,NA,0,3027500
"781",1988,"Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113945","4.16.28",70000,"",NA,NA,0,3062500
"782",1989,"Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113945","4.16.28",68800,"",NA,NA,0,3010000
"783",1990,"Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113945","4.16.28",68000,"",NA,NA,0,2975000
"784",1991,"Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113945","4.16.28",67532,"",NA,NA,0,2954525
"785",1992,"Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113945","4.16.28",69600,"",NA,NA,0,3045000
"786",1993,"Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113945","4.16.28",71000,"",NA,NA,0,3106250
"787",1994,"Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113945","4.16.28",71200,"",NA,NA,0,3115000
"788",1995,"Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113945","4.16.28",70400,"",NA,NA,0,3080000
"789",1996,"Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113945","4.16.28",71414,"",NA,NA,0,3124362.5
"790",1997,"Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113945","4.16.28",72000,"",NA,NA,0,3150000
"791",1998,"Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113945","4.16.28",74000,"",NA,NA,0,3237500
"792",1999,"Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113945","4.16.28",73200,"",NA,NA,0,3202500
"793",2000,"Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113945","4.16.28",73700,"",NA,NA,0,3224375
"794",2001,"Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113945","4.16.28",75100,"",NA,NA,0,3285625
"795",2002,"Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113945","4.16.28",74900,"",NA,NA,0,3276875
"796",2003,"Nova Scotia","2016A000212","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113945","4.16.28",72800,"",NA,NA,0,3185000
