"","REF_DATE","GEO","DGUID","Harvest.disposition","Type.of.crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS","Nitrogen.Applied"
"815",1980,"Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114159","7.16.6",163900,NA,NA,NA,0,9834000
"816",1981,"Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114159","7.16.6",190200,NA,NA,NA,0,11412000
"817",1982,"Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114159","7.16.6",234700,NA,NA,NA,0,14082000
"818",1983,"Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114159","7.16.6",212000,NA,NA,NA,0,12720000
"819",1984,"Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114159","7.16.6",192000,NA,NA,NA,0,11520000
"820",1985,"Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114159","7.16.6",210000,NA,NA,NA,0,12600000
"821",1986,"Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114159","7.16.6",244000,NA,NA,NA,0,14640000
"822",1987,"Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114159","7.16.6",234700,NA,NA,NA,0,14082000
"823",1988,"Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114159","7.16.6",222600,NA,NA,NA,0,13356000
"824",1989,"Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114159","7.16.6",202300,NA,NA,NA,0,12138000
"825",1990,"Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114159","7.16.6",182100,NA,NA,NA,0,10926000
"826",1991,"Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114159","7.16.6",196990,NA,NA,NA,0,11819400
"827",1992,"Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114159","7.16.6",178100,NA,NA,NA,0,10686000
"828",1993,"Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114159","7.16.6",170000,NA,NA,NA,0,10200000
"829",1994,"Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114159","7.16.6",141600,NA,NA,NA,0,8496000
"830",1995,"Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114159","7.16.6",133500,NA,NA,NA,0,8010000
"831",1996,"Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114159","7.16.6",133500,NA,NA,NA,0,8010000
"832",1997,"Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114159","7.16.6",139600,NA,NA,NA,0,8376000
"833",1998,"Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114159","7.16.6",131500,NA,NA,NA,0,7890000
"834",1999,"Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114159","7.16.6",121400,NA,NA,NA,0,7284000
"835",2000,"Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114159","7.16.6",121400,NA,NA,NA,0,7284000
"836",2001,"Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114159","7.16.6",125000,NA,NA,NA,0,7500000
"837",2002,"Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114159","7.16.6",135600,NA,NA,NA,0,8136000
"838",2003,"Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114159","7.16.6",107200,NA,NA,NA,0,6432000
"839",2004,"Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114159","7.16.6",107200,NA,NA,NA,0,6432000
"840",2005,"Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114159","7.16.6",107200,NA,NA,NA,0,6432000
"841",2006,"Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114159","7.16.6",89400,NA,NA,NA,0,5364000
"842",2007,"Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114159","7.16.6",68800,NA,NA,NA,0,4128000
"843",2008,"Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114159","7.16.6",62700,NA,NA,NA,0,3762000
