"","REF_DATE","GEO","DGUID","Harvest.disposition","Type.of.crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS","Nitrogen.Applied"
"1025",1980,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",20600,"","",NA,0,1236000
"1026",1981,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",21400,"","",NA,0,1284000
"1027",1982,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",19400,"","",NA,0,1164000
"1028",1983,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",20200,"","",NA,0,1212000
"1029",1984,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",21400,"","",NA,0,1284000
"1030",1985,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",23900,"","",NA,0,1434000
"1031",1986,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",27500,"","",NA,0,1650000
"1032",1987,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",26700,"","",NA,0,1602000
"1033",1988,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",28300,"","",NA,0,1698000
"1034",1989,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",32400,"","",NA,0,1944000
"1035",1990,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",34000,"","",NA,0,2040000
"1036",1991,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",34068,"","",NA,0,2044080
"1037",1992,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",35200,"","",NA,0,2112000
"1038",1993,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",32800,"","",NA,0,1968000
"1039",1994,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",30400,"","",NA,0,1824000
"1040",1995,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",32400,"","",NA,0,1944000
"1041",1996,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",36700,"","",NA,0,2202000
"1042",1997,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",40900,"","",NA,0,2454000
"1043",1998,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",38800,"","",NA,0,2328000
"1044",1999,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",34800,"","",NA,0,2088000
"1045",2000,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",36800,"","",NA,0,2208000
"1046",2001,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",38600,"","",NA,0,2316000
"1047",2002,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",36400,"","",NA,0,2184000
"1048",2003,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",36800,"","",NA,0,2208000
"1049",2004,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",36400,"","",NA,0,2184000
"1050",2005,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",34400,"","",NA,0,2064000
"1051",2006,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",32100,"","",NA,0,1926000
"1052",2007,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",34400,"","",NA,0,2064000
"1053",2008,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",31200,"","",NA,0,1872000
"1054",2009,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",20200,"","",NA,0,1212000
"1055",2010,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",21700,"","",NA,0,1302000
"1056",2011,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",25300,"","",NA,0,1518000
"1057",2012,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",27300,"","",NA,0,1638000
"1058",2013,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",28300,"","",NA,0,1698000
"1059",2014,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",24300,"","",NA,0,1458000
"1060",2015,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",23500,"","",NA,0,1410000
"1061",2016,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",24900,"","",NA,0,1494000
"1062",2017,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",22300,"","",NA,0,1338000
"1063",2018,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",30400,"","",NA,0,1824000
"1064",2019,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",20100,"","",NA,0,1206000
"1065",2020,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",19300,"","",NA,0,1158000
"1066",2021,"Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115113873","3.16.6",25000,"","",NA,0,1500000
"1151",1980,"Prince Edward Island","2016A000211","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113882","3.16.28",53000,"","",NA,0,2318750
"1152",1981,"Prince Edward Island","2016A000211","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113882","3.16.28",50000,"","",NA,0,2187500
"1153",1982,"Prince Edward Island","2016A000211","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113882","3.16.28",51000,"","",NA,0,2231250
"1154",1983,"Prince Edward Island","2016A000211","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113882","3.16.28",51000,"","",NA,0,2231250
"1155",1984,"Prince Edward Island","2016A000211","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113882","3.16.28",50600,"","",NA,0,2213750
"1156",1985,"Prince Edward Island","2016A000211","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113882","3.16.28",50200,"","",NA,0,2196250
"1157",1986,"Prince Edward Island","2016A000211","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113882","3.16.28",51400,"","",NA,0,2248750
"1158",1987,"Prince Edward Island","2016A000211","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113882","3.16.28",54200,"","",NA,0,2371250
"1159",1988,"Prince Edward Island","2016A000211","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113882","3.16.28",53800,"","",NA,0,2353750
"1160",1989,"Prince Edward Island","2016A000211","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113882","3.16.28",53400,"","",NA,0,2336250
"1161",1990,"Prince Edward Island","2016A000211","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113882","3.16.28",52200,"","",NA,0,2283750
"1162",1991,"Prince Edward Island","2016A000211","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113882","3.16.28",51006,"","",NA,0,2231512.5
"1163",1992,"Prince Edward Island","2016A000211","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113882","3.16.28",51400,"","",NA,0,2248750
"1164",1993,"Prince Edward Island","2016A000211","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113882","3.16.28",52600,"","",NA,0,2301250
"1165",1994,"Prince Edward Island","2016A000211","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113882","3.16.28",52600,"","",NA,0,2301250
"1166",1995,"Prince Edward Island","2016A000211","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113882","3.16.28",53400,"","",NA,0,2336250
"1167",1996,"Prince Edward Island","2016A000211","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113882","3.16.28",54700,"","",NA,0,2393125
"1168",1997,"Prince Edward Island","2016A000211","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113882","3.16.28",55400,"","",NA,0,2423750
"1169",1998,"Prince Edward Island","2016A000211","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113882","3.16.28",56300,"","",NA,0,2463125
"1170",1999,"Prince Edward Island","2016A000211","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113882","3.16.28",56700,"","",NA,0,2480625
"1171",2000,"Prince Edward Island","2016A000211","Seeded area (hectares)","Tame hay","Hectares",149,"units",0,"v115113882","3.16.28",57500,"","",NA,0,2515625
