"","REF_DATE","GEO","DGUID","Harvest.disposition","Type.of.crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS","Nitrogen.Applied"
"1235",1980,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",65600,"",NA,NA,0,5248000
"1236",1981,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",106000,"",NA,NA,0,8480000
"1237",1982,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",121000,"",NA,NA,0,9680000
"1238",1983,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",132000,"",NA,NA,0,10560000
"1239",1984,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",135000,"",NA,NA,0,10800000
"1240",1985,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",142000,"",NA,NA,0,11360000
"1241",1986,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",175400,"",NA,NA,0,14032000
"1242",1987,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",180000,"",NA,NA,0,14400000
"1243",1988,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",166000,"",NA,NA,0,13280000
"1244",1989,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",150000,"",NA,NA,0,1.2e+07
"1245",1990,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",148000,"",NA,NA,0,11840000
"1246",1991,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",157387,"",NA,NA,0,12590960
"1247",1992,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",164000,"",NA,NA,0,13120000
"1248",1993,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",155000,"",NA,NA,0,12400000
"1249",1994,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",145000,"",NA,NA,0,11600000
"1250",1995,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",130000,"",NA,NA,0,10400000
"1251",1996,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",125225,"",NA,NA,0,10018000
"1252",1997,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",126000,"",NA,NA,0,10080000
"1253",1998,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",130000,"",NA,NA,0,10400000
"1254",1999,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",128000,"",NA,NA,0,10240000
"1255",2000,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",133000,"",NA,NA,0,10640000
"1256",2001,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",159500,"",NA,NA,0,12760000
"1257",2002,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",165000,"",NA,NA,0,13200000
"1258",2003,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",140000,"",NA,NA,0,11200000
"1259",2004,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",115000,"",NA,NA,0,9200000
"1260",2005,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",112000,"",NA,NA,0,8960000
"1261",2006,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",105800,"",NA,NA,0,8464000
"1262",2007,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",95000,"",NA,NA,0,7600000
"1263",2008,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",100000,"",NA,NA,0,8e+06
"1264",2009,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",96000,"",NA,NA,0,7680000
"1265",2010,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",91000,"",NA,NA,0,7280000
"1266",2011,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",73400,"",NA,NA,0,5872000
"1267",2012,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",73000,"",NA,NA,0,5840000
"1268",2013,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",71500,"",NA,NA,0,5720000
"1269",2014,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",55700,"",NA,NA,0,4456000
"1270",2015,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",51000,"",NA,NA,0,4080000
"1271",2016,"Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v115114062","6.16.6",52000,"",NA,NA,0,4160000
