"","REF_DATE","GEO","DGUID","Harvest.disposition","Type.of.crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS","Nitrogen.Applied"
"1445",1980,"Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v114995604","10.16.6",1376000,NA,"",NA,0,48160000
"1446",1981,"Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v114995604","10.16.6",1518000,NA,"",NA,0,53130000
"1447",1982,"Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v114995604","10.16.6",1437000,NA,"",NA,0,50295000
"1448",1983,"Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v114995604","10.16.6",1214000,NA,"",NA,0,42490000
"1449",1984,"Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v114995604","10.16.6",1396000,NA,"",NA,0,48860000
"1450",1985,"Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v114995604","10.16.6",1518000,NA,"",NA,0,53130000
"1451",1986,"Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v114995604","10.16.6",1489200,NA,"",NA,0,52122000
"1452",1987,"Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v114995604","10.16.6",1598500,NA,"",NA,0,55947500
"1453",1988,"Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v114995604","10.16.6",1396200,NA,"",NA,0,48867000
"1454",1989,"Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v114995604","10.16.6",1618700,NA,"",NA,0,56654500
"1455",1990,"Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v114995604","10.16.6",1497300,NA,"",NA,0,52405500
"1456",1991,"Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v114995604","10.16.6",1343187,NA,"",NA,0,47011545
"1457",1992,"Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares",149,"units",0,"v114995604","10.16.6",1254500,NA,"",NA,0,43907500
