"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1980","Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114456","11.16.6","2286000","","","","0"
"1981","Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114456","11.16.6","2651000","","","","0"
"1982","Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114456","11.16.6","2610000","","","","0"
"1983","Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114456","11.16.6","2226000","","","","0"
"1984","Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114456","11.16.6","2327000","","","","0"
"1985","Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114456","11.16.6","2489000","","","","0"
"1986","Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114456","11.16.6","2387600","","","","0"
"1987","Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114456","11.16.6","2387600","","","","0"
"1988","Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114456","11.16.6","2023400","","","","0"
"1989","Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114456","11.16.6","2205500","","","","0"
"1990","Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114456","11.16.6","2205500","","","","0"
"1991","Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114456","11.16.6","2187052","","","","0"
"1992","Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114456","11.16.6","1942500","","","","0"
"1993","Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114456","11.16.6","2063900","","","","0"
"1994","Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114456","11.16.6","1983000","","","","0"
"1995","Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114456","11.16.6","2084100","","","","0"
"1996","Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114456","11.16.6","2347200","","","","0"
"1997","Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114456","11.16.6","2266200","","","","0"
"1998","Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114456","11.16.6","2104400","","","","0"
"1999","Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114456","11.16.6","1922300","","","","0"
"2000","Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114456","11.16.6","2185300","","","","0"
"2001","Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114456","11.16.6","1983000","","","","0"
"2002","Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114456","11.16.6","2169100","","","","0"
"2003","Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114456","11.16.6","2144800","","","","0"
"2004","Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114456","11.16.6","1910100","","","","0"
"2005","Alberta","2016A000248","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114456","11.16.6","1709800","","","","0"
