"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1980","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","11700","","","","0"
"1981","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","11700","","","","0"
"1982","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","12100","","","","0"
"1983","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","10500","","","","0"
"1984","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","10500","","","","0"
"1985","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","10900","","","","0"
"1986","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","11300","","","","0"
"1987","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","10900","","","","0"
"1988","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","10500","","","","0"
"1989","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","10100","","","","0"
"1990","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","9300","","","","0"
"1991","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","9489","","","","0"
"1992","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","13400","","","","0"
"1993","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","8100","","","","0"
"1994","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","8100","","","","0"
"1995","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","8100","","","","0"
"1996","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","10100","","","","0"
"1997","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","10100","","","","0"
"1998","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","10100","","","","0"
"1999","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","10100","","","","0"
"2000","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","8900","","","","0"
"2001","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","10900","","","","0"
"2002","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","10100","","","","0"
"2003","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","10100","","","","0"
"2004","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","12100","","","","0"
"2005","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","12100","","","","0"
"2006","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","12900","","","","0"
"2007","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","12100","","","","0"
"2008","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","12100","","","","0"
"2009","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","14200","","","","0"
"2010","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","14200","","","","0"
"2011","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","13800","","","","0"
"2012","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","14200","","","","0"
"2013","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","16200","","","","0"
"2014","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","16200","","","","0"
"2015","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","14200","","","","0"
"2016","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","17100","","","","0"
"2017","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","13400","","","","0"
"2018","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","20600","","","","0"
"2019","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","16100","","","","0"
"2020","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","15800","","","","0"
"2021","British Columbia","2016A000259","Seeded area (hectares)","Corn for silage","Hectares","149","units","0","v115114872","12.16.29","15100","","","","0"
"1980","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","279000","","","","0"
"1981","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","290000","","","","0"
"1982","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","291000","","","","0"
"1983","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","293000","","","","0"
"1984","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","299000","","","","0"
"1985","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","308000","","","","0"
"1986","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","318500","","","","0"
"1987","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","339900","","","","0"
"1988","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","344000","","","","0"
"1989","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","339900","","","","0"
"1990","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","344000","","","","0"
"1991","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","348844","","","","0"
"1992","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","344000","","","","0"
"1993","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","350100","","","","0"
"1994","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","352100","","","","0"
"1995","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","297400","","","","0"
"1996","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","367000","","","","0"
"1997","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","366200","","","","0"
"1998","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","366200","","","","0"
"1999","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","364200","","","","0"
"2000","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","350100","","","","0"
"2001","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","445200","","","","0"
"2002","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","437100","","","","0"
"2003","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","424900","","","","0"
"2004","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","424900","","","","0"
"2005","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","424900","","","","0"
"2006","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","420600","","","","0"
"2007","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","416800","","","","0"
"2008","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","412800","","","","0"
"2009","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","408700","","","","0"
"2010","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","404700","","","","0"
"2011","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","401400","","","","0"
"2012","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","388500","","","","0"
"2013","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","372300","","","","0"
"2014","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","374300","","","","0"
"2015","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","376400","","","","0"
"2016","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","364100","","","","0"
"2017","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","356100","","","","0"
"2018","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","351700","","","","0"
"2019","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","345680","","","","0"
"2020","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","327000","","","","0"
"2021","British Columbia","2016A000259","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v115114881","12.16.28","320200","","","","0"


