"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1980","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","850000","","","","0"
"1981","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","951000","","","","0"
"1982","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","830000","","","","0"
"1983","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","728000","","","","0"
"1984","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","749000","","","","0"
"1985","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","769000","","","","0"
"1986","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","643500","","","","0"
"1987","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","708200","","","","0"
"1988","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","627300","","","","0"
"1989","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","679900","","","","0"
"1990","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","635400","","","","0"
"1991","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","544457","","","","0"
"1992","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","455300","","","","0"
"1993","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","465400","","","","0"
"1994","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","445200","","","","0"
"1995","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","485600","","","","0"
"1996","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","627300","","","","0"
"1997","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","566600","","","","0"
"1998","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","526100","","","","0"
"1999","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","429000","","","","0"
"2000","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","505900","","","","0"
"2001","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","473500","","","","0"
"2002","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","445200","","","","0"
"2003","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","429000","","","","0"
"2004","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","404700","","","","0"
"2005","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","323700","","","","0"
"2006","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","339000","","","","0"
"2007","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","412800","","","","0"
"2008","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","323700","","","","0"
"2009","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","273200","","","","0"
"2010","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","194200","","","","0"
"2011","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","137600","","","","0"
"2012","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","224600","","","","0"
"2013","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","206400","","","","0"
"2014","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","129500","","","","0"
"2015","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","182100","","","","0"
"2016","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","168300","","","","0"
"2017","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","107200","","","","0"
"2018","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","131100","","","","0"
"2019","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","136100","","","","0"
"2020","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","168100","","","","0"
"2021","Manitoba","2016A000246","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114643","9.16.6","166900","","","","0"
"1980","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","323700","","","","0"
"1981","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","242800","","","","0"
"1982","Manitoba","2016A000246","Seeded area (hectares)","Canola (rapeseed)","Hectares","149","units","0","v115114649","9.16.16","344000","","","","0"
