"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1980","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","3450","","","","0"
"1981","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","3900","","","","0"
"1982","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","4850","","","","0"
"1983","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","6100","","","","0"
"1984","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","7700","","","","0"
"1985","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","8500","","","","0"
"1986","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","10600","","","","0"
"1987","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","11300","","","","0"
"1988","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","11700","","","","0"
"1989","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","12900","","","","0"
"1990","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","12500","","","","0"
"1991","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","12807","","","","0"
"1992","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","14200","","","","0"
"1993","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","16200","","","","0"
"1994","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","15400","","","","0"
"1995","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","15800","","","","0"
"1996","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","16600","","","","0"
"1997","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","16200","","","","0"
"1998","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","15000","","","","0"
"1999","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","13800","","","","0"
"2000","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","16200","","","","0"
"2001","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","17800","","","","0"
"2002","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","16600","","","","0"
"2003","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","17000","","","","0"
"2004","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","16200","","","","0"
"2005","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","15000","","","","0"
"2006","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","13500","","","","0"
"2007","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","13400","","","","0"
"2008","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","11300","","","","0"
"2009","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","10500","","","","0"
"2010","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","10700","","","","0"
"2011","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","9400","","","","0"
"2012","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","8900","","","","0"
"2013","New Brunswick","2016A000213","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114004","5.16.6","8900","","","","0"
