"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1980","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115113937","4.16.11","","..","","","0"
"1981","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115113937","4.16.11","1860","","","","0"
"1982","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115113937","4.16.11","2000","","","","0"
"1983","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115113937","4.16.11","2000","","","","0"
"1984","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115113937","4.16.11","2200","","","","0"
"1985","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115113937","4.16.11","2200","","","","0"
"1986","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115113937","4.16.11","2000","","","","0"
"1987","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115113937","4.16.11","1200","","","","0"
"1988","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115113937","4.16.11","1000","","","","0"
"1989","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115113937","4.16.11","1200","","","","0"
"1990","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115113937","4.16.11","1400","","","","0"
"1991","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115113937","4.16.11","1541","","","","0"
"1992","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115113937","4.16.11","2000","","","","0"
"1993","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115113937","4.16.11","2400","","","","0"
"1994","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115113937","4.16.11","2800","","","","0"
"1995","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115113937","4.16.11","2200","","","","0"
"1996","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115113937","4.16.11","2700","","","","0"
"1997","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115113937","4.16.11","2500","","","","0"
"1998","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115113937","4.16.11","2400","","","","0"
"1999","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115113937","4.16.11","2000","","","","0"
"2000","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115113937","4.16.11","1800","","","","0"
"2001","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115113937","4.16.11","2800","","","","0"
"2002","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115113937","4.16.11","3600","","","","0"
"2003","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115113937","4.16.11","3200","","","","0"
"2004","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115113937","4.16.11","4000","","","","0"
"2005","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115113937","4.16.11","3000","","","","0"
"2006","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115113937","4.16.11","3100","","","","0"
"2007","Nova Scotia","2016A000212","Seeded area (hectares)","Corn for grain","Hectares","149","units","0","v115113937","4.16.11","4000","","","","0"
