"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1980","Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares","149","units","0","v115113873","3.16.6","20600","","","","0"
"1981","Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares","149","units","0","v115113873","3.16.6","21400","","","","0"
"1982","Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares","149","units","0","v115113873","3.16.6","19400","","","","0"
"1983","Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares","149","units","0","v115113873","3.16.6","20200","","","","0"
"1984","Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares","149","units","0","v115113873","3.16.6","21400","","","","0"
"1985","Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares","149","units","0","v115113873","3.16.6","23900","","","","0"
"1986","Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares","149","units","0","v115113873","3.16.6","27500","","","","0"
"1987","Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares","149","units","0","v115113873","3.16.6","26700","","","","0"
"1988","Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares","149","units","0","v115113873","3.16.6","28300","","","","0"
"1989","Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares","149","units","0","v115113873","3.16.6","32400","","","","0"
"1990","Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares","149","units","0","v115113873","3.16.6","34000","","","","0"
"1991","Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares","149","units","0","v115113873","3.16.6","34068","","","","0"
"1992","Prince Edward Island","2016A000211","Seeded area (hectares)","Barley","Hectares","149","units","0","v115113873","3.16.6","35200","","","","0"
