"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1980","Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114062","6.16.6","65600","","","","0"
"1981","Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114062","6.16.6","106000","","","","0"
"1982","Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114062","6.16.6","121000","","","","0"
"1983","Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114062","6.16.6","132000","","","","0"
"1984","Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114062","6.16.6","135000","","","","0"
"1985","Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114062","6.16.6","142000","","","","0"
"1986","Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114062","6.16.6","175400","","","","0"
"1987","Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114062","6.16.6","180000","","","","0"
"1988","Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114062","6.16.6","166000","","","","0"
"1989","Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114062","6.16.6","150000","","","","0"
"1990","Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114062","6.16.6","148000","","","","0"
"1991","Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114062","6.16.6","157387","","","","0"
"1992","Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114062","6.16.6","164000","","","","0"
"1993","Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114062","6.16.6","155000","","","","0"
"1994","Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114062","6.16.6","145000","","","","0"
"1995","Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114062","6.16.6","130000","","","","0"
"1996","Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114062","6.16.6","125225","","","","0"
"1997","Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114062","6.16.6","126000","","","","0"
"1998","Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114062","6.16.6","130000","","","","0"
"1999","Quebec","2016A000224","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114062","6.16.6","128000","","","","0"
