"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1980","Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995604","10.16.6","1376000","","","","0"
"1981","Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995604","10.16.6","1518000","","","","0"
"1982","Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995604","10.16.6","1437000","","","","0"
"1983","Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995604","10.16.6","1214000","","","","0"
"1984","Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995604","10.16.6","1396000","","","","0"
"1985","Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995604","10.16.6","1518000","","","","0"
"1986","Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995604","10.16.6","1489200","","","","0"
"1987","Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995604","10.16.6","1598500","","","","0"
"1988","Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995604","10.16.6","1396200","","","","0"
"1989","Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995604","10.16.6","1618700","","","","0"
"1990","Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995604","10.16.6","1497300","","","","0"
"1991","Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995604","10.16.6","1343187","","","","0"
"1992","Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995604","10.16.6","1254500","","","","0"
"1993","Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995604","10.16.6","1618700","","","","0"
"1994","Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995604","10.16.6","1537800","","","","0"
"1995","Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995604","10.16.6","1740100","","","","0"
"1996","Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995604","10.16.6","1902000","","","","0"
"1997","Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995604","10.16.6","1821100","","","","0"
"1998","Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995604","10.16.6","1639000","","","","0"
"1999","Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995604","10.16.6","1719900","","","","0"
"2000","Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995604","10.16.6","2063900","","","","0"
"2001","Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995604","10.16.6","1861600","","","","0"
"2002","Saskatchewan","2016A000247","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995604","10.16.6","2043700","","","","0"
