Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2016-01-01,"1003.10.00 - Barley, seed for sowing",Quebec,The world,N/A,101219,214,Weight in metric tonne
2017-01-01,"1003.90.90 - Barley, o/t certified organic, o/t seed for sowing",Quebec,The world,N/A,14578693,52831,Weight in metric tonne
2018-01-01,"1003.10.00 - Barley, seed for sowing",Quebec,The world,N/A,50463,107,Weight in metric tonne
2018-01-01,"1003.90.90 - Barley, o/t certified organic, o/t seed for sowing",Quebec,The world,N/A,14017458,46055,Weight in metric tonne
2020-01-01,"1003.10.00 - Barley, seed for sowing",Quebec,The world,N/A,87052,199,Weight in metric tonne
2021-01-01,"1003.10.00 - Barley, seed for sowing",Quebec,The world,N/A,60867,115,Weight in metric tonne
2017-01-01,"1003.10.00 - Barley, seed for sowing",Ontario,The world,N/A,37296,76,Weight in metric tonne
2017-01-01,"1003.90.90 - Barley, o/t certified organic, o/t seed for sowing",Ontario,The world,N/A,8105127,29348,Weight in metric tonne
2018-01-01,"1003.90.10 - Barley, certified organic, o/t seed for sowing",Ontario,The world,N/A,40442,82,Weight in metric tonne
2014-01-01,"1003.10.00 - Barley, seed for sowing",Manitoba,The world,N/A,406775,1110,Weight in metric tonne
2016-01-01,"1003.10.00 - Barley, seed for sowing",Manitoba,The world,N/A,447076,979,Weight in metric tonne
2011-01-01,"1003.00.90 - Barley, except seed (Terminated 2011-12)",Manitoba,The world,N/A,37137900,126578,Weight in metric tonne
2013-01-01,"1003.90.00 - Barley, other than seed for sowing (Terminated 2016-12)",Saskatchewan,The world,N/A,171066354,536596,Weight in metric tonne
2011-01-01,1003.00.10 - Barley seed (Terminated 2011-12),Alberta,The world,N/A,854269,2340,Weight in metric tonne
2017-01-01,"1003.90.90 - Barley, o/t certified organic, o/t seed for sowing",Alberta,The world,N/A,195259679,707563,Weight in metric tonne
2017-01-01,"1003.90.10 - Barley, certified organic, o/t seed for sowing",British Columbia,The world,N/A,21439,40,Weight in metric tonne
2011-01-01,"1003.00.90 - Barley, except seed (Terminated 2011-12)",British Columbia,The world,N/A,1847657,6267,Weight in metric tonne
2015-01-01,"1003.10.00 - Barley, seed for sowing",Quebec,The world,N/A,122722,257,Weight in metric tonne
2014-01-01,"1003.90.00 - Barley, other than seed for sowing (Terminated 2016-12)",Quebec,The world,N/A,13618780,43964,Weight in metric tonne
2015-01-01,"1003.90.00 - Barley, other than seed for sowing (Terminated 2016-12)",Quebec,The world,N/A,12791049,37197,Weight in metric tonne
2017-01-01,"1003.90.10 - Barley, certified organic, o/t seed for sowing",Ontario,The world,N/A,36286,73,Weight in metric tonne
2018-01-01,"1003.10.00 - Barley, seed for sowing",Ontario,The world,N/A,26573,51,Weight in metric tonne
2014-01-01,"1003.90.00 - Barley, other than seed for sowing (Terminated 2016-12)",Ontario,The world,N/A,489892,1555,Weight in metric tonne
2011-01-01,1003.00.10 - Barley seed (Terminated 2011-12),Manitoba,The world,N/A,265803,729,Weight in metric tonne
2013-01-01,"1003.90.00 - Barley, other than seed for sowing (Terminated 2016-12)",Manitoba,The world,N/A,42846675,134384,Weight in metric tonne
2018-01-01,"1003.90.90 - Barley, o/t certified organic, o/t seed for sowing",Manitoba,The world,N/A,56340707,185135,Weight in metric tonne
2019-01-01,"1003.10.00 - Barley, seed for sowing",Manitoba,The world,N/A,216750,418,Weight in metric tonne
2021-01-01,"1003.90.10 - Barley, certified organic, o/t seed for sowing",Saskatchewan,The world,N/A,1946512,3993,Weight in metric tonne
2012-01-01,"1003.10.00 - Barley, seed for sowing",Saskatchewan,The world,N/A,2409406,5996,Weight in metric tonne
2017-01-01,"1003.90.10 - Barley, certified organic, o/t seed for sowing",Saskatchewan,The world,N/A,1158030,2474,Weight in metric tonne
2014-01-01,"1003.10.00 - Barley, seed for sowing",Alberta,The world,N/A,1709310,4644,Weight in metric tonne
2015-01-01,"1003.90.00 - Barley, other than seed for sowing (Terminated 2016-12)",Alberta,The world,N/A,193077229,561176,Weight in metric tonne
2017-01-01,"1003.10.00 - Barley, seed for sowing",Alberta,The world,N/A,898560,1937,Weight in metric tonne
2019-01-01,"1003.10.00 - Barley, seed for sowing",Alberta,The world,N/A,880062,1718,Weight in metric tonne
2019-01-01,"1003.90.90 - Barley, o/t certified organic, o/t seed for sowing",Alberta,The world,N/A,215374501,673777,Weight in metric tonne
2014-01-01,"1003.10.00 - Barley, seed for sowing",British Columbia,The world,N/A,55252,143,Weight in metric tonne
2018-01-01,"1003.10.00 - Barley, seed for sowing",British Columbia,The world,N/A,19989,37,Weight in metric tonne
2016-01-01,"1003.10.00 - Barley, seed for sowing",Ontario,The world,N/A,100397,212,Weight in metric tonne
2020-01-01,"1003.10.00 - Barley, seed for sowing",Ontario,The world,N/A,60657,134,Weight in metric tonne
2015-01-01,"1003.10.00 - Barley, seed for sowing",Manitoba,The world,N/A,416846,866,Weight in metric tonne
2019-01-01,"1003.90.10 - Barley, certified organic, o/t seed for sowing",Manitoba,The world,N/A,278085,661,Weight in metric tonne
2021-01-01,"1003.90.10 - Barley, certified organic, o/t seed for sowing",Manitoba,The world,N/A,212306,434,Weight in metric tonne
2018-01-01,"1003.90.90 - Barley, o/t certified organic, o/t seed for sowing",Alberta,The world,N/A,222789558,732084,Weight in metric tonne
2021-01-01,"1003.10.00 - Barley, seed for sowing",Alberta,The world,N/A,972316,1922,Weight in metric tonne
2011-01-01,1003.00.10 - Barley seed (Terminated 2011-12),British Columbia,The world,N/A,13223,34,Weight in metric tonne
2020-01-01,"1003.10.00 - Barley, seed for sowing",British Columbia,The world,N/A,45840,102,Weight in metric tonne
2019-01-01,"1003.10.00 - Barley, seed for sowing",Quebec,The world,N/A,59505,108,Weight in metric tonne
2019-01-01,"1003.90.10 - Barley, certified organic, o/t seed for sowing",Quebec,The world,N/A,76338,184,Weight in metric tonne
2019-01-01,"1003.90.90 - Barley, o/t certified organic, o/t seed for sowing",Quebec,The world,N/A,14561698,45557,Weight in metric tonne
2021-01-01,"1003.10.00 - Barley, seed for sowing",Ontario,The world,N/A,42419,78,Weight in metric tonne
2017-01-01,"1003.90.90 - Barley, o/t certified organic, o/t seed for sowing",Manitoba,The world,N/A,44893946,162689,Weight in metric tonne
2021-01-01,"1003.10.00 - Barley, seed for sowing",Saskatchewan,The world,N/A,1920663,3790,Weight in metric tonne
2012-01-01,"1003.90.00 - Barley, other than seed for sowing (Terminated 2016-12)",Saskatchewan,The world,N/A,251603255,804867,Weight in metric tonne
2013-01-01,"1003.10.00 - Barley, seed for sowing",Saskatchewan,The world,N/A,1604454,3619,Weight in metric tonne
2015-01-01,"1003.10.00 - Barley, seed for sowing",Saskatchewan,The world,N/A,1852105,3836,Weight in metric tonne
2016-01-01,"1003.90.00 - Barley, other than seed for sowing (Terminated 2016-12)",Saskatchewan,The world,N/A,179966985,561229,Weight in metric tonne
2018-01-01,"1003.90.90 - Barley, o/t certified organic, o/t seed for sowing",Saskatchewan,The world,N/A,371090190,1219391,Weight in metric tonne
2019-01-01,"1003.90.90 - Barley, o/t certified organic, o/t seed for sowing",Saskatchewan,The world,N/A,396286305,1239749,Weight in metric tonne
2012-01-01,"1003.10.00 - Barley, seed for sowing",Alberta,The world,N/A,1786952,4451,Weight in metric tonne
2017-01-01,"1003.90.10 - Barley, certified organic, o/t seed for sowing",Alberta,The world,N/A,874114,1868,Weight in metric tonne
2018-01-01,"1003.90.10 - Barley, certified organic, o/t seed for sowing",Alberta,The world,N/A,1220671,2656,Weight in metric tonne
2020-01-01,"1003.90.10 - Barley, certified organic, o/t seed for sowing",Alberta,The world,N/A,1397539,3384,Weight in metric tonne
2013-01-01,"1003.90.00 - Barley, other than seed for sowing (Terminated 2016-12)",British Columbia,The world,N/A,5205671,16316,Weight in metric tonne
