Domestic exports
Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2020-01-01,"1005.10.90 - Maize (corn) seed, o/t yellow dent, nes",Nova Scotia,"The world",N/A,3256,1784,Weight in kilograms
2020-01-01,"1005.90.90 - Corn (maize), o/t certified organic, o/t seed for sowing",New Brunswick,"The world",N/A,6451,21503,Weight in kilograms
2013-01-01,"1005.90.00 - Maize (corn) nes (Terminated 2016-12)",New Brunswick,"The world",N/A,157426,397196,Weight in kilograms
2017-01-01,"1005.90.90 - Corn (maize), o/t certified organic, o/t seed for sowing",Quebec,"The world",N/A,115296537,501744874,Weight in kilograms
2014-01-01,"1005.90.00 - Maize (corn) nes (Terminated 2016-12)",Quebec,"The world",N/A,241536456,1038422427,Weight in kilograms
2013-01-01,"1005.90.00 - Maize (corn) nes (Terminated 2016-12)",Quebec,"The world",N/A,137375874,469247379,Weight in kilograms
2015-01-01,"1005.10.10 - Yellow dent corn seed",Ontario,"The world",N/A,38907872,6397184,Weight in kilograms
2014-01-01,"1005.10.90 - Maize (corn) seed, o/t yellow dent, nes",Ontario,"The world",N/A,13337356,6458600,Weight in kilograms
2018-01-01,"1005.10.90 - Maize (corn) seed, o/t yellow dent, nes",Ontario,"The world",N/A,545122,154752,Weight in kilograms
2020-01-01,"1005.10.90 - Maize (corn) seed, o/t yellow dent, nes",Ontario,"The world",N/A,10637909,42004417,Weight in kilograms
2021-01-01,"1005.10.90 - Maize (corn) seed, o/t yellow dent, nes",Ontario,"The world",N/A,639535,374904,Weight in kilograms
2012-01-01,"1005.90.00 - Maize (corn) nes (Terminated 2016-12)",Ontario,"The world",N/A,144320454,495534774,Weight in kilograms
2013-01-01,"1005.10.10 - Yellow dent corn seed",Manitoba,"The world",N/A,56737,37304,Weight in kilograms
2017-01-01,"1005.90.90 - Corn (maize), o/t certified organic, o/t seed for sowing",Manitoba,"The world",N/A,4768,5443,Weight in kilograms
2015-01-01,"1005.90.00 - Maize (corn) nes (Terminated 2016-12)",Manitoba,"The world",N/A,381927,1654517,Weight in kilograms
2016-01-01,"1005.90.00 - Maize (corn) nes (Terminated 2016-12)",Manitoba,"The world",N/A,3581,4536,Weight in kilograms
2011-01-01,"1005.10.90 - Maize (corn) seed, o/t yellow dent, nes",Manitoba,"The world",N/A,5345,730,Weight in kilograms
2011-01-01,"1005.10.10 - Yellow dent corn seed",Saskatchewan,"The world",N/A,772132,1466729,Weight in kilograms
2011-01-01,"1005.90.00 - Maize (corn) nes (Terminated 2016-12)",Saskatchewan,"The world",N/A,325,967,Weight in kilograms
2015-01-01,"1005.90.00 - Maize (corn) nes (Terminated 2016-12)",Saskatchewan,"The world",N/A,4112197,19671703,Weight in kilograms
2012-01-01,"1005.90.00 - Maize (corn) nes (Terminated 2016-12)",British Columbia,"The world",N/A,2084,806,Weight in kilograms
2015-01-01,"1005.90.00 - Maize (corn) nes (Terminated 2016-12)",British Columbia,"The world",N/A,214350,83735,Weight in kilograms
2011-01-01,"1005.10.10 - Yellow dent corn seed",Nova Scotia,"The world",N/A,19,10,Weight in kilograms
2013-01-01,"1005.10.10 - Yellow dent corn seed",Nova Scotia,"The world",N/A,204,68,Weight in kilograms
2017-01-01,"1005.10.90 - Maize (corn) seed, o/t yellow dent, nes",Nova Scotia,"The world",N/A,2050,1122,Weight in kilograms
2017-01-01,"1005.90.90 - Corn (maize), o/t certified organic, o/t seed for sowing",Nova Scotia,"The world",N/A,337,825,Weight in kilograms
2015-01-01,"1005.90.00 - Maize (corn) nes (Terminated 2016-12)",New Brunswick,"The world",N/A,336,1000,Weight in kilograms
2014-01-01,"1005.10.10 - Yellow dent corn seed",Quebec,"The world",N/A,22402,87028,Weight in kilograms
2019-01-01,"1005.10.10 - Yellow dent corn seed",Quebec,"The world",N/A,6694747,30415586,Weight in kilograms
2020-01-01,"1005.10.10 - Yellow dent corn seed",Quebec,"The world",N/A,52136,184602,Weight in kilograms
2015-01-01,"1005.10.90 - Maize (corn) seed, o/t yellow dent, nes",Quebec,"The world",N/A,62140,74047,Weight in kilograms
2017-01-01,"1005.10.90 - Maize (corn) seed, o/t yellow dent, nes",Quebec,"The world",N/A,209411,347487,Weight in kilograms
2018-01-01,"1005.10.90 - Maize (corn) seed, o/t yellow dent, nes",Quebec,"The world",N/A,181538,287903,Weight in kilograms
2011-01-01,"1005.10.90 - Maize (corn) seed, o/t yellow dent, nes",Quebec,"The world",N/A,3978,3157,Weight in kilograms
2016-01-01,"1005.10.10 - Yellow dent corn seed",Ontario,"The world",N/A,40089048,6277801,Weight in kilograms
2021-01-01,"1005.10.10 - Yellow dent corn seed",Ontario,"The world",N/A,41859014,24124772,Weight in kilograms
2021-01-01,"1005.90.10 - Corn (maize), certified organic, o/t seed for sowing",Ontario,"The world",N/A,7367292,16340455,Weight in kilograms
2011-01-01,"1005.10.10 - Yellow dent corn seed",Manitoba,"The world",N/A,51627,6848,Weight in kilograms
2012-01-01,"1005.10.10 - Yellow dent corn seed",Saskatchewan,"The world",N/A,820006,1067920,Weight in kilograms
2020-01-01,"1005.10.10 - Yellow dent corn seed",Saskatchewan,"The world",N/A,7771422,33000000,Weight in kilograms
2012-01-01,"1005.90.00 - Maize (corn) nes (Terminated 2016-12)",Saskatchewan,"The world",N/A,218504,641994,Weight in kilograms
2014-01-01,"1005.90.00 - Maize (corn) nes (Terminated 2016-12)",Saskatchewan,"The world",N/A,26370048,115752796,Weight in kilograms
2011-01-01,"1005.10.10 - Yellow dent corn seed",Alberta,"The world",N/A,1931606,545272,Weight in kilograms
2011-01-01,"1005.90.00 - Maize (corn) nes (Terminated 2016-12)",Alberta,"The world",N/A,175706,639721,Weight in kilograms
2011-01-01,"1005.90.00 - Maize (corn) nes (Terminated 2016-12)",British Columbia,"The world",N/A,193,448,Weight in kilograms
2017-01-01,"1005.10.10 - Yellow dent corn seed",Quebec,"The world",N/A,14638399,70885151,Weight in kilograms
2019-01-01,"1005.10.90 - Maize (corn) seed, o/t yellow dent, nes",Quebec,"The world",N/A,52048,76278,Weight in kilograms
2021-01-01,"1005.10.90 - Maize (corn) seed, o/t yellow dent, nes",Quebec,"The world",N/A,15181,11004,Weight in kilograms
2020-01-01,"1005.10.10 - Yellow dent corn seed",Ontario,"The world",N/A,74652308,39822817,Weight in kilograms
2017-01-01,"1005.10.90 - Maize (corn) seed, o/t yellow dent, nes",Ontario,"The world",N/A,22475802,104731846,Weight in kilograms
2017-01-01,"1005.90.10 - Corn (maize), certified organic, o/t seed for sowing",Ontario,"The world",N/A,2289270,5337698,Weight in kilograms
2018-01-01,"1005.90.90 - Corn (maize), o/t certified organic, o/t seed for sowing",Manitoba,"The world",N/A,8783,23000,Weight in kilograms
2011-01-01,"1005.90.00 - Maize (corn) nes (Terminated 2016-12)",Manitoba,"The world",N/A,31297080,99818268,Weight in kilograms
2016-01-01,"1005.10.10 - Yellow dent corn seed",Saskatchewan,"The world",N/A,269184,32695,Weight in kilograms
2017-01-01,"1005.90.90 - Corn (maize), o/t certified organic, o/t seed for sowing",Saskatchewan,"The world",N/A,7539,29760,Weight in kilograms
2014-01-01,"1005.10.10 - Yellow dent corn seed",Alberta,"The world",N/A,1273875,193646,Weight in kilograms
2019-01-01,"1005.90.10 - Corn (maize), certified organic, o/t seed for sowing",Alberta,"The world",N/A,322525,554797,Weight in kilograms
2014-01-01,"1005.90.00 - Maize (corn) nes (Terminated 2016-12)",Alberta,"The world",N/A,19975,34880,Weight in kilograms
2015-01-01,"1005.90.00 - Maize (corn) nes (Terminated 2016-12)",Alberta,"The world",N/A,10991,1,Weight in kilograms
2016-01-01,"1005.90.00 - Maize (corn) nes (Terminated 2016-12)",Alberta,"The world",N/A,710786,1998116,Weight in kilograms
2017-01-01,"1005.90.90 - Corn (maize), o/t certified organic, o/t seed for sowing",Alberta,"The world",N/A,396788,931304,Weight in kilograms
2017-01-01,"1005.10.10 - Yellow dent corn seed",British Columbia,"The world",N/A,13470,10024,Weight in kilograms
2019-01-01,"1005.90.90 - Corn (maize), o/t certified organic, o/t seed for sowing",British Columbia,"The world",N/A,13983,19000,Weight in kilograms
2016-01-01,"1005.90.00 - Maize (corn) nes (Terminated 2016-12)",Nova Scotia,"The world",N/A,3707,9457,Weight in kilograms
2019-01-01,"1005.10.90 - Maize (corn) seed, o/t yellow dent, nes",Nova Scotia,"The world",N/A,2832,1600,Weight in kilograms
2018-01-01,"1005.10.10 - Yellow dent corn seed",Quebec,"The world",N/A,21128906,96759643,Weight in kilograms
2016-01-01,"1005.10.90 - Maize (corn) seed, o/t yellow dent, nes",Quebec,"The world",N/A,146988,240811,Weight in kilograms
2020-01-01,"1005.10.90 - Maize (corn) seed, o/t yellow dent, nes",Quebec,"The world",N/A,37199,25534,Weight in kilograms
2017-01-01,"1005.10.10 - Yellow dent corn seed",Ontario,"The world",N/A,52650411,33777211,Weight in kilograms
