Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2014-01-01,"1004.90.00 - Oats, other than seed for sowing (Terminated 2016-12)",Quebec,The world,N/A,25803953,79865603,Weight in kilograms
2015-01-01,"1004.90.00 - Oats, other than seed for sowing (Terminated 2016-12)",Quebec,The world,N/A,26395378,85309886,Weight in kilograms
2021-01-01,"1004.10.00 - Oats, seed for sowing",Ontario,The world,N/A,185930,333998,Weight in kilograms
2019-01-01,"1004.90.90 - Oat, o/t certified organic, o/t seed for sowing",Ontario,The world,N/A,7447443,24560421,Weight in kilograms
2015-01-01,"1004.90.00 - Oats, other than seed for sowing (Terminated 2016-12)",Ontario,The world,N/A,12458612,40266239,Weight in kilograms
2020-01-01,"1004.10.00 - Oats, seed for sowing",Manitoba,The world,N/A,2821179,4984758,Weight in kilograms
2017-01-01,"1004.90.10 - Oat, certified organic, o/t seed for sowing",Manitoba,The world,N/A,2160388,5489562,Weight in kilograms
2018-01-01,"1004.90.90 - Oat, o/t certified organic, o/t seed for sowing",Manitoba,The world,N/A,117033528,416049943,Weight in kilograms
2016-01-01,"1004.10.00 - Oats, seed for sowing",Saskatchewan,The world,N/A,4136662,9342509,Weight in kilograms
2020-01-01,"1004.10.00 - Oats, seed for sowing",Saskatchewan,The world,N/A,7542928,13327632,Weight in kilograms
2019-01-01,"1004.90.90 - Oat, o/t certified organic, o/t seed for sowing",Saskatchewan,The world,N/A,311953397,1028771275,Weight in kilograms
2015-01-01,"1004.90.00 - Oats, other than seed for sowing (Terminated 2016-12)",Saskatchewan,The world,N/A,326404945,1054941286,Weight in kilograms
2019-01-01,"1004.90.10 - Oat, certified organic, o/t seed for sowing",British Columbia,The world,N/A,269430,610866,Weight in kilograms
2014-01-01,"1004.10.00 - Oats, seed for sowing",Quebec,The world,N/A,214937,650011,Weight in kilograms
2019-01-01,"1004.10.00 - Oats, seed for sowing",Quebec,The world,N/A,471203,858443,Weight in kilograms
2018-01-01,"1004.90.90 - Oat, o/t certified organic, o/t seed for sowing",Quebec,The world,N/A,21955480,78050940,Weight in kilograms
2016-01-01,"1004.10.00 - Oats, seed for sowing",Ontario,The world,N/A,235374,531596,Weight in kilograms
2017-01-01,"1004.90.10 - Oat, certified organic, o/t seed for sowing",Ontario,The world,N/A,178890,454547,Weight in kilograms
2020-01-01,"1004.90.90 - Oat, o/t certified organic, o/t seed for sowing",Ontario,The world,N/A,9840044,32451008,Weight in kilograms
2013-01-01,"1004.10.00 - Oats, seed for sowing",Manitoba,The world,N/A,1165330,3394973,Weight in kilograms
2014-01-01,"1004.10.00 - Oats, seed for sowing",Manitoba,The world,N/A,890614,2693492,Weight in kilograms
2020-01-01,"1004.90.10 - Oat, certified organic, o/t seed for sowing",Manitoba,The world,N/A,3135912,7172082,Weight in kilograms
2020-01-01,"1004.90.90 - Oat, o/t certified organic, o/t seed for sowing",Manitoba,The world,N/A,130484799,430319761,Weight in kilograms
2015-01-01,"1004.10.00 - Oats, seed for sowing",Saskatchewan,The world,N/A,5021909,12231680,Weight in kilograms
2017-01-01,"1004.10.00 - Oats, seed for sowing",Saskatchewan,The world,N/A,4916096,10804298,Weight in kilograms
2021-01-01,"1004.10.00 - Oats, seed for sowing",Saskatchewan,The world,N/A,6591938,11841955,Weight in kilograms
2017-01-01,"1004.90.10 - Oat, certified organic, o/t seed for sowing",Saskatchewan,The world,N/A,6125358,15564582,Weight in kilograms
2020-01-01,"1004.90.10 - Oat, certified organic, o/t seed for sowing",Saskatchewan,The world,N/A,8384399,19175805,Weight in kilograms
2011-01-01,"1004.00.90 - Oats, except seed (Terminated 2011-12)",Saskatchewan,The world,N/A,228849138,895383592,Weight in kilograms
2021-01-01,"1004.90.90 - Oat, o/t certified organic, o/t seed for sowing",Alberta,The world,N/A,42045245,133965762,Weight in kilograms
2012-01-01,"1004.10.00 - Oats, seed for sowing",British Columbia,The world,N/A,71102,233494,Weight in kilograms
2018-01-01,"1004.90.10 - Oat, certified organic, o/t seed for sowing",British Columbia,The world,N/A,257357,613806,Weight in kilograms
2017-01-01,"1004.90.90 - Oat, o/t certified organic, o/t seed for sowing",Quebec,The world,N/A,22165060,80922911,Weight in kilograms
2021-01-01,"1004.90.90 - Oat, o/t certified organic, o/t seed for sowing",Quebec,The world,N/A,17832872,56819556,Weight in kilograms
2014-01-01,"1004.10.00 - Oats, seed for sowing",Ontario,The world,N/A,119555,361574,Weight in kilograms
2019-01-01,"1004.90.10 - Oat, certified organic, o/t seed for sowing",Ontario,The world,N/A,194206,440320,Weight in kilograms
2014-01-01,"1004.90.00 - Oats, other than seed for sowing (Terminated 2016-12)",Ontario,The world,N/A,14353465,44425240,Weight in kilograms
2015-01-01,"1004.10.00 - Oats, seed for sowing",Ontario,The world,N/A,191683,466874,Weight in kilograms
2018-01-01,"1004.10.00 - Oats, seed for sowing",Manitoba,The world,N/A,2108805,4209522,Weight in kilograms
