Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2016-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Newfoundland and Labrador,The world,N/A,12175,200,Weight in kilograms
2019-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Nova Scotia,The world,N/A,6727,1000,Weight in kilograms
2017-01-01,"1207.40.00 - Sesamum seeds, whether or not broken",Quebec,The world,N/A,537459,204919,Weight in kilograms
2020-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Quebec,The world,N/A,995643,859700,Weight in kilograms
2018-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Quebec,The world,N/A,2315038,130616,Weight in kilograms
2012-01-01,"1207.40.00 - Sesamum seeds, whether or not broken",Quebec,The world,N/A,25651,20078,Weight in kilograms
2013-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Quebec,The world,N/A,3714837,268956,Weight in kilograms
2013-01-01,"1207.70.00 - Melon seeds, whether or not broken",Quebec,The world,N/A,33430,11332,Weight in kilograms
2013-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Quebec,The world,N/A,46492,18372,Weight in kilograms
2011-01-01,"1207.40.00 - Sesamum seeds, whether or not broken",Ontario,The world,N/A,27139,49082,Weight in kilograms
2014-01-01,"1207.40.00 - Sesamum seeds, whether or not broken",Ontario,The world,N/A,168511,34775,Weight in kilograms
2018-01-01,"1207.60.00 - Safflower seeds, whether or not broken",Ontario,The world,N/A,108871,76430,Weight in kilograms
2020-01-01,"1207.60.00 - Safflower seeds, whether or not broken",Ontario,The world,N/A,189125,135328,Weight in kilograms
2016-01-01,"1207.40.00 - Sesamum seeds, whether or not broken",Ontario,The world,N/A,89648,79560,Weight in kilograms
2011-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Ontario,The world,N/A,447189,127647,Weight in kilograms
2016-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Ontario,The world,N/A,1922841,201459,Weight in kilograms
2012-01-01,"1207.60.00 - Safflower seeds, whether or not broken",Manitoba,The world,N/A,322092,310172,Weight in kilograms
2015-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Manitoba,The world,N/A,62782144,16011944,Weight in kilograms
2016-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Manitoba,The world,N/A,99106270,22206316,Weight in kilograms
2017-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Manitoba,The world,N/A,47817228,7404801,Weight in kilograms
2012-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Manitoba,The world,N/A,55283,26680,Weight in kilograms
2019-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Manitoba,The world,N/A,558305,142123,Weight in kilograms
2016-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Saskatchewan,The world,N/A,70212371,64509449,Weight in kilograms
2015-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Saskatchewan,The world,N/A,2021064,255574,Weight in kilograms
2012-01-01,"1207.60.00 - Safflower seeds, whether or not broken",Saskatchewan,The world,N/A,21156,24267,Weight in kilograms
2014-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Saskatchewan,The world,N/A,2355189,2248185,Weight in kilograms
2012-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Alberta,The world,N/A,20176277,24038726,Weight in kilograms
2013-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Alberta,The world,N/A,24446023,26877785,Weight in kilograms
2018-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Alberta,The world,N/A,15723945,17089461,Weight in kilograms
2020-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Alberta,The world,N/A,8331315,9988586,Weight in kilograms
2015-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Alberta,The world,N/A,1524592,478355,Weight in kilograms
2012-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Alberta,The world,N/A,524016,468268,Weight in kilograms
2014-01-01,"1207.50.00 - Mustard seeds, whether or not broken",British Columbia,The world,N/A,81634,65676,Weight in kilograms
2015-01-01,"1207.50.00 - Mustard seeds, whether or not broken",British Columbia,The world,N/A,1069025,1016775,Weight in kilograms
2011-01-01,"1207.91.00 - Poppy seeds, whether or not broken",British Columbia,The world,N/A,1414,2267,Weight in kilograms
2016-01-01,"1207.99.10 - Hemp seeds, whether or not broken",British Columbia,The world,N/A,3436613,370374,Weight in kilograms
2012-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",British Columbia,The world,N/A,43497,42914,Weight in kilograms
2013-01-01,"1207.50.00 - Mustard seeds, whether or not broken",British Columbia,The world,N/A,88568,99059,Weight in kilograms
2013-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Yukon,The world,N/A,66403,63000,Weight in kilograms
2020-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Newfoundland and Labrador,The world,N/A,63352,16917,Weight in kilograms
2014-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Newfoundland and Labrador,The world,N/A,140943,20000,Weight in kilograms
2011-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Nova Scotia,The world,N/A,19030,20049,Weight in kilograms
2012-01-01,"1207.91.00 - Poppy seeds, whether or not broken",Nova Scotia,The world,N/A,14,25,Weight in kilograms
2021-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Quebec,The world,N/A,5324172,5200431,Weight in kilograms
2015-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Quebec,The world,N/A,4589036,329723,Weight in kilograms
2017-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Quebec,The world,N/A,3072669,222517,Weight in kilograms
2013-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Quebec,The world,N/A,513510,186897,Weight in kilograms
2019-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Quebec,The world,N/A,83750,23574,Weight in kilograms
2012-01-01,"1207.40.00 - Sesamum seeds, whether or not broken",Ontario,The world,N/A,9222,16904,Weight in kilograms
2013-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Ontario,The world,N/A,7413323,8291690,Weight in kilograms
2014-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Ontario,The world,N/A,9899936,9753168,Weight in kilograms
2016-01-01,"1207.60.00 - Safflower seeds, whether or not broken",Ontario,The world,N/A,63934,48827,Weight in kilograms
2016-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Ontario,The world,N/A,492210,67876,Weight in kilograms
2014-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Ontario,The world,N/A,681271,96658,Weight in kilograms
2015-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Ontario,The world,N/A,2443885,154659,Weight in kilograms
2015-01-01,"1207.60.00 - Safflower seeds, whether or not broken",Manitoba,The world,N/A,226808,187242,Weight in kilograms
2018-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Manitoba,The world,N/A,665333,107260,Weight in kilograms
2012-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Saskatchewan,The world,N/A,60731975,69380554,Weight in kilograms
2018-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Saskatchewan,The world,N/A,76990838,77647355,Weight in kilograms
2020-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Saskatchewan,The world,N/A,75864728,82221038,Weight in kilograms
2021-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Saskatchewan,The world,N/A,50016313,50790085,Weight in kilograms
2020-01-01,"1207.60.00 - Safflower seeds, whether or not broken",Saskatchewan,The world,N/A,2283,3952,Weight in kilograms
2012-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Saskatchewan,The world,N/A,283718,43972,Weight in kilograms
2021-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Saskatchewan,The world,N/A,1806198,258538,Weight in kilograms
2015-01-01,"1207.10.00 - Palm nuts and kernels, whether or not broken",Saskatchewan,The world,N/A,1916,1500,Weight in kilograms
2016-01-01,"1207.60.00 - Safflower seeds, whether or not broken",Saskatchewan,The world,N/A,7531,9637,Weight in kilograms
2014-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Alberta,The world,N/A,21713320,24984339,Weight in kilograms
2016-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Alberta,The world,N/A,19839334,22181564,Weight in kilograms
2015-01-01,"1207.60.00 - Safflower seeds, whether or not broken",Alberta,The world,N/A,1404,2553,Weight in kilograms
2021-01-01,"1207.60.00 - Safflower seeds, whether or not broken",Alberta,The world,N/A,8428,4990,Weight in kilograms
2021-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Alberta,The world,N/A,55970,7078,Weight in kilograms
2014-01-01,"1207.99.10 - Hemp seeds, whether or not broken",British Columbia,The world,N/A,399214,77880,Weight in kilograms
2020-01-01,"1207.99.10 - Hemp seeds, whether or not broken",British Columbia,The world,N/A,1428773,159604,Weight in kilograms
2021-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",British Columbia,The world,N/A,285881,52961,Weight in kilograms
2017-01-01,"1207.40.00 - Sesamum seeds, whether or not broken",British Columbia,The world,N/A,10699,1730,Weight in kilograms
2012-01-01,"1207.50.00 - Mustard seeds, whether or not broken",British Columbia,The world,N/A,44240,44749,Weight in kilograms
2014-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",British Columbia,The world,N/A,261918,91831,Weight in kilograms
2011-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Yukon,The world,N/A,12610,18640,Weight in kilograms
2017-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Newfoundland and Labrador,The world,N/A,31679,9848,Weight in kilograms
2017-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Prince Edward Island,The world,N/A,19429,21456,Weight in kilograms
2011-01-01,"1207.99.10 - Hemp seeds, whether or not broken",New Brunswick,The world,N/A,3186,454,Weight in kilograms
2020-01-01,"1207.40.00 - Sesamum seeds, whether or not broken",Quebec,The world,N/A,394823,89149,Weight in kilograms
2021-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Quebec,The world,N/A,175599,58236,Weight in kilograms
2012-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Quebec,The world,N/A,840976,456765,Weight in kilograms
2012-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Quebec,The world,N/A,2212344,203454,Weight in kilograms
2014-01-01,"1207.30.00 - Castor oil seeds, whether or not broken",Ontario,The world,N/A,5510,2900,Weight in kilograms
2017-01-01,"1207.40.00 - Sesamum seeds, whether or not broken",Ontario,The world,N/A,53975,44143,Weight in kilograms
2021-01-01,"1207.60.00 - Safflower seeds, whether or not broken",Ontario,The world,N/A,99144,80737,Weight in kilograms
2015-01-01,"1207.40.00 - Sesamum seeds, whether or not broken",Ontario,The world,N/A,39623,41943,Weight in kilograms
2014-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Ontario,The world,N/A,144278,54024,Weight in kilograms
2012-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Ontario,The world,N/A,274047,37093,Weight in kilograms
2017-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Ontario,The world,N/A,1911427,222294,Weight in kilograms
2017-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Manitoba,The world,N/A,17539323,15087980,Weight in kilograms
2021-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Manitoba,The world,N/A,8155550,7838028,Weight in kilograms
2013-01-01,"1207.60.00 - Safflower seeds, whether or not broken",Manitoba,The world,N/A,682792,546167,Weight in kilograms
2014-01-01,"1207.21.00 - Cotton seeds, for sowing, whether or not broken",Manitoba,The world,N/A,363517,841812,Weight in kilograms
2018-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Manitoba,The world,N/A,50561643,4102131,Weight in kilograms
2020-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Manitoba,The world,N/A,98185912,4656082,Weight in kilograms
2017-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Saskatchewan,The world,N/A,2622426,420855,Weight in kilograms
2018-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Saskatchewan,The world,N/A,3590300,286853,Weight in kilograms
2013-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Saskatchewan,The world,N/A,72119425,77823542,Weight in kilograms
2018-01-01,"1207.60.00 - Safflower seeds, whether or not broken",Saskatchewan,The world,N/A,1281,2303,Weight in kilograms
2013-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Saskatchewan,The world,N/A,432759,229765,Weight in kilograms
2019-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Saskatchewan,The world,N/A,3615742,1458038,Weight in kilograms
2021-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Saskatchewan,The world,N/A,303691,50655,Weight in kilograms
2012-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Alberta,The world,N/A,205101,15108,Weight in kilograms
2017-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Alberta,The world,N/A,3539155,1388528,Weight in kilograms
2011-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Alberta,The world,N/A,30109626,38711135,Weight in kilograms
2016-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Alberta,The world,N/A,719664,925965,Weight in kilograms
2020-01-01,"1207.40.00 - Sesamum seeds, whether or not broken",British Columbia,The world,N/A,1893,3443,Weight in kilograms
2015-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",British Columbia,The world,N/A,138250,38491,Weight in kilograms
2019-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",British Columbia,The world,N/A,60431,9602,Weight in kilograms
2014-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Yukon,The world,N/A,52964,65997,Weight in kilograms
2013-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Newfoundland and Labrador,The world,N/A,75540,25601,Weight in kilograms
2018-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Newfoundland and Labrador,The world,N/A,29601,13778,Weight in kilograms
2015-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Prince Edward Island,The world,N/A,238043,124916,Weight in kilograms
2018-01-01,"1207.30.00 - Castor oil seeds, whether or not broken",Nova Scotia,The world,N/A,1384,434,Weight in kilograms
2011-01-01,"1207.50.00 - Mustard seeds, whether or not broken",New Brunswick,The world,N/A,9639,22680,Weight in kilograms
2016-01-01,"1207.40.00 - Sesamum seeds, whether or not broken",Quebec,The world,N/A,795345,336667,Weight in kilograms
2013-01-01,"1207.60.00 - Safflower seeds, whether or not broken",Quebec,The world,N/A,562,1006,Weight in kilograms
2015-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Quebec,The world,N/A,28958,22498,Weight in kilograms
2019-01-01,"1207.40.00 - Sesamum seeds, whether or not broken",Quebec,The world,N/A,503454,152413,Weight in kilograms
2011-01-01,"1207.99.90 - Oil seeds & oleaginous frts, excl hemp seeds and safflower seeds, w/o broken",Quebec,The world,N/A,12569,3106,Weight in kilograms
2015-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Quebec,The world,N/A,173672,148479,Weight in kilograms
2020-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Quebec,The world,N/A,721378,236578,Weight in kilograms
2021-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Quebec,The world,N/A,706791,170828,Weight in kilograms
2013-01-01,"1207.29.00 - Cotton seeds, other than for sowing, whether or not broken",Ontario,The world,N/A,328,596,Weight in kilograms
2019-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Ontario,The world,N/A,5176258,3628862,Weight in kilograms
2019-01-01,"1207.60.00 - Safflower seeds, whether or not broken",Ontario,The world,N/A,668791,339290,Weight in kilograms
2018-01-01,"1207.70.00 - Melon seeds, whether or not broken",Ontario,The world,N/A,3937,305,Weight in kilograms
2012-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Ontario,The world,N/A,55249,23498,Weight in kilograms
2020-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Ontario,The world,N/A,92044,15306,Weight in kilograms
2021-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Ontario,The world,N/A,15662,5278,Weight in kilograms
2012-01-01,"1207.30.00 - Castor oil seeds, whether or not broken",Manitoba,The world,N/A,24558,20411,Weight in kilograms
2015-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Manitoba,The world,N/A,20697629,17574572,Weight in kilograms
2011-01-01,"1207.99.90 - Oil seeds & oleaginous frts, excl hemp seeds and safflower seeds, w/o broken",Manitoba,The world,N/A,502653,536352,Weight in kilograms
2013-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Manitoba,The world,N/A,613965,880391,Weight in kilograms
2016-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Manitoba,The world,N/A,6726160,2334159,Weight in kilograms
2021-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Manitoba,The world,N/A,1497292,241729,Weight in kilograms
2014-01-01,"1207.50.00 - Mustard seeds, whether or not broken",Saskatchewan,The world,N/A,72151170,75043814,Weight in kilograms
2012-01-01,"1207.21.00 - Cotton seeds, for sowing, whether or not broken",Alberta,The world,N/A,3350,6091,Weight in kilograms
2013-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Alberta,The world,N/A,1010951,1369552,Weight in kilograms
2011-01-01,"1207.99.10 - Hemp seeds, whether or not broken",Alberta,The world,N/A,191858,16329,Weight in kilograms
2017-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Alberta,The world,N/A,250828,329405,Weight in kilograms
2016-01-01,"1207.50.00 - Mustard seeds, whether or not broken",British Columbia,The world,N/A,488384,474538,Weight in kilograms
2017-01-01,"1207.50.00 - Mustard seeds, whether or not broken",British Columbia,The world,N/A,267638,228001,Weight in kilograms
2021-01-01,"1207.50.00 - Mustard seeds, whether or not broken",British Columbia,The world,N/A,1685660,1442540,Weight in kilograms
2013-01-01,"1207.99.10 - Hemp seeds, whether or not broken",British Columbia,The world,N/A,798352,83364,Weight in kilograms
2012-01-01,"1207.99.90 - Oil seeds and oleaginous fruits, o/t hemp seeds, nes, whether or not broken",Newfoundland and Labrador,The world,N/A,21536,6433,Weight in kilograms
