Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2011-01-01,1008.90.10 - Wild rice,Nova Scotia,The world,N/A,5947,870,Weight in kilograms
2014-01-01,1008.90.10 - Wild rice,Nova Scotia,The world,N/A,4642,663,Weight in kilograms
2015-01-01,1008.90.10 - Wild rice,New Brunswick,The world,N/A,6566,951,Weight in kilograms
2011-01-01,1008.90.10 - Wild rice,New Brunswick,The world,N/A,2664,322,Weight in kilograms
2020-01-01,1008.10.00 - Buckwheat,Quebec,The world,N/A,2771046,3279296,Weight in kilograms
2020-01-01,"1008.21.00 - Millet, seed for sowing",Quebec,The world,N/A,68052,100000,Weight in kilograms
2019-01-01,"1008.29.00 - Millet, other than seed for sowing, nes",Quebec,The world,N/A,434480,726143,Weight in kilograms
2021-01-01,"1008.29.00 - Millet, other than seed for sowing, nes",Quebec,The world,N/A,5894,935,Weight in kilograms
2012-01-01,1008.30.00 - Canary seeds,Quebec,The world,N/A,623190,745322,Weight in kilograms
2016-01-01,1008.30.00 - Canary seeds,Quebec,The world,N/A,605792,725109,Weight in kilograms
2017-01-01,1008.30.00 - Canary seeds,Quebec,The world,N/A,224032,332586,Weight in kilograms
2018-01-01,1008.50.00 - Quinoa,Quebec,The world,N/A,560078,1472594,Weight in kilograms
2020-01-01,1008.50.00 - Quinoa,Quebec,The world,N/A,616525,1756672,Weight in kilograms
2011-01-01,1008.90.10 - Wild rice,Quebec,The world,N/A,78489,10225,Weight in kilograms
2012-01-01,"1008.90.90 - Cereals, nes",Quebec,The world,N/A,75406,95926,Weight in kilograms
2015-01-01,1008.10.00 - Buckwheat,Ontario,The world,N/A,1371119,1441530,Weight in kilograms
2019-01-01,1008.10.00 - Buckwheat,Ontario,The world,N/A,375419,399676,Weight in kilograms
2021-01-01,"1008.29.00 - Millet, other than seed for sowing, nes",Ontario,The world,N/A,2195,7361,Weight in kilograms
2011-01-01,1008.30.00 - Canary seeds,Ontario,The world,N/A,1040532,1246124,Weight in kilograms
2015-01-01,1008.30.00 - Canary seeds,Ontario,The world,N/A,1473716,1844263,Weight in kilograms
2017-01-01,1008.30.00 - Canary seeds,Ontario,The world,N/A,3271591,4765223,Weight in kilograms
2021-01-01,1008.30.00 - Canary seeds,Ontario,The world,N/A,16878,11976,Weight in kilograms
2014-01-01,1008.50.00 - Quinoa,Ontario,The world,N/A,341634,501334,Weight in kilograms
2018-01-01,1008.50.00 - Quinoa,Ontario,The world,N/A,319789,93686,Weight in kilograms
2013-01-01,1008.60.00 - Triticale,Ontario,The world,N/A,94658,147808,Weight in kilograms
2013-01-01,1008.90.10 - Wild rice,Ontario,The world,N/A,252216,59563,Weight in kilograms
2016-01-01,"1008.90.90 - Cereals, nes",Ontario,The world,N/A,2220663,265542,Weight in kilograms
2017-01-01,1008.10.00 - Buckwheat,Manitoba,The world,N/A,2299328,2018396,Weight in kilograms
2016-01-01,"1008.21.00 - Millet, seed for sowing",Manitoba,The world,N/A,400024,772842,Weight in kilograms
2015-01-01,"1008.29.00 - Millet, other than seed for sowing, nes",Manitoba,The world,N/A,333812,584673,Weight in kilograms
2012-01-01,1008.30.00 - Canary seeds,Manitoba,The world,N/A,9062991,11970159,Weight in kilograms
2020-01-01,1008.30.00 - Canary seeds,Manitoba,The world,N/A,4916184,5720894,Weight in kilograms
2019-01-01,1008.60.00 - Triticale,Manitoba,The world,N/A,1400358,2449446,Weight in kilograms
2015-01-01,1008.90.10 - Wild rice,Manitoba,The world,N/A,579887,51135,Weight in kilograms
2019-01-01,1008.90.10 - Wild rice,Manitoba,The world,N/A,909109,87753,Weight in kilograms
2012-01-01,"1008.90.90 - Cereals, nes",Manitoba,The world,N/A,1296424,3300554,Weight in kilograms
2017-01-01,"1008.90.90 - Cereals, nes",Manitoba,The world,N/A,25432,77067,Weight in kilograms
2011-01-01,1008.10.00 - Buckwheat,Saskatchewan,The world,N/A,240759,390274,Weight in kilograms
2011-01-01,1008.20.00 - Millet (Terminated 2011-12),Saskatchewan,The world,N/A,432475,705655,Weight in kilograms
2012-01-01,"1008.21.00 - Millet, seed for sowing",Saskatchewan,The world,N/A,110052,231574,Weight in kilograms
2015-01-01,"1008.29.00 - Millet, other than seed for sowing, nes",Saskatchewan,The world,N/A,425583,697141,Weight in kilograms
2011-01-01,1008.30.00 - Canary seeds,Saskatchewan,The world,N/A,116125503,155942754,Weight in kilograms
2017-01-01,1008.50.00 - Quinoa,Saskatchewan,The world,N/A,2380950,2156916,Weight in kilograms
2016-01-01,1008.60.00 - Triticale,Saskatchewan,The world,N/A,298663,712631,Weight in kilograms
2015-01-01,1008.90.10 - Wild rice,Saskatchewan,The world,N/A,3834999,489501,Weight in kilograms
2019-01-01,1008.90.10 - Wild rice,Saskatchewan,The world,N/A,1505686,151549,Weight in kilograms
2014-01-01,"1008.90.90 - Cereals, nes",Saskatchewan,The world,N/A,496879,728325,Weight in kilograms
2011-01-01,1008.10.00 - Buckwheat,Alberta,The world,N/A,146557,166842,Weight in kilograms
2014-01-01,1008.30.00 - Canary seeds,Alberta,The world,N/A,217319,304159,Weight in kilograms
2020-01-01,1008.50.00 - Quinoa,Alberta,The world,N/A,399,1208,Weight in kilograms
2017-01-01,1008.60.00 - Triticale,Alberta,The world,N/A,158902,466684,Weight in kilograms
2013-01-01,"1008.90.90 - Cereals, nes",Alberta,The world,N/A,100,303,Weight in kilograms
2017-01-01,1008.10.00 - Buckwheat,British Columbia,The world,N/A,4380,2041,Weight in kilograms
2019-01-01,1008.10.00 - Buckwheat,British Columbia,The world,N/A,3031,6065,Weight in kilograms
2012-01-01,1008.30.00 - Canary seeds,British Columbia,The world,N/A,3081112,4140419,Weight in kilograms
2015-01-01,1008.30.00 - Canary seeds,British Columbia,The world,N/A,3321078,3834745,Weight in kilograms
2012-01-01,1008.60.00 - Triticale,British Columbia,The world,N/A,5057,7711,Weight in kilograms
2017-01-01,"1008.21.00 - Millet, seed for sowing",Yukon,The world,N/A,11702,21999,Weight in kilograms
2021-01-01,"1008.90.90 - Cereals, nes",Newfoundland and Labrador,The world,N/A,15,45,Weight in kilograms
2012-01-01,1008.10.00 - Buckwheat,Prince Edward Island,The world,N/A,68396,122200,Weight in kilograms
2021-01-01,1008.90.10 - Wild rice,Prince Edward Island,The world,N/A,14112,1416,Weight in kilograms
2013-01-01,1008.30.00 - Canary seeds,Nova Scotia,The world,N/A,16393,21546,Weight in kilograms
2013-01-01,1008.90.10 - Wild rice,Nova Scotia,The world,N/A,5449,730,Weight in kilograms
2013-01-01,1008.90.10 - Wild rice,New Brunswick,The world,N/A,4331,530,Weight in kilograms
2014-01-01,1008.10.00 - Buckwheat,New Brunswick,The world,N/A,2448,1996,Weight in kilograms
2012-01-01,1008.10.00 - Buckwheat,Quebec,The world,N/A,475311,785710,Weight in kilograms
2019-01-01,1008.10.00 - Buckwheat,Quebec,The world,N/A,3209012,3936097,Weight in kilograms
2021-01-01,1008.10.00 - Buckwheat,Quebec,The world,N/A,893786,1076224,Weight in kilograms
2013-01-01,"1008.29.00 - Millet, other than seed for sowing, nes",Quebec,The world,N/A,21403,46923,Weight in kilograms
2017-01-01,"1008.29.00 - Millet, other than seed for sowing, nes",Quebec,The world,N/A,47013,100700,Weight in kilograms
2012-01-01,"1008.29.00 - Millet, other than seed for sowing, nes",Quebec,The world,N/A,26693,88500,Weight in kilograms
2020-01-01,1008.90.10 - Wild rice,Quebec,The world,N/A,67588,15717,Weight in kilograms
2021-01-01,1008.90.10 - Wild rice,Quebec,The world,N/A,10360,1763,Weight in kilograms
2011-01-01,1008.10.00 - Buckwheat,Ontario,The world,N/A,954697,1312873,Weight in kilograms
2013-01-01,1008.10.00 - Buckwheat,Ontario,The world,N/A,363810,532427,Weight in kilograms
2014-01-01,"1008.29.00 - Millet, other than seed for sowing, nes",Ontario,The world,N/A,17504,19503,Weight in kilograms
2017-01-01,"1008.29.00 - Millet, other than seed for sowing, nes",Ontario,The world,N/A,63,141,Weight in kilograms
2015-01-01,1008.50.00 - Quinoa,Ontario,The world,N/A,695510,113188,Weight in kilograms
2016-01-01,1008.50.00 - Quinoa,Ontario,The world,N/A,793464,120150,Weight in kilograms
2016-01-01,1008.60.00 - Triticale,Ontario,The world,N/A,112559,253248,Weight in kilograms
2018-01-01,1008.60.00 - Triticale,Ontario,The world,N/A,28011,27462,Weight in kilograms
2014-01-01,1008.90.10 - Wild rice,Ontario,The world,N/A,514079,79869,Weight in kilograms
2020-01-01,1008.90.10 - Wild rice,Ontario,The world,N/A,203340,27229,Weight in kilograms
2011-01-01,"1008.90.90 - Cereals unmilled, nes",Ontario,The world,N/A,169688,233172,Weight in kilograms
2012-01-01,"1008.90.90 - Cereals, nes",Ontario,The world,N/A,264596,192500,Weight in kilograms
2014-01-01,"1008.90.90 - Cereals, nes",Ontario,The world,N/A,785756,208206,Weight in kilograms
2016-01-01,1008.10.00 - Buckwheat,Manitoba,The world,N/A,2810484,2340073,Weight in kilograms
2020-01-01,1008.10.00 - Buckwheat,Manitoba,The world,N/A,2284688,2097853,Weight in kilograms
2012-01-01,"1008.21.00 - Millet, seed for sowing",Manitoba,The world,N/A,257580,457457,Weight in kilograms
2019-01-01,"1008.21.00 - Millet, seed for sowing",Manitoba,The world,N/A,456601,810697,Weight in kilograms
