Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2021-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Newfoundland and Labrador,The world,N/A,347,1,Weight in metric tonne
2012-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Prince Edward Island,The world,N/A,49041625,109954,Weight in metric tonne
2018-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Prince Edward Island,The world,N/A,4991314,7977,Weight in metric tonne
2012-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Nova Scotia,The world,N/A,784855,865,Weight in metric tonne
2015-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Nova Scotia,The world,N/A,1360,0,Weight in metric tonne
2018-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Nova Scotia,The world,N/A,133003,369,Weight in metric tonne
2021-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Nova Scotia,The world,N/A,24079,43,Weight in metric tonne
2013-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",New Brunswick,The world,N/A,31800130,71776,Weight in metric tonne
2014-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",New Brunswick,The world,N/A,36035928,70149,Weight in metric tonne
2020-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",New Brunswick,The world,N/A,70873982,93031,Weight in metric tonne
2011-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Quebec,The world,N/A,19078979,44073,Weight in metric tonne
2018-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Quebec,The world,N/A,31455817,44268,Weight in metric tonne
2020-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Quebec,The world,N/A,45986052,56846,Weight in metric tonne
2012-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Ontario,The world,N/A,12868192,45322,Weight in metric tonne
2013-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Ontario,The world,N/A,1099555,1926,Weight in metric tonne
2013-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Ontario,The world,N/A,18183282,58064,Weight in metric tonne
2013-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Manitoba,The world,N/A,1791462,4496,Weight in metric tonne
2014-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Manitoba,The world,N/A,874315,1806,Weight in metric tonne
2021-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Manitoba,The world,N/A,19834562,28605,Weight in metric tonne
2011-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Saskatchewan,The world,N/A,3204105,9333,Weight in metric tonne
2013-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Saskatchewan,The world,N/A,1690732,3706,Weight in metric tonne
2020-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Alberta,The world,N/A,21327514,41020,Weight in metric tonne
2019-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Alberta,The world,N/A,23278346,16602,Weight in metric tonne
2011-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",British Columbia,The world,N/A,1578815,3745,Weight in metric tonne
2013-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Newfoundland and Labrador,The world,N/A,29171,36,Weight in metric tonne
2012-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Prince Edward Island,The world,N/A,9797773,22680,Weight in metric tonne
2016-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Prince Edward Island,The world,N/A,68850794,131047,Weight in metric tonne
2020-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Prince Edward Island,The world,N/A,116293251,138912,Weight in metric tonne
2019-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Nova Scotia,The world,N/A,430404,548,Weight in metric tonne
2015-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",New Brunswick,The world,N/A,39733940,77652,Weight in metric tonne
2016-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",New Brunswick,The world,N/A,7084678,16204,Weight in metric tonne
2019-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Quebec,The world,N/A,33705642,41023,Weight in metric tonne
2012-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Quebec,The world,N/A,10946168,30758,Weight in metric tonne
2016-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Quebec,The world,N/A,1568746,2644,Weight in metric tonne
2021-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Quebec,The world,N/A,1418489,2163,Weight in metric tonne
2014-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Ontario,The world,N/A,571764,882,Weight in metric tonne
2016-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Ontario,The world,N/A,238592,381,Weight in metric tonne
2017-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Ontario,The world,N/A,327366,409,Weight in metric tonne
2018-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Ontario,The world,N/A,31423638,77918,Weight in metric tonne
2015-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Manitoba,The world,N/A,1203994,2312,Weight in metric tonne
2018-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Manitoba,The world,N/A,1785552,3120,Weight in metric tonne
2012-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Manitoba,The world,N/A,17133505,57513,Weight in metric tonne
2013-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Manitoba,The world,N/A,23868023,79648,Weight in metric tonne
2014-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Saskatchewan,The world,N/A,1926051,4231,Weight in metric tonne
2021-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Saskatchewan,The world,N/A,3503412,5547,Weight in metric tonne
2016-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Saskatchewan,The world,N/A,4325529,5175,Weight in metric tonne
2015-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Saskatchewan,The world,N/A,1694448,2622,Weight in metric tonne
