"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Barley","Hectares","149","units","0","v1000143052","13.16.6","0","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Barley","Hectares","149","units","0","v1000143052","13.16.6","","F","","","0"
"2020","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Barley","Hectares","149","units","0","v1000143052","13.16.6","0","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Barley","Hectares","149","units","0","v1000143052","13.16.6","0","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Mixed grains","Hectares","149","units","0","v1000143078","13.16.10","100","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Mixed grains","Hectares","149","units","0","v1000143078","13.16.10","0","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Mixed grains","Hectares","149","units","0","v1000143078","13.16.10","0","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Mixed grains","Hectares","149","units","0","v1000143078","13.16.10","0","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Soybeans","Hectares","149","units","0","v1000143054","13.16.15","0","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Soybeans","Hectares","149","units","0","v1000143054","13.16.15","0","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Soybeans","Hectares","149","units","0","v1000143054","13.16.15","0","","","","0"
"2021","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Soybeans","Hectares","149","units","0","v1000143054","13.16.15","0","","","","0"
"1980","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995817","13.16.28","","..","","","0"
"1981","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995817","13.16.28","","..","","","0"
"1982","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995817","13.16.28","","..","","","0"
"1983","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995817","13.16.28","3200","","","","0"
"1984","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995817","13.16.28","3400","","","","0"
"1985","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995817","13.16.28","3400","","","","0"
"1986","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995817","13.16.28","3700","","","","0"
"1987","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995817","13.16.28","3800","","","","0"
"1988","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995817","13.16.28","4500","","","","0"
"1989","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995817","13.16.28","4700","","","","0"
"1990","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995817","13.16.28","5100","","","","0"
"1991","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995817","13.16.28","4905","","","","0"
"1992","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995817","13.16.28","5000","","","","0"
"1993","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995817","13.16.28","5100","","","","0"
"1994","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995817","13.16.28","5100","","","","0"
"1995","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995817","13.16.28","5100","","","","0"
"1996","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995817","13.16.28","5100","","","","0"
"1997","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995817","13.16.28","5100","","","","0"
"1998","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995817","13.16.28","5500","","","","0"
"1999","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995817","13.16.28","5900","","","","0"
"2000","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995817","13.16.28","6200","","","","0"
"2001","Newfoundland and Labrador","2016A000210","Seeded area (hectares)","Tame hay","Hectares","149","units","0","v114995817","13.16.28","6600","","","","0"
