"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1980","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","163900","","","","0"
"1981","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","190200","","","","0"
"1982","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","234700","","","","0"
"1983","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","212000","","","","0"
"1984","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","192000","","","","0"
"1985","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","210000","","","","0"
"1986","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","244000","","","","0"
"1987","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","234700","","","","0"
"1988","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","222600","","","","0"
"1989","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","202300","","","","0"
"1990","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","182100","","","","0"
"1991","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","196990","","","","0"
"1992","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","178100","","","","0"
"1993","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","170000","","","","0"
"1994","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","141600","","","","0"
"1995","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","133500","","","","0"
"1996","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","133500","","","","0"
"1997","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","139600","","","","0"
"1998","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","131500","","","","0"
"1999","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","121400","","","","0"
"2000","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","121400","","","","0"
"2001","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","125000","","","","0"
"2002","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","135600","","","","0"
"2003","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","107200","","","","0"
"2004","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","107200","","","","0"
"2005","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","107200","","","","0"
"2006","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","89400","","","","0"
"2007","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","68800","","","","0"
"2008","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","62700","","","","0"
"2009","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","72800","","","","0"
"2010","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","80900","","","","0"
"2011","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","51300","","","","0"
"2012","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","50600","","","","0"
"2013","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","48600","","","","0"
"2014","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","44500","","","","0"
"2015","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","46500","","","","0"
"2016","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","42000","","","","0"
"2017","Ontario","2016A000235","Seeded area (hectares)","Barley","Hectares","149","units","0","v115114159","7.16.6","32400","","","","0"
