Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2020-01-01,"1005.10.90 - Maize (corn) seed, o/t yellow dent, nes",Nova Scotia,The world,N/A,3256,1784,Weight in kilograms
2013-01-01,"1006.20.00 - Rice, husked (brown)",Nova Scotia,The world,N/A,146,448,Weight in kilograms
2014-01-01,"1006.30.00 - Rice, semi-milled or wholly milled, whether or not polished or glazed",Nova Scotia,The world,N/A,215,646,Weight in kilograms
2017-01-01,"1006.30.00 - Rice, semi-milled or wholly milled, whether or not polished or glazed",Nova Scotia,The world,N/A,15,46,Weight in kilograms
2020-01-01,"1006.30.00 - Rice, semi-milled or wholly milled, whether or not polished or glazed",Nova Scotia,The world,N/A,5391,16588,Weight in kilograms
2017-01-01,"1006.40.00 - Rice, broken",Nova Scotia,The world,N/A,684,2103,Weight in kilograms
2011-01-01,1008.90.10 - Wild rice,Nova Scotia,The world,N/A,5947,870,Weight in kilograms
2014-01-01,1008.90.10 - Wild rice,Nova Scotia,The world,N/A,4642,663,Weight in kilograms
2015-01-01,1008.90.10 - Wild rice,New Brunswick,The world,N/A,6566,951,Weight in kilograms
2020-01-01,"1005.90.90 - Corn (maize), o/t certified organic, o/t seed for sowing",New Brunswick,The world,N/A,6451,1632,Weight in kilograms
2013-01-01,1005.90.00 - Maize (corn) nes (Terminated 2016-12),New Brunswick,The world,N/A,157426,397196,Weight in kilograms
2011-01-01,1008.90.10 - Wild rice,New Brunswick,The world,N/A,2664,322,Weight in kilograms
2019-01-01,"1001.91.00 - Wheat and meslin, other than durum wheat, seed for sowing, nes",Quebec,The world,N/A,56964,135,Weight in metric tonne
2016-01-01,"1001.99.30 - Western red winter wheat, other than seed for sowing (Terminated 2016-12)",Quebec,The world,N/A,461629,1755,Weight in metric tonne
2018-01-01,"1001.99.31 - Red spring wheat, o/t certified organic, grade 1, o/t seed for sowing",Quebec,The world,N/A,15008410,44664,Weight in metric tonne
2021-01-01,"1001.99.32 - Red spring wheat, o/t certified organic, grade 2, o/t seed for sowing",Quebec,The world,N/A,34196027,95692,Weight in metric tonne
2020-01-01,"1001.99.39 - Red spring wheat, o/t certified organic, nes, o/t seed for sowing",Quebec,The world,N/A,536735,1515,Weight in metric tonne
2021-01-01,"1001.99.39 - Red spring wheat, o/t certified organic, nes, o/t seed for sowing",Quebec,The world,N/A,910903,2521,Weight in metric tonne
2014-01-01,"1001.99.00 - Wheat and meslin, other than durum wheat, other than seed for sowing (Terminated 2014-12)",Quebec,The world,N/A,34141863,109978,Weight in metric tonne
2016-01-01,"1003.10.00 - Barley, seed for sowing",Quebec,The world,N/A,101219,214,Weight in metric tonne
2018-01-01,"1003.10.00 - Barley, seed for sowing",Quebec,The world,N/A,50463,107,Weight in metric tonne
2020-01-01,"1003.10.00 - Barley, seed for sowing",Quebec,The world,N/A,87052,199,Weight in metric tonne
2021-01-01,"1003.10.00 - Barley, seed for sowing",Quebec,The world,N/A,60522,115,Weight in metric tonne
2017-01-01,"1003.90.90 - Barley, o/t certified organic, o/t seed for sowing",Quebec,The world,N/A,14578693,52831,Weight in metric tonne
2018-01-01,"1003.90.90 - Barley, o/t certified organic, o/t seed for sowing",Quebec,The world,N/A,14017458,46055,Weight in metric tonne
2014-01-01,"1004.90.00 - Oats, other than seed for sowing (Terminated 2016-12)",Quebec,The world,N/A,25803953,79865603,Weight in kilograms
2015-01-01,"1004.90.00 - Oats, other than seed for sowing (Terminated 2016-12)",Quebec,The world,N/A,26395378,85309886,Weight in kilograms
2017-01-01,"1005.90.90 - Corn (maize), o/t certified organic, o/t seed for sowing",Quebec,The world,N/A,115296537,501744874,Weight in kilograms
2013-01-01,1005.90.00 - Maize (corn) nes (Terminated 2016-12),Quebec,The world,N/A,137375874,469247379,Weight in kilograms
2014-01-01,1005.90.00 - Maize (corn) nes (Terminated 2016-12),Quebec,The world,N/A,241536456,1038422427,Weight in kilograms
2019-01-01,1006.10.00 - Rice in the husk (paddy or rough),Quebec,The world,N/A,44981,32470,Weight in kilograms
2014-01-01,"1006.20.00 - Rice, husked (brown)",Quebec,The world,N/A,7791,23970,Weight in kilograms
2016-01-01,"1006.20.00 - Rice, husked (brown)",Quebec,The world,N/A,2495,7680,Weight in kilograms
2020-01-01,1008.10.00 - Buckwheat,Quebec,The world,N/A,2771046,3279296,Weight in kilograms
2020-01-01,"1008.21.00 - Millet, seed for sowing",Quebec,The world,N/A,68052,100000,Weight in kilograms
2019-01-01,"1008.29.00 - Millet, other than seed for sowing, nes",Quebec,The world,N/A,434480,726143,Weight in kilograms
2021-01-01,"1008.29.00 - Millet, other than seed for sowing, nes",Quebec,The world,N/A,5894,935,Weight in kilograms
2012-01-01,1008.30.00 - Canary seeds,Quebec,The world,N/A,623190,745322,Weight in kilograms
2016-01-01,1008.30.00 - Canary seeds,Quebec,The world,N/A,605792,725109,Weight in kilograms
2017-01-01,1008.30.00 - Canary seeds,Quebec,The world,N/A,224032,332586,Weight in kilograms
2018-01-01,1008.50.00 - Quinoa,Quebec,The world,N/A,560078,1472594,Weight in kilograms
2020-01-01,1008.50.00 - Quinoa,Quebec,The world,N/A,616525,1756672,Weight in kilograms
2011-01-01,1008.90.10 - Wild rice,Quebec,The world,N/A,78489,10225,Weight in kilograms
2012-01-01,"1008.90.90 - Cereals, nes",Quebec,The world,N/A,75406,95926,Weight in kilograms
2016-01-01,"1001.99.20 - White winter wheat, other than seed for sowing (Terminated 2016-12)",Ontario,The world,N/A,16082982,54215,Weight in metric tonne
2017-01-01,"1001.99.21 - Red spring wheat, certified organic, o/t seed for sowing",Ontario,The world,N/A,726094,1867,Weight in metric tonne
2021-01-01,"1001.99.21 - Red spring wheat, certified organic, o/t seed for sowing",Ontario,The world,N/A,385603,948,Weight in metric tonne
2016-01-01,"1001.99.30 - Western red winter wheat, other than seed for sowing (Terminated 2016-12)",Ontario,The world,N/A,2364770,9018,Weight in metric tonne
2020-01-01,"1001.99.31 - Red spring wheat, o/t certified organic, grade 1, o/t seed for sowing",Ontario,The world,N/A,27871028,80783,Weight in metric tonne
2020-01-01,"1001.99.33 - Red spring wheat, o/t certified organic, grade 3, o/t seed for sowing",Ontario,The world,N/A,1465321,4888,Weight in metric tonne
2019-01-01,"1001.99.60 - White winter wheat, o/t certified organic, o/t seed for sowing",Ontario,The world,N/A,2205106,5346,Weight in metric tonne
2020-01-01,"1001.99.90 - Wheat, nes and meslin, o/t certified organic, o/t seed for sowing, nes",Ontario,The world,N/A,23847762,79149,Weight in metric tonne
2013-01-01,"1001.99.00 - Wheat and meslin, other than durum wheat, other than seed for sowing (Terminated 2014-12)",Ontario,The world,N/A,24831347,74732,Weight in metric tonne
2017-01-01,"1003.10.00 - Barley, seed for sowing",Ontario,The world,N/A,37296,76,Weight in metric tonne
2018-01-01,"1003.90.10 - Barley, certified organic, o/t seed for sowing",Ontario,The world,N/A,40442,82,Weight in metric tonne
2017-01-01,"1003.90.90 - Barley, o/t certified organic, o/t seed for sowing",Ontario,The world,N/A,8105127,29348,Weight in metric tonne
2021-01-01,"1004.10.00 - Oats, seed for sowing",Ontario,The world,N/A,181588,325833,Weight in kilograms
2019-01-01,"1004.90.90 - Oat, o/t certified organic, o/t seed for sowing",Ontario,The world,N/A,7447443,24560421,Weight in kilograms
2015-01-01,"1004.90.00 - Oats, other than seed for sowing (Terminated 2016-12)",Ontario,The world,N/A,12458612,40266239,Weight in kilograms
2015-01-01,1005.10.10 - Yellow dent corn seed,Ontario,The world,N/A,38907872,6397184,Weight in kilograms
2014-01-01,"1005.10.90 - Maize (corn) seed, o/t yellow dent, nes",Ontario,The world,N/A,13337356,6458600,Weight in kilograms
2018-01-01,"1005.10.90 - Maize (corn) seed, o/t yellow dent, nes",Ontario,The world,N/A,545122,154752,Weight in kilograms
2020-01-01,"1005.10.90 - Maize (corn) seed, o/t yellow dent, nes",Ontario,The world,N/A,10637909,42004417,Weight in kilograms
2021-01-01,"1005.10.90 - Maize (corn) seed, o/t yellow dent, nes",Ontario,The world,N/A,466738,225428,Weight in kilograms
2012-01-01,1005.90.00 - Maize (corn) nes (Terminated 2016-12),Ontario,The world,N/A,144320454,495534774,Weight in kilograms
2020-01-01,1006.10.00 - Rice in the husk (paddy or rough),Ontario,The world,N/A,102362,81734,Weight in kilograms
2015-01-01,"1006.30.00 - Rice, semi-milled or wholly milled, whether or not polished or glazed",Ontario,The world,N/A,5047225,2611625,Weight in kilograms
2019-01-01,"1006.40.00 - Rice, broken",Ontario,The world,N/A,26224,80690,Weight in kilograms
2018-01-01,"1007.90.00 - Grain sorghum, other than seed for sowing, nes",Ontario,The world,N/A,52802,85154,Weight in kilograms
2020-01-01,"1007.90.00 - Grain sorghum, other than seed for sowing, nes",Ontario,The world,N/A,13420,13926,Weight in kilograms
2015-01-01,1008.10.00 - Buckwheat,Ontario,The world,N/A,1371119,1441530,Weight in kilograms
2019-01-01,1008.10.00 - Buckwheat,Ontario,The world,N/A,375419,399676,Weight in kilograms
2011-01-01,1008.30.00 - Canary seeds,Ontario,The world,N/A,1040532,1246124,Weight in kilograms
2015-01-01,1008.30.00 - Canary seeds,Ontario,The world,N/A,1473716,1844263,Weight in kilograms
2017-01-01,1008.30.00 - Canary seeds,Ontario,The world,N/A,3271591,4765223,Weight in kilograms
2021-01-01,1008.30.00 - Canary seeds,Ontario,The world,N/A,13787,9980,Weight in kilograms
2014-01-01,1008.50.00 - Quinoa,Ontario,The world,N/A,341634,501334,Weight in kilograms
2018-01-01,1008.50.00 - Quinoa,Ontario,The world,N/A,319789,93686,Weight in kilograms
2013-01-01,1008.60.00 - Triticale,Ontario,The world,N/A,94658,147808,Weight in kilograms
2013-01-01,1008.90.10 - Wild rice,Ontario,The world,N/A,252216,59563,Weight in kilograms
