Domestic exports
Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2016-01-01,"1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken",Quebec,"The world",N/A,6730630,12640183,Weight in kilograms
2015-01-01,"1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes",Quebec,"The world",N/A,9061,16430,Weight in kilograms
2017-01-01,"1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes",Quebec,"The world",N/A,46694,99148,Weight in kilograms
2020-01-01,"1205.90.90 - Rape or colza seeds, o/t low erucic acid, w/n broken, o/t for sowing",Quebec,"The world",N/A,3301,6160,Weight in kilograms
2020-01-01,"1205.10.10 - Low erucic acid rape or colza seeds, w/n broken, for sowing",Ontario,"The world",N/A,76461,41330,Weight in kilograms
2021-01-01,"1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes",Ontario,"The world",N/A,52733,78384,Weight in kilograms
2021-01-01,"1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing",Ontario,"The world",N/A,636,775,Weight in kilograms
2014-01-01,"1205.90.20 - Rape/colza seeds,o/t low erucic acid, for oil extraction, w/n broken (Terminated 2016-12)",Ontario,"The world",N/A,14260,31232,Weight in kilograms
2015-01-01,"1205.90.90 - Rape or colza seeds, o/t low erucic acid, whether or not broken, nes",Ontario,"The world",N/A,30654,54964,Weight in kilograms
2011-01-01,"1205.10.10 - Low erucic acid rape or colza seeds, w/n broken, for sowing",Manitoba,"The world",N/A,3038989,1638904,Weight in kilograms
2018-01-01,"1205.10.10 - Low erucic acid rape or colza seeds, w/n broken, for sowing",Manitoba,"The world",N/A,2562371,1462310,Weight in kilograms
2013-01-01,"1205.10.20 - Rape/colza seeds,low erucic acid, for oil extraction, w/n broken",Manitoba,"The world",N/A,616270395,984923470,Weight in kilograms
2011-01-01,"1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes",Manitoba,"The world",N/A,410000,799382,Weight in kilograms
2015-01-01,"1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes",Manitoba,"The world",N/A,851194,1542942,Weight in kilograms
2020-01-01,"1205.10.90 - Rape or colza seeds, low erucic acid, whether or not broken, nes",Manitoba,"The world",N/A,10445675,19827905,Weight in kilograms
2016-01-01,"1205.90.10 - Rape or colza seeds, o/t low erucic acid, w/n broken, for sowing",Manitoba,"The world",N/A,684,540,Weight in kilograms
