Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2021-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Newfoundland and Labrador,The world,N/A,347,1,Weight in metric tonne
2011-01-01,"0702.00.90 - Tomatoes, other than greenhouse, fresh or chilled, nes",Newfoundland and Labrador,The world,N/A,29,10,Weight in kilograms
2019-01-01,"0709.99.00 - Vegetables, fresh or chilled, nes",Newfoundland and Labrador,The world,N/A,944,713,Weight in kilograms
2021-01-01,"0710.90.00 - Mixtures of vegetables, frozen, uncooked/steamed/boiled in water",Newfoundland and Labrador,The world,N/A,2500,2363,Weight in kilograms
2016-01-01,"0712.90.00 - Vegetables and mixtures dried, but not further prepared nes",Newfoundland and Labrador,The world,N/A,29,14,Weight in kilograms
2014-01-01,"0709.20.00 - Asparagus, fresh or chilled",Newfoundland and Labrador,The world,N/A,331,1,Weight in kilograms
2014-01-01,"0709.93.00 - Pumpkins, squash and gourds, fresh or chilled",Newfoundland and Labrador,The world,N/A,1246,1769,Weight in kilograms
2012-01-01,"0701.90.00 - Potatoes, fresh or chilled nes",Prince Edward Island,The world,N/A,49041625,109954,Weight in metric tonne
2014-01-01,"0702.00.10 - Tomatoes, greenhouse, fresh or chilled (Terminated 2016-12)",Prince Edward Island,The world,N/A,3226,1088,Weight in kilograms
2015-01-01,"0703.10.00 - Onions and shallots, fresh or chilled",Prince Edward Island,The world,N/A,851452,1397560,Weight in kilograms
2018-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Prince Edward Island,The world,N/A,4991314,7977,Weight in metric tonne
2015-01-01,"0704.10.00 - Cauliflowers and headed broccoli, fresh or chilled",Prince Edward Island,The world,N/A,902489,613918,Weight in kilograms
2018-01-01,"0704.90.00 - Cabbages, kohlrabi, kale and sim edible brassicas nes, fresh or chilled",Prince Edward Island,The world,N/A,99244,92738,Weight in kilograms
2016-01-01,"0706.10.20 - Turnips, fresh or chilled",Prince Edward Island,The world,N/A,5,11,Weight in kilograms
2017-01-01,"0706.90.00 - Salad beetroot,salsify,celeriac,radishes & sim edible roots,fresh or chilled nes",Prince Edward Island,The world,N/A,53410,62370,Weight in kilograms
2020-01-01,"0709.99.00 - Vegetables, fresh or chilled, nes",Prince Edward Island,The world,N/A,4375,112,Weight in kilograms
2011-01-01,"0710.10.00 - Potatoes, frozen, uncooked/steamed/boiled in water",Prince Edward Island,The world,N/A,64132,79648,Weight in kilograms
2013-01-01,"0710.10.00 - Potatoes, frozen, uncooked/steamed/boiled in water",Prince Edward Island,The world,N/A,574359,370686,Weight in kilograms
2018-01-01,0712.20.00 - Onions dried but not further prepared,Prince Edward Island,The world,N/A,28812,27167,Weight in kilograms
2017-01-01,"0714.20.00 - Sweet potatoes, fresh, chilled, frozen or dried",Prince Edward Island,The world,N/A,53330,79843,Weight in kilograms
2015-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Nova Scotia,The world,N/A,1360,0,Weight in metric tonne
2019-01-01,"0702.00.80 - Tomatoes, o/t certified organic, greenhouse, fresh or chilled",Nova Scotia,The world,N/A,473,153,Weight in kilograms
2012-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Nova Scotia,The world,N/A,784855,865,Weight in metric tonne
2018-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Nova Scotia,The world,N/A,133003,369,Weight in metric tonne
2019-01-01,"0702.00.19 - Tomatoes, certified organic, o/t greenhouse, fresh or chilled",Nova Scotia,The world,N/A,198,88,Weight in kilograms
2021-01-01,"0701.10.00 - Potatoes seed, fresh or chilled",Nova Scotia,The world,N/A,24079,43,Weight in metric tonne
2018-01-01,"0703.90.00 - Leeks and other alliaceous vegetables, fresh or chilled",Nova Scotia,The world,N/A,9341,6793,Weight in kilograms
2020-01-01,"0704.90.00 - Cabbages, kohlrabi, kale and sim edible brassicas nes, fresh or chilled",Nova Scotia,The world,N/A,334473,371318,Weight in kilograms
2014-01-01,"0705.11.00 - Cabbage lettuce (head lettuce), fresh or chilled",Nova Scotia,The world,N/A,359,342,Weight in kilograms
2012-01-01,"0705.19.00 - Lettuce, fresh or chilled nes",Nova Scotia,The world,N/A,6167,4897,Weight in kilograms
2016-01-01,"0706.10.10 - Carrots, fresh or chilled",Nova Scotia,The world,N/A,3167,7448,Weight in kilograms
2013-01-01,"0706.10.20 - Turnips, fresh or chilled",Nova Scotia,The world,N/A,865,1785,Weight in kilograms
2013-01-01,"0706.90.00 - Salad beetroot,salsify,celeriac,radishes & sim edible roots,fresh or chilled nes",Nova Scotia,The world,N/A,535,792,Weight in kilograms
2014-01-01,"0706.90.00 - Salad beetroot,salsify,celeriac,radishes & sim edible roots,fresh or chilled nes",Nova Scotia,The world,N/A,997,1477,Weight in kilograms
2015-01-01,"0706.90.00 - Salad beetroot,salsify,celeriac,radishes & sim edible roots,fresh or chilled nes",Nova Scotia,The world,N/A,1350,2001,Weight in kilograms
