"REF_DATE","GEO","DGUID","Trade flow detail","Product","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2010","Newfoundland and Labrador","2016A000210","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113666191","2.18.8","147","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113666191","2.18.8","113","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113666191","2.18.8","88","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113666191","2.18.8","90","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113666191","2.18.8","37","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113666191","2.18.8","22","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113666191","2.18.8","28","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Interprovincial exports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113666191","2.18.8","24","","","","0"
"2010","Newfoundland and Labrador","2016A000210","Interprovincial imports","Oilseeds (except canola) [MPG111A02]","Dollars","81","thousands","3","v113666448","2.19.5","553","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Interprovincial imports","Oilseeds (except canola) [MPG111A02]","Dollars","81","thousands","3","v113666448","2.19.5","499","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Interprovincial imports","Oilseeds (except canola) [MPG111A02]","Dollars","81","thousands","3","v113666448","2.19.5","11","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Interprovincial imports","Oilseeds (except canola) [MPG111A02]","Dollars","81","thousands","3","v113666448","2.19.5","0","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Interprovincial imports","Oilseeds (except canola) [MPG111A02]","Dollars","81","thousands","3","v113666448","2.19.5","0","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Interprovincial imports","Oilseeds (except canola) [MPG111A02]","Dollars","81","thousands","3","v113666448","2.19.5","0","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Interprovincial imports","Oilseeds (except canola) [MPG111A02]","Dollars","81","thousands","3","v113666448","2.19.5","0","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Interprovincial imports","Oilseeds (except canola) [MPG111A02]","Dollars","81","thousands","3","v113666448","2.19.5","0","","","","0"
"2010","Newfoundland and Labrador","2016A000210","Interprovincial imports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113666449","2.19.7","13004","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Interprovincial imports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113666449","2.19.7","13526","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Interprovincial imports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113666449","2.19.7","18193","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Interprovincial imports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113666449","2.19.7","17105","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Interprovincial imports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113666449","2.19.7","15299","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Interprovincial imports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113666449","2.19.7","17153","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Interprovincial imports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113666449","2.19.7","15983","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Interprovincial imports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113666449","2.19.7","14927","","","","0"
"2010","Newfoundland and Labrador","2016A000210","Interprovincial imports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113666450","2.19.8","9858","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Interprovincial imports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113666450","2.19.8","11319","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Interprovincial imports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113666450","2.19.8","11711","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Interprovincial imports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113666450","2.19.8","10683","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Interprovincial imports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113666450","2.19.8","10699","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Interprovincial imports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113666450","2.19.8","10288","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Interprovincial imports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113666450","2.19.8","10017","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Interprovincial imports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113666450","2.19.8","9688","","","","0"
"2010","Newfoundland and Labrador","2016A000210","International exports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113666809","2.20.8","2","","","","0"
"2011","Newfoundland and Labrador","2016A000210","International exports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113666809","2.20.8","3","","","","0"
"2012","Newfoundland and Labrador","2016A000210","International exports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113666809","2.20.8","2","","","","0"
"2013","Newfoundland and Labrador","2016A000210","International exports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113666809","2.20.8","2","","","","0"
"2014","Newfoundland and Labrador","2016A000210","International exports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113666809","2.20.8","119","","","","0"
"2015","Newfoundland and Labrador","2016A000210","International exports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113666809","2.20.8","121","","","","0"
"2016","Newfoundland and Labrador","2016A000210","International exports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113666809","2.20.8","205","","","","0"
"2017","Newfoundland and Labrador","2016A000210","International exports","Fresh potatoes [MPG111A05]","Dollars","81","thousands","3","v113666809","2.20.8","215","","","","0"
"2010","Newfoundland and Labrador","2016A000210","International imports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113667033","2.22.7","205","","","","0"
"2011","Newfoundland and Labrador","2016A000210","International imports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113667033","2.22.7","160","","","","0"
"2012","Newfoundland and Labrador","2016A000210","International imports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113667033","2.22.7","178","","","","0"
"2013","Newfoundland and Labrador","2016A000210","International imports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113667033","2.22.7","190","","","","0"
"2014","Newfoundland and Labrador","2016A000210","International imports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113667033","2.22.7","0","","","","0"
"2015","Newfoundland and Labrador","2016A000210","International imports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113667033","2.22.7","0","","","","0"
"2016","Newfoundland and Labrador","2016A000210","International imports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113667033","2.22.7","0","","","","0"
"2017","Newfoundland and Labrador","2016A000210","International imports","Grains (except wheat) [MPG111A04]","Dollars","81","thousands","3","v113667033","2.22.7","0","","","","0"
